Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,12.92385485,12.02066719,11.07227512,13.25530892,14.76144328,13.40482252,14.67387912,14.61504754,15.38863466,15.94065,16.76494924,16.85221952,15.64921585,15.02150543,17.31936416,18.09278944,17.10012754,16.64977122,16.99107933,17.10015864,16.22095878,16.44706705,17.90183301,18.48119689,19.82585912,19.30464239,18.79708423,20.35344778,20.62190016,21.44290001,21.94529504,20.62877538,21.02292078,19.69406844,20.77001013,21.39278768,21.48863386,22.34297499,22.40788387,20.40480675,20.09277943,21.37495718,20.87901441,21.08551266,21.130465,21.08378695,20.18763584
Austria,27.44544583,27.32203177,27.34225104,27.51420615,30.42765333,28.48043489,31.13744694,32.29635143,30.52710221,32.40906126,35.10227609,35.36600763,32.34828616,31.96697701,33.79543439,35.13215666,31.98985403,31.42097006,33.4633507,35.49316757,35.76074028,35.42798438,34.44579628,31.77430613,33.80000154,34.69414737,35.80033689,37.80034374,38.53324486,38.85603367,41.96330561,42.86214974,41.57123891,41.75568568,43.86488684,45.3402367,47.16033954,48.0560728,48.66480818,41.64117693,47.4749764,50.90489863,50.95637562,50.39639382,49.32134684,48.39739203,48.04526176
Belgium,42.58816506,41.63783682,40.90154128,45.91500483,52.15378672,45.41272346,48.05504103,47.96432745,46.35193862,51.42970767,52.71183788,55.91773561,59.56627662,59.74341534,63.54553724,61.16005446,54.80864213,53.82024855,56.77110463,61.10780418,59.59826218,58.11097103,56.01982411,52.67880827,54.57301969,56.02364661,57.61732317,60.46979895,60.08699731,60.09843342,69.22144511,67.67423661,64.81013579,63.39403546,65.6678194,69.85498313,71.98266098,73.6725914,79.21206781,67.0469435,74.65167173,81.11820968,81.68929032,80.48835194,81.9909665,79.40697065,81.5354286
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,9.455584964,8.905381794,9.592559686,9.408084594,11.41726821,12.45171335,14.56457435,13.38776713,12.95960102,13.13249097,11.84296594,11.66738358,11.96493627,13.72356891,11.25460447,11.77920798,12.23551783,13.06225025,13.93167816,13.673463,,
Canada,19.38059588,19.40821556,20.35352045,21.33904859,23.88963481,23.7072856,22.40859318,22.89373926,24.18568079,25.79792019,25.70881038,25.67191743,21.35878151,21.71764465,24.48641261,25.26828289,26.05281724,24.83363232,25.28711517,24.99469378,24.89491296,24.86482003,26.53756395,29.11276806,31.61909901,32.99238938,33.19035779,36.24187135,38.11404094,38.31676052,38.62025799,36.37011675,35.69828795,33.01560007,32.89259588,32.91473422,32.65183718,32.03887814,32.60109515,29.91249645,30.98879149,31.76401659,32.18353222,31.8100732,32.60296795,33.96920642,33.37747541
Switzerland,42.18932776,39.98495765,38.61081648,39.21208056,42.20346224,34.95982452,37.08477954,41.71476563,39.96710857,43.87502283,49.29035047,48.38306121,44.3394213,44.63659413,45.0222206,45.72791562,43.63845023,40.30958033,41.51619208,44.08178478,41.59232805,38.74893634,38.4215199,37.04925497,36.24914414,36.41364987,37.92931183,42.13131332,42.16448517,42.66280889,45.98769432,45.27436144,42.21604709,41.42145818,42.52151396,46.53934248,48.02666703,50.00721141,52.11823139,49.69971218,53.2865076,57.0306713,56.6487538,59.87160882,52.58640491,50.62987722,54.58890139
Chile,,,,,,,,,,,,,,,,,23.68973371,24.93371639,25.12555288,28.4417467,28.53145541,26.10405278,26.65072194,27.25208607,25.46933574,26.14438524,28.12243213,28.47616391,28.80003161,26.58113603,28.78412198,30.7444961,30.58979187,30.65724111,29.93129296,31.4569444,29.3035443,31.33841161,39.36560568,29.29642931,31.31860345,34.44370847,34.14998768,32.77400322,32.08169318,29.78845503,27.62337426
China,,,,,,,,,4.273248702,5.667670622,6.238583305,7.257138111,6.26532889,6.361078706,7.900100284,12.36173817,11.1783718,10.32802241,12.01062402,10.10736306,9.747870107,10.62976312,12.54203334,13.90254704,17.23306654,16.32366471,15.89144983,15.03985375,14.08237421,15.36186985,18.51709383,18.21499397,20.10265874,24.82323235,28.4441868,28.3690316,28.43815123,26.70414677,24.92038112,20.14759674,22.62188524,24.10550848,22.69966293,22.06025345,21.57190587,18.58478786,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.75194575,18.51397603,18.16706954,19.94088381,19.09267551,18.78432249,20.53644458,19.79066142,20.26257741,18.24919201,17.76486262,19.9327627,20.0373359,20.12605261,21.38323658,23.37285065,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,38.1782784,40.98413585,43.52206921,42.33129535,41.8807097,44.27315496,46.23330938,48.31119114,45.16846734,43.78156897,40.50342699,41.37414631,42.8438999,43.23849864,45.97004981,46.73262086,46.11585143,47.88861414,35.33774804,35.04561836,36.59448594,35.97496795,34.28535715,34.73681173,31.87249017,
