Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,15.5,15.46,15.42,15.38,15.34,15.3,15.3,15.3,15.3,15.3,15.3,15.28,15.26,15.24,15.22,15.2
Angola,20,20.1,20.2,20.3,20.4,20.5,20.56,20.62,20.68,20.74,20.8,21.52,22.24,22.96,23.68,24.4
Albania,15.4,15.5,15.6,15.7,15.8,15.9,15.8,15.7,15.6,15.5,15.4,15.04,14.68,14.32,13.96,13.6
"United Arab Emirates",9.6,11.8,14,16.2,18.4,20.6,18.82,17.04,15.26,13.48,11.7,11.32,10.94,10.56,10.18,9.8
Argentina,11.4,11.38,11.36,11.34,11.32,11.3,11.62,11.94,12.26,12.58,12.9,13.14,13.38,13.62,13.86,14.1
Armenia,19.8,19.16,18.52,17.88,17.24,16.6,16.48,16.36,16.24,16.12,16,15.94,15.88,15.82,15.76,15.7
"Antigua and Barbuda",8.9,8.3,7.7,7.1,6.5,5.9,5.86,5.82,5.78,5.74,5.7,6.86,8.02,9.18,10.34,11.5
Australia,9.5,9.22,8.94,8.66,8.38,8.1,7.76,7.42,7.08,6.74,6.4,6.2,6,5.8,5.6,5.4
Austria,12.2,11.62,11.04,10.46,9.88,9.3,8.78,8.26,7.74,7.22,6.7,6.5,6.3,6.1,5.9,5.7
Azerbaijan,8,9.16,10.32,11.48,12.64,13.8,13.24,12.68,12.12,11.56,11,10.8,10.6,10.4,10.2,10
Burundi,29.9,30.1,30.3,30.5,30.7,30.9,31.02,31.14,31.26,31.38,31.5,31.74,31.98,32.22,32.46,32.7
Belgium,14.8,14.04,13.28,12.52,11.76,11,10.42,9.84,9.26,8.68,8.1,7.9,7.7,7.5,7.3,7.1
Benin,28,28.24,28.48,28.72,28.96,29.2,29.32,29.44,29.56,29.68,29.8,29.38,28.96,28.54,28.12,27.7
"Burkina Faso",24.9,25.72,26.54,27.36,28.18,29,29.28,29.56,29.84,30.12,30.4,30.46,30.52,30.58,30.64,30.7
Bangladesh,14,14.06,14.12,14.18,14.24,14.3,14.26,14.22,14.18,14.14,14.1,13.84,13.58,13.32,13.06,12.8
Bulgaria,12.6,12.56,12.52,12.48,12.44,12.4,12.02,11.64,11.26,10.88,10.5,9.92,9.34,8.76,8.18,7.6
Bahrain,12.4,13.08,13.76,14.44,15.12,15.8,14.8,13.8,12.8,11.8,10.8,10.06,9.32,8.58,7.84,7.1
Bahamas,19.2,18.74,18.28,17.82,17.36,16.9,15.58,14.26,12.94,11.62,10.3,10.44,10.58,10.72,10.86,11
"Bosnia and Herzegovina",18.4,18.18,17.96,17.74,17.52,17.3,17.24,17.18,17.12,17.06,17,16.92,16.84,16.76,16.68,16.6
Belarus,19,20.06,21.12,22.18,23.24,24.3,23.98,23.66,23.34,23.02,22.7,20.68,18.66,16.64,14.62,12.6
Belize,30.8,31.56,32.32,33.08,33.84,34.6,30.38,26.16,21.94,17.72,13.5,15.06,16.62,18.18,19.74,21.3
Bolivia,14,14.22,14.44,14.66,14.88,15.1,15.28,15.46,15.64,15.82,16,17.46,18.92,20.38,21.84,23.3
