Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,100,100,100,100,100,100,100,99.4755172729492,100,99.4818725585938,99.8281784057617,100,99.8344421386719,99.5008316040039,,,,,,,,
Angola,,,,,,,,,,,,,,47.4864196777344,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,89.9208068847656,,
Andorra,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"United Arab Emirates",,,,,,,60.8508605957031,59.9652290344238,65.6845,71.4037,77.123,82.8422,88.5615,94.2807,100,100,100,100,100,,,,
Armenia,,89.3256301879883,84.7918,80.258,75.7242,71.1904,66.6566390991211,77.4559631347656,77.1823,76.9086,76.6349,76.3612,76.0875,75.8139,75.5402,75.2665,74.9928,74.7191,74.4454,74.1718,73.8981,73.6243896484375,
"Antigua and Barbuda",,,46.9064712524414,49.8179,52.7293,55.6407,58.5521,61.4635,64.3749,67.286247253418,52.8888893127441,57.1222991943359,54.7523384094238,64.8395690917969,60.1324501037598,65.1503,70.1680679321289,65.2916107177734,60.2216,55.1515197753906,52.8186302185059,,
Azerbaijan,,99.9755477905273,99.9332809448242,99.9432373046875,100,99.6254577636719,99.818962097168,99.9763336181641,99.9814071655273,99.9977264404297,99.9408721923828,99.9163513183594,99.979362487793,99.9884414672852,99.9927215576172,99.5684204101563,99.3514099121094,99.2799377441406,98.6589,98.0378189086914,99.5214309692383,99.8314895629883,
Burundi,,,,,,,,87.5099792480469,87.4629,87.4158630371094,89.3025,91.1890563964844,92.6855,94.1818923950195,94.9871597290039,93.5692,92.1513366699219,100,100,100,100,100,
Benin,,57.6981887817383,64.9971771240234,69.3313,73.6655,77.9996032714844,72.1768417358398,65.8211,59.4654,53.1097,46.7539,40.3982200622559,42.631031036377,46.8895606994629,53.791,60.6924,67.59375,69.09716796875,70.4166107177734,68.2663497924805,70.4254608154297,71.2228927612305,
"Burkina Faso",,,,80.4177398681641,83.6324,86.8469772338867,89.4923477172852,88.2582168579102,86.9417572021484,87.6678924560547,87.6603927612305,86.1144638061523,89.0205,91.9265,94.8324813842773,85.5863876342773,84.3585968017578,85.4200134277344,73.193733215332,85.8375625610352,87.5757293701172,88.5932464599609,
Bangladesh,,,,,,,,53.4021987915039,51.4322395324707,55.9990005493164,54.3633308410645,58.4075317382813,58.0708,57.7341499328613,55.1954,52.6566,50.1178,47.5789985656738,50.4313201904297,50.4312705993652,,,
Bahrain,,,,,,,,,,,,,,80.3359832763672,82.0623397827148,82.194221496582,82.7675399780273,82.4818267822266,83.6934280395508,83.7441101074219,100,100,
Bahamas,,58.4372406005859,70.6651,82.8929,95.1207504272461,93.3278,91.5348815917969,90.1786,88.8222732543945,94.4628067016602,91.0844421386719,84.4204177856445,91.548713684082,94.2885818481445,94.4308395385742,87.4098663330078,81.4687271118164,89.6463012695313,90.0682830810547,89.6463012695313,89.782470703125,,
Belarus,,,,,97.9037780761719,97.7423629760742,98.5277786254883,99.7972183227539,99.6296081542969,99.8100662231445,99.7715530395508,99.8662033081055,99.7615814208984,99.8773498535156,99.6439895629883,99.6285095214844,99.4370727539063,99.3871688842773,99.4728622436523,99.6488418579102,99.5548782348633,,
