Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,47.47418491,46.83113374,45.75743323,47.46992863,49.56878257,51.1859643,50.85976867,49.37954265,47.68826099,45.71702095,43.86013081,42.40131273,40.35717932,40.69980011,39.95588545,38.92372779,36.70183084,35.17986631,33.39428232,31.87513495,31.37252324,30.32407776,29.24515221,28.92281933,28.21867679,27.75586294,27.73656241,27.12189187
Albania,12.931675,13.53258822,13.08885861,11.95813327,10.73099632,9.821054973,9.3332535,9.038422419,9.04690687,8.970291114,9.454213177,10.19046602,10.71709152,11.18539861,11.67202733,10.62333895,10.42335155,10.53891444,11.09007301,10.05791733,10.78834667,10.29959837,10.70849638,10.26747715,10.33154331,10.25255735,10.15330915,10.06795534
Algeria,32.47273247,31.63830172,31.1353347,30.68922081,31.25599159,30.81452931,30.59199146,30.70908972,30.25807783,30.00350854,29.18123923,28.23206938,27.64345938,26.26141345,25.21107333,24.39486722,23.72113242,22.95704735,22.34575223,21.77489494,21.05797721,20.50061035,19.94696034,19.6353844,19.68668424,18.97557475,18.39183289,17.66380854
"American Samoa",11.44085512,11.26981946,11.13201719,11.00174729,10.93195564,10.83225004,10.73027307,10.71578031,10.56536036,10.06384361,9.968165391,9.954084005,9.986398024,10.06762413,10.09350616,9.930737108,9.732714614,9.57243912,9.333972599,9.101567574,9.018893622,8.941734225,8.829852526,8.73019446,8.696026981,8.467578386,8.607329315,8.687293713
Andorra,10.17698197,10.14128704,10.00377842,9.565805894,9.223101063,8.876590603,8.559604921,8.346538733,8.04664814,7.715750027,7.41678006,7.134281574,6.865531362,6.697557468,6.586180814,6.394623925,6.222306236,6.07297348,5.926115022,5.796864334,5.655896699,5.502137629,5.417229149,5.310338219,5.151933759,5.048438491,5.018652837,4.996527339
Angola,60.79223655,60.55514471,60.1931442,60.70853201,63.69248445,62.59263036,55.98770723,54.1150576,57.40442691,54.58785727,53.99409996,52.16834889,49.45190234,47.97991248,48.8073632,46.46022988,44.54522055,42.34174434,40.34499272,37.56112934,35.64846149,33.73467432,31.9854306,30.37704549,28.40079498,27.14010949,25.51909054,24.72737948
"Antigua and Barbuda",11.20306146,11.10159026,11.01356781,10.90750805,10.85586694,10.79841103,10.78110849,10.74149351,10.65090636,10.36168354,10.02222491,9.711967148,9.534706689,9.317235656,9.094798648,9.065779977,8.897540749,8.778466568,8.788956187,8.718990608,8.647161028,8.584402548,8.61824638,8.54998549,8.267704763,8.205724836,8.279771465,8.27724445
Argentina,14.86045507,14.99620619,15.51529352,15.64367255,15.89391737,15.89475137,16.38514461,16.75964441,17.17688854,17.53022852,16.67733212,16.72318939,16.50597617,16.27770828,15.69233745,15.77274998,16.1533001,16.81360403,16.85672232,16.93058435,16.72539195,16.96405109,17.14844499,17.11766514,16.53754713,16.00360273,15.80011176,15.54771477
Armenia,17.06791434,17.16242546,17.07436016,15.59612426,14.01451979,13.17916415,12.5720049,11.74176885,11.07809533,10.28677587,10.21255753,10.1270861,9.810730975,9.626193616,9.139107959,8.96217903,8.635112303,8.668277109,8.471526653,8.456004012,8.419340427,8.528162407,8.687965476,8.472426271,8.498856326,8.903272346,8.598297563,8.400660584
Australia,17.60965888,15.85798932,15.04340242,13.9891604,13.70500812,13.25371669,13.09551233,12.47805429,12.31146561,12.05076837,11.74407498,11.17747152,10.82524587,10.42923743,10.02355817,9.702106144,9.463771743,9.424348313,9.130502212,8.87176538,8.489522079,8.149644897,7.712411529,7.503649123,7.484031602,7.563097531,7.570513924,7.638812253
