Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,37,46,54,60,65,69,71,72,72,71,68,64,59,54,50,46,44,42,41,41,41,41,42,42
Albania,1.8,1.7,1.1,1.5,1.8,0.7,1.5,0.8,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Algeria,11,10,10,10,11,11,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,13,13
"American Samoa",6.1,0.3,0.3,1.6,1.9,2.8,3.5,4.2,0.9,1.8,0.7,0.6,0.2,0.3,2.1,2.8,0.9,0.3,0.3,0.7,0.7,0.8,0.6,0.6
Andorra,3.9,5.1,2.9,1,6.5,4.3,2.8,5.4,0.6,0.9,2.9,1.9,0.4,2.5,0.4,2,3.4,0.3,0.3,1.7,1.3,0.2,2.7,0.3
Angola,47,52,57,60,62,63,62,59,55,50,45,39,33,28,24,22,22,24,26,28,30,32,32,32
"Antigua and Barbuda",3.9,2.85,1.8,1.8,1.8,1.2,0.6,1.1,1.7,1.5,1.8,1.5,1.6,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.4,1.4,1.4,1.4
Argentina,4.2,3.8,3.5,3.6,3.2,3.3,3,3.1,2.8,2.6,2.3,2.2,2.3,2.1,1.9,1.9,1.8,1.8,1.6,1.6,1.4,1.6,1.5,1.4
Armenia,4.4,4.4,4.9,5,5.1,6,5.6,6.6,6.1,6.6,6.3,6,8.6,8,8.2,8.5,8.7,8.7,8.6,7.3,7.1,5.3,5.7,5.7
Aruba,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.3,1.5,1.5,1.5,1.4,0.4,0.4,7.9,0.5
Australia,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Austria,1.9,1.8,1.7,1.5,1.3,1,1,1,1.1,1,0.9,0.7,0.8,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.3,0.3
Azerbaijan,11,11,14,15,17,23,23,22,21,24,22,20,18,17,14,9.3,6,3.9,3.9,3.9,3.9,3.9,3.9,3.9
Bahamas,6.7,6,5.4,5.5,4.1,4.4,3.2,1.4,3.9,3.1,2.2,1.4,1.4,1.1,2.1,1.2,0.7,1,1.3,0.6,0.6,0.6,0.5,0.5
Bahrain,5.5,4.9,4.4,3.9,3.4,3.1,2.7,1.1,2.1,2.3,2.5,1.8,1.5,0.3,1.1,1.1,0.5,0.9,0.7,0.7,0.7,0.7,0.7,0.7
Bangladesh,80,80,79,79,78,78,78,77,76,75,74,72,70,68,65,63,61,59,57,55,54,53,52,51
Barbados,,0.4,0.8,0.8,2.4,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.4,0.4,0.8,0.8,0.8,1.1,0.4,0.4,0.4,0.4,0.7,0.7
Belarus,4.9,5,4.8,5.7,5.9,7.5,7,7.6,7.9,9.9,8.1,9.1,11,12,11,11,11,11,9.9,9,9.1,9.1,9.1,9.1
Belgium,1,0.8,1.1,1.1,1.2,1,1.1,0.8,0.8,0.9,0.8,0.7,0.6,0.5,0.4,0.6,0.4,0.5,0.5,0.3,0.3,0.3,0.2,0.2
Belize,2.5,9.6,5,2.6,6.4,3.5,8,7,19,8.6,3.9,8.8,6.9,5.9,2.8,2.2,5.9,2.9,5.2,4.4,4.3,5.9,5.9,5.9
Benin,37,34,32,29,27,25,24,22,21,20,19,17,16,15,13,13,12,11,11,11,11,11,12,12
Bermuda,,,1.7,1.7,,,,,,,,,,,,,,,,,,,,
Bhutan,277,257,235,212,188,164,142,125,110,99,90,83,78,73,68,62,55,48,40,32,26,20,15,12
Bolivia,7.9,7.6,7.4,7.1,6.8,6.6,6.3,6.1,5.8,5.7,5.5,5.4,5.2,5.1,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4
"Bosnia and Herzegovina",6.6,7,6.9,6.7,6.6,6.5,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.6,5.5,5.4,5.4,5.3,5.2,5.1,5,4.9,4.9
Botswana,127,130,131,128,120,108,94,82,72,64,57,51,44,40,36,34,32,30,27,27,26,24,23,22
Brazil,5.4,5.4,5.2,5.4,5.5,5.3,5,5,5,4.9,4.4,4.2,3.9,3.7,3.5,3.1,3,2.9,3,2.9,2.8,2.5,2.3,2.2
"British Virgin Islands",,,,,,5.5,5.4,5.3,5.3,5,5.3,4.8,4.9,4.7,4.6,4.6,4.5,4.2,3.9,4.1,4.1,4.1,4.1,4.1
Brunei,3,3,3,3,3,3,2.4,4.9,1.3,2.4,4.9,4.1,3.1,2.7,3.5,3.4,2.8,2.5,2.5,3.3,3.5,1.1,3,3
Bulgaria,2.5,2.7,3.3,3.6,4,4.2,4.3,4.9,4.8,3.8,4.2,3.8,3.8,3.7,3.6,3.6,3.5,3.6,3.1,2.6,2.8,2.4,2.3,2.1
