Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,15.90593315,15.76286675,15.61256683,15.30751929,14.91659214,14.55370951,14.18240322,13.82047802,13.49196774,13.19095711,12.95984308,12.76647358,12.54755813,12.3057639,12.0484766,11.7779368,11.49369934,11.17695731,10.83874884,10.49640615,10.17552381,9.858003067,9.52561767,9.192096148,8.868188309,8.562747327,8.27851985,8.009375244
Albania,0.007721692,0.00770128,0.007668153,0.007627274,0.007581005,0.007531809,0.007446345,0.00729619,0.006972132,0.006837192,0.00690933,0.0068362,0.006749259,0.006657087,0.006583997,0.006551772,0.006521489,0.006455057,0.006378133,0.006319943,0.006314957,0.006355818,0.00641039,0.006478047,0.00657619,0.006690282,0.006818536,0.006989505
Algeria,6.3927437,6.236048058,6.075802488,5.917773193,5.768255018,5.634129934,5.498167091,5.340538253,5.163619866,4.969339703,4.759220579,4.514878829,4.231013325,3.928420965,3.628317224,3.352636898,3.092901896,2.836055013,2.594318135,2.378791941,2.200321114,2.04881408,1.908245058,1.780715409,1.668496591,1.573010632,1.495959454,1.439010197
"American Samoa",10.35276079,9.741795131,9.170681619,8.647119658,8.176906168,7.763887463,7.39195228,7.04460436,6.72410633,6.43418975,6.181268953,5.964792379,5.772952261,5.595643539,5.422167725,5.241391291,5.041272435,4.824647171,4.602843675,4.387556202,4.18982227,4.00560381,3.82448523,3.64766959,3.47645303,3.312250807,3.156830693,3.011359603
Andorra,-0.64,-0.6,-0.61,-0.64,-0.67,-0.72,-0.77,-0.8,-0.85,-0.89,-0.92,-0.95,-0.96,-0.93,-0.87,-0.79,-0.68,-0.54,-0.4,-0.3,-0.23,-0.12,-0.06,-0.07,-0.1,-0.14,-0.23,-0.39
Angola,10.32463657,10.23397182,10.13665248,10.0345421,9.928586734,9.819791376,9.697438432,9.552875785,9.393651,9.226259571,9.057046645,8.86689119,8.644867184,8.410162376,8.181825339,7.978061908,7.793250979,7.611128201,7.434879712,7.266772138,7.107344625,6.950960859,6.791749381,6.628560177,6.460942577,6.28904761,6.113199449,5.933795611
"Antigua and Barbuda",0.121530615,0.114127987,0.107236015,0.101185253,0.096327012,0.093014421,0.090949895,0.089432463,0.08819515,0.086971027,0.085476823,0.083085425,0.07977135,0.076116667,0.072742214,0.070304024,0.068608236,0.067063775,0.065722913,0.064642214,0.063879328,0.063275704,0.062659018,0.062044083,0.061448033,0.060891617,0.060393994,0.059981959
Argentina,0.033010137,0.032192589,0.031194293,0.030057103,0.028816379,0.02748681,0.025712928,0.023393911,0.020931991,0.018732007,0.017206221,0.016567209,0.016536703,0.016812501,0.017108997,0.017117936,0.01678424,0.01628656,0.015662877,0.014967252,0.014199811,0.013248891,0.012041264,0.010607584,0.008971351,0.007136292,0.005107282,0.002904955
Armenia,0.009687512,0.00979971,0.009903714,0.009987633,0.010074244,0.010203802,0.010342544,0.010478001,0.010578787,0.01066137,0.010751236,0.010627088,0.01018082,0.009543623,0.00890859,0.00847148,0.008178358,0.007879412,0.007590548,0.007356603,0.007209775,0.007115484,0.00701904,0.006921438,0.006842067,0.006786545,0.006762319,0.006768219
Australia,-3.95,-3.57,-3.26,-3.03,-2.89,-2.84,-2.93,-3.15,-3.43,-3.67,-3.78,-3.76,-3.68,-3.59,-3.51,-3.49,-3.55,-3.66,-3.79,-3.91,-3.98,3.79,3.41,3.04,2.7,2.41,2.18,2.02
Austria,0.000491394,0.000495521,0.000497551,0.00049878,0.000498776,0.000497867,0.000496781,0.000493735,0.000489428,0.000483972,0.000477612,0.000466362,0.000448146,0.000426544,0.000404262,0.000384283,0.000364123,0.000340056,0.000314682,0.000289997,0.000267882,0.00024792,0.000228091,0.000208444,0.000189619,0.00017198,0.000155212,0.000139058
Azerbaijan,0.007914136,0.007782097,0.007655595,0.007562134,0.007500078,0.007468578,0.007518213,0.007632106,0.007781603,0.007925989,0.008010507,0.007981023,0.007800264,0.00753901,0.007258647,0.007028383,0.006804264,0.006510469,0.006203937,0.005949481,0.005806476,0.005753343,0.005702976,0.005661403,0.005638036,0.005632303,0.005655648,0.00570239
Bahamas,0.054596809,0.052219298,0.049960361,0.047927936,0.046265082,0.045053488,0.044218027,0.043584586,0.043051934,0.042528286,0.04186785,0.040801983,0.039353383,0.037800345,0.036451068,0.035579563,0.035043777,0.034562433,0.034181177,0.03395882,0.033925052,0.03399401,0.034073689,0.034166087,0.034286651,0.034426063,0.034586679,0.034793937
