Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Congo (Brazzaville)",0.832302012,0.799413103,0.791429517,0.782300852,0.818453366,0.814744784,0.805847464,0.827932335,0.761803853,0.753552271,0.7121875,0.639376837,0.589908644,0.57712437,0.550811414,0.534561544,0.515575295,0.504678349,0.494565419,0.482885019,0.464872703,0.442626585,0.444173225,0.437456956,0.434458239,0.430295459,0.426059439,0.427389127
"Ivory Coast",1.44521058,1.412111129,1.390337902,1.390651067,1.387937476,1.37328754,1.348164401,1.317439058,1.293946108,1.292139157,1.306624789,1.285418608,1.273016892,1.267513223,1.272492394,1.274714138,1.289129898,1.267621507,1.227049674,1.196378245,1.174715013,1.164799924,1.199911078,1.221995334,1.218883151,1.205187501,1.165244413,1.117229464
"Congo (Kinshasa)",0.688568641,0.689033616,0.681876495,0.668670365,0.659302786,0.657689581,0.658556561,0.638345129,0.636286919,0.629789988,0.630746243,0.617963394,0.60155621,0.595763674,0.57074966,0.555219179,0.545745475,0.538873161,0.536366509,0.530370659,0.524023329,0.518457488,0.511071878,0.496833525,0.486285459,0.476686067,0.463108595,0.451832959
"Equatorial Guinea",1.336173743,1.304221139,1.254065995,1.213061722,1.158043582,1.128018036,1.070012615,0.942592595,0.858139308,0.793748239,0.718690629,0.643066987,0.57622239,0.541805553,0.462010735,0.445478274,0.45105829,0.432942539,0.412524875,0.408936758,0.367618124,0.340111027,0.327885096,0.315103827,0.320368374,0.309470217,0.30447619,0.301128956
Micronesia,0.699737234,0.683135189,0.667833829,0.652291565,0.640315979,0.626109281,0.611762826,0.598476697,0.583910569,0.559860391,0.529501115,0.498542694,0.469213744,0.441613131,0.421394823,0.404339568,0.394584553,0.386536309,0.380629064,0.375029508,0.367380774,0.360407838,0.354453047,0.347770453,0.34241245,0.339126301,0.333711213,0.331181286
"Guinea Bissau",2.357986593,2.26553981,2.182875386,2.10172759,2.02083839,1.938201819,1.863425224,1.786478594,1.718328946,1.69282332,1.751827433,1.769857441,1.759005899,1.725246923,1.692699363,1.610956962,1.583522856,1.660152962,1.624398508,1.576118163,1.532367157,1.47778142,1.404085687,1.397359065,1.367452377,1.324919313,1.297141603,1.251171957
"Macedonia (F.Y.R.O.M.)",0.261037596,0.256152443,0.260719824,0.256697471,0.235433516,0.226097438,0.207216629,0.19751067,0.184436317,0.183998113,0.219681766,0.269191235,0.29295311,0.294515449,0.289958475,0.291251217,0.296737292,0.289741654,0.2757328,0.280814392,0.268657997,0.25198064,0.242650439,0.227778457,0.230669149,0.236744862,0.244309775,0.240182482
"Burma (Myanmar)",1.305478297,1.272564515,1.228929172,1.183019563,1.133236945,1.080760995,1.033034452,0.984058226,0.932489652,0.849294812,0.7477138,0.672773711,0.605235106,0.554703444,0.513644132,0.471856656,0.435073343,0.400854964,0.372156167,0.349755139,0.327437651,0.309881614,0.293106613,0.277431549,0.262127458,0.248655472,0.237941851,0.228442606
"West Bank and Gaza",2.691707304,2.619037266,2.525877958,2.425259245,2.309751896,2.207612127,2.122125278,2.044851626,1.988371799,1.734064949,1.473524469,1.33270856,1.269292728,1.234312058,1.225264191,1.223359123,1.243225119,1.274422561,1.301562192,1.326830871,1.341307174,1.357125791,1.409043033,1.101656536,0.897047108,0.957248074,0.910988491,0.871762938
Russia,0.666381778,0.692054627,0.780578457,0.981304822,1.11545115,1.070380202,0.945996401,0.83207193,0.781815699,0.789528799,0.845485085,0.848113973,0.840592545,0.841073924,0.823570829,0.8513143,0.753244246,0.694711005,0.68683444,0.631043533,0.629217836,0.564130854,0.535065772,0.505256083,0.504203043,0.478109734,0.454007934,0.44814554
"Saint Vincent and Grenadines",1.178129674,1.253562622,1.298158234,1.343226927,1.369342354,1.385377175,1.408608286,1.474407163,1.550428319,1.767706513,1.987220233,2.359543139,2.475683219,2.623731785,2.704776874,2.7622501,2.908055945,2.912920813,2.883235763,2.641136645,2.516548174,2.286612502,2.209893646,2.178510323,2.255310187,2.215125797,2.270337226,2.265084522
"Saint Thomas and Principe",2.011390954,1.962819682,1.907571888,1.872526766,1.846234991,1.806332983,1.764556316,1.728680738,1.688250512,1.591781278,1.590655176,1.525981921,1.476347281,1.452997394,1.398398231,1.311558951,1.275582612,1.22541649,1.244730655,1.215741148,1.175319356,1.146552948,1.165742545,1.157114028,1.123586043,1.091181325,1.044161134,1.015872202
Bahamas,0.24207047,0.241293305,0.244483401,0.247244704,0.2355124,0.245149557,0.245549585,0.24774033,0.248807643,0.277923532,0.334379151,0.392997734,0.437374418,0.390262894,0.424540792,0.445385289,0.495266042,0.514960452,0.516567481,0.484433645,0.465604212,0.427546408,0.417469094,0.406964508,0.419977933,0.419903061,0.420080118,0.419351998
Gambia,1.019843515,0.984032371,0.948749751,0.915640899,0.887441303,0.858070759,0.836937263,0.811411556,0.793726423,0.790557825,0.80116177,0.824078533,0.839680642,0.846905071,0.841686726,0.843586585,0.842048273,0.839461455,0.825483442,0.813910146,0.802746432,0.794025836,0.793950966,0.776405824,0.765144819,0.754214422,0.739061703,0.726953683
"Timor Leste",0.779070278,0.738218168,0.69622012,0.654249993,0.613192419,0.573089421,0.535236263,0.490957788,0.457108488,0.42103957,0.377726044,0.340547558,0.308623704,0.284509672,0.263801156,0.239989679,0.217191976,0.20402264,0.192054433,0.180969565,0.174157298,0.1675965,0.163909246,0.159844364,0.157841597,0.154971784,0.152193236,0.14866148
"Virgin Islands (U.S.)",0.442177036,0.433737805,0.424479091,0.413222382,0.388355369,0.403698258,0.410254085,0.417867913,0.428260408,0.479590198,0.56522141,0.65960645,0.706769362,0.774376042,0.821634562,0.843176273,0.921544331,0.959576339,0.952818514,0.900136749,0.871290728,0.797364465,0.786182025,0.818302827,0.835256032,0.850490466,0.855799124,0.86626075
