Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.530064783,0.511987777,0.476308255,0.469018159,0.494166459,0.517040198,0.509561774,0.50781947,0.504375112,0.502575783,0.485424559,0.466437672,0.43943486,0.510702962,0.524279068,0.501788178,0.474322005,0.447757078,0.403171975,0.366842224,0.359911243,0.343110242,0.323806299,0.330414205,0.323426085,0.310509525,0.306876545,0.300923231
Albania,0.029618139,0.029993561,0.027648099,0.031932909,0.032655659,0.03169901,0.03372102,0.033214188,0.03248232,0.028012635,0.026937924,0.024659006,0.023548246,0.022315351,0.019084914,0.017440042,0.016690666,0.017001413,0.016643537,0.015625476,0.016198237,0.016264436,0.016314732,0.016424486,0.016545609,0.016588547,0.016524354,0.016533444
Algeria,0.209989478,0.202845485,0.197163208,0.192439282,0.190082741,0.185658882,0.182392378,0.18521288,0.181303865,0.177377856,0.170740609,0.16373738,0.156446558,0.147796994,0.144028045,0.138946743,0.13432946,0.130148112,0.126068186,0.122194436,0.119112516,0.116204212,0.113435489,0.113306995,0.113181858,0.111156024,0.107783262,0.103457582
"American Samoa",0.034733809,0.034260013,0.033720251,0.033027298,0.032316288,0.031608976,0.030766776,0.029131973,0.032015959,0.041575784,0.050448855,0.060498366,0.073844822,0.078976228,0.081485004,0.080973905,0.083736235,0.088432203,0.091956346,0.095265968,0.097034466,0.097022132,0.096516894,0.094087073,0.096455267,0.09539065,0.093378541,0.092359894
Andorra,0.020386294,0.020076306,0.020029032,0.020138105,0.020273011,0.020439987,0.020660972,0.020732362,0.021061061,0.021330263,0.021174774,0.021280168,0.021197681,0.020916059,0.020848736,0.020680651,0.020628958,0.020664563,0.0206776,0.020752641,0.020686157,0.020466226,0.020469842,0.020431722,0.020395574,0.020383499,0.020483105,0.02058851
Angola,1.565159479,1.558562922,1.549241106,1.549673424,1.545294867,1.508167141,1.437253687,1.391054477,1.445739336,1.385030262,1.345366889,1.305089922,1.262681048,1.227324666,1.246260289,1.200280628,1.165668665,1.123527926,1.079726508,1.007130679,0.966429539,0.918199543,0.868299964,0.822480798,0.768057348,0.722519616,0.676066793,0.644001542
"Antigua and Barbuda",0.15349578,0.154724527,0.158251016,0.152918635,0.157816242,0.157655024,0.152831884,0.16518882,0.175094412,0.188272495,0.195763453,0.226325282,0.238619758,0.25552487,0.266713139,0.277908168,0.287864969,0.297401026,0.315421567,0.32643808,0.333175944,0.345477419,0.360964802,0.374880036,0.394763318,0.397262548,0.389626344,0.388283722
Argentina,0.054095691,0.057832352,0.062344528,0.065111146,0.068638724,0.071829229,0.07740401,0.083507657,0.08272248,0.07956424,0.075834918,0.071875968,0.069877404,0.06781539,0.060467728,0.060481818,0.059610625,0.061961034,0.057321283,0.057403816,0.056409128,0.054947257,0.055602786,0.053676701,0.052679905,0.053884322,0.053663221,0.053408015
Armenia,0.080895435,0.082809078,0.088290686,0.088304724,0.085047873,0.077924021,0.071363658,0.065886649,0.06248806,0.059330041,0.058802565,0.057718517,0.057572558,0.058292638,0.059295684,0.061102978,0.061498872,0.06069341,0.062990958,0.065017694,0.066832765,0.068803083,0.072999999,0.067072442,0.060856096,0.067608744,0.04569408,0.052273468
Australia,0.038331005,0.041006902,0.043063897,0.042510267,0.041110657,0.039090609,0.034980542,0.037120417,0.034377018,0.035295785,0.032794646,0.032168087,0.027131881,0.026035063,0.02466329,0.02403875,0.026890479,0.028274121,0.026703126,0.026234371,0.027255294,0.026615509,0.026568998,0.027639967,0.027905942,0.025330023,0.026180836,0.026434617
Austria,0.032535506,0.041059282,0.045525569,0.045852179,0.047105774,0.041671814,0.039209455,0.031626903,0.032548168,0.035365666,0.036192388,0.038758684,0.036308283,0.042927163,0.049166445,0.056563626,0.06335409,0.06251458,0.060284817,0.064526813,0.062417521,0.061165788,0.053600765,0.048352377,0.050150069,0.047792937,0.049949512,0.04766616
Azerbaijan,0.027212913,0.027761689,0.028565444,0.028375143,0.028187346,0.026781892,0.025673225,0.024897414,0.024316796,0.023884875,0.023897031,0.023399101,0.022984387,0.02312031,0.024910359,0.027127458,0.027441683,0.029950982,0.029097473,0.028254377,0.027971017,0.027724087,0.027207405,0.026852309,0.026446623,0.025683819,0.024996898,0.024664464
Bahamas,0.133786996,0.13364165,0.134011296,0.130276855,0.138553392,0.142524978,0.148505837,0.161745083,0.172018176,0.184968457,0.194096229,0.221317495,0.236292492,0.17881898,0.191088358,0.200457486,0.214121647,0.221286135,0.234429169,0.243724773,0.249366061,0.248479658,0.256042763,0.256532035,0.254669306,0.254888295,0.254514609,0.254537864
Bahrain,0.090271684,0.099228954,0.108212632,0.116170816,0.123656268,0.133883956,0.135626366,0.123216987,0.114222356,0.103305185,0.088833477,0.080967834,0.074460404,0.069153405,0.066530605,0.065397637,0.060528878,0.05749933,0.054825671,0.052730692,0.051493059,0.05260916,0.054400495,0.053975561,0.055957746,0.056084744,0.056722789,0.05742897
Bangladesh,1.329770152,1.213496024,1.108275171,0.978706099,0.864271834,0.755822457,0.629773882,0.530950697,0.525530488,0.499396751,0.481805268,0.442455322,0.394040049,0.354890356,0.365926916,0.365352755,0.338007199,0.32883396,0.357263528,0.357350277,0.315163365,0.323961173,0.289453061,0.288700402,0.298230344,0.313618606,0.296586698,0.287520943
Barbados,0.058011026,0.05926059,0.060869489,0.060052232,0.063951677,0.064637893,0.068018574,0.072743878,0.077339735,0.080842095,0.080353574,0.092457357,0.098818928,0.106681886,0.111438305,0.115293305,0.115824587,0.115694634,0.119463534,0.119696247,0.120506351,0.120948119,0.122630128,0.125058397,0.124980098,0.125447894,0.126090537,0.12730366
Belarus,0.081424923,0.084515332,0.088822403,0.097892654,0.098336864,0.101402671,0.098699371,0.098610175,0.101598114,0.105922295,0.100640995,0.108832665,0.117495285,0.113537515,0.120375626,0.130954603,0.129866523,0.122017287,0.137460444,0.139807895,0.13629612,0.146776321,0.11540219,0.105191648,0.09835417,0.093029575,0.090607742,0.09134521
Belgium,0.019448711,0.021027109,0.023289603,0.024495232,0.021992305,0.020964974,0.023066712,0.024920263,0.032351732,0.036201482,0.033885893,0.03025678,0.032360534,0.033496372,0.035212744,0.034690292,0.034277654,0.036268568,0.036444459,0.039270493,0.036917789,0.038098117,0.038205539,0.04133012,0.038923744,0.038890605,0.037061875,0.036407459
Belize,0.247207043,0.255027931,0.259672292,0.244726626,0.252785764,0.267644852,0.28723652,0.320855294,0.353842713,0.378470844,0.38561166,0.417741282,0.420873488,0.441125873,0.452332619,0.457631744,0.459938569,0.454744062,0.465296789,0.475379462,0.485343681,0.486534153,0.496776723,0.501516652,0.526301441,0.531080093,0.531285397,0.530419297
Benin,1.025202759,1.041604849,1.059626465,1.074307969,1.098268163,1.121331125,1.145121725,1.170308755,1.190221841,1.181089801,1.158376315,1.128770339,1.1180848,1.074248981,1.03309219,0.983346585,0.952459897,0.920854871,0.896789825,0.867875957,0.853882107,0.860005274,0.87275122,0.863328471,0.837082983,0.817760331,0.785963438,0.760554852
Bermuda,0.070147732,0.068672436,0.069148473,0.065852464,0.064057128,0.062400854,0.064038822,0.069474842,0.075108046,0.078894383,0.081594821,0.089377489,0.093348965,0.100130121,0.103512546,0.106181337,0.109799543,0.111423426,0.116781113,0.119621978,0.122285427,0.12067919,0.127628239,0.131967292,0.142989785,0.143248978,0.14478455,0.147130511
Bhutan,2.128801128,2.108158805,2.091319514,2.049886084,2.004484494,1.953902725,1.925538019,1.901035863,1.831073756,1.758835202,1.70904713,1.667436431,1.61289972,1.572742512,1.522634963,1.476966571,1.419532396,1.390440508,1.345077365,1.300047697,1.253072509,1.211317776,1.160998157,1.129738278,1.098121611,1.067321127,1.037039045,1.014641482
