Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,,,,,,,,,,,,,,,,,,,,,,,64.6728608751257,64.0221,63.3712,62.7204,62.0696,61.4188,60.768,60.1172,59.4664,58.8156,58.1648,57.514,56.8632,56.2123820954737,60.8537,65.4951,70.1364,74.7778,79.4191533502894,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,5.03571492713033,4.9094,4.7831,4.6567,4.5304,4.4041,4.2777,4.1514,4.0251,3.8987,3.77241898382251,4.3854,4.9984,5.6114,6.2244,6.8373,7.45032744461375,,,,,,,,,,
"United Arab Emirates",,,,,,,,,,,,,,,,131.667041948415,128.7465,125.826,122.9055,119.985,117.0645,114.144,111.2235,108.303,105.3825,102.4619,99.5414,96.6209,93.7004,90.7799,87.8593889976915,87.2742,86.6889,86.1037,85.5185,84.9332453452471,86.3299,87.7267,89.1234,90.5201,91.9167638821355,,,,,,,,,,,
Argentina,,,,,,,,,,,,6.99518722422986,7.1187,7.2423,7.3658,7.4894,7.6129,7.7365,7.86,7.9836,8.1071,8.2307,8.3542,8.4778,8.6013,8.7249,8.8484,8.9719,9.0955,9.219,9.34258958355323,9.5033,9.6641,9.8248,9.9856,10.1463,10.3071,10.4679,10.6286,10.7894,10.9501,11.1109,11.2716,11.4324,11.5931,11.7539,11.9146141648289,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14678764010437,1.4234,1.7001,1.9767,2.2533,2.53,2.8066,3.08323251675994,3.1571,3.231,3.3048,3.3787,3.45255305279883,3.4688,3.4851,3.5014,3.5177,3.53403456294636,3.5254,3.5169,3.50826423716252,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,407.56212855223,395.4033,383.2446,371.0858,358.927,346.7682,334.6094,322.4506,310.2919,298.1331,285.9743,273.8155,261.6567,249.498,237.3392,225.180388210337,230.81,236.4397,242.0693,247.699,253.3286,258.9582,264.587882652476,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.462901982562,34.0218,35.5807,37.1396,38.6984,40.2573236647904,43.6391,47.0209,50.4026,53.7844126499422,57.3851,60.9857,64.5863,68.187,71.7876,75.3883,78.9889282607185,78.7488,78.5087,78.2686417204061,
Austria,,,,,,,,,,,,,,,,62.3751222279193,62.4267,62.4783,62.5298,62.5814,62.6329898821657,63.7829,64.9327,66.0826,67.2324,68.382293868481,70.5166,72.6509,74.7852,76.9195,79.0539,81.1882,83.3224796833112,85.5553,87.7881,90.0209,92.2536,94.4864325172264,96.7039,98.9213,101.1387,103.3562,105.5736,107.791,110.0084,112.225872435478,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813106477269903,0.9694,1.1257,1.282,1.4383,1.59461469977913,1.7385,1.8824,2.02628197594813,2.3719,2.7176,3.0633,3.4089,3.7546,4.1003,4.4459170817102,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,16.1917209281896,15.3367,14.4817,13.6267,12.7717,11.9167,11.0617,10.2067,9.3517,8.4967,7.6417,6.7867,5.9317,5.07665343975151,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,29.5552629845146,30.6518,31.7483,32.8449,33.9414,35.038,36.1345,37.231,38.3276,39.4241,40.5206,41.6172,42.7137,43.8103,44.9068,46.0033,47.0999,48.1964128641311,50.9491,53.7017,56.4544,59.207,61.959688330418,64.8584,67.757,70.6557,73.5544,76.4530315550674,77.1768,77.9005988613677,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,34.2457690383647,35.4076,36.5695,37.7313,38.8932,40.055,41.2169,42.3788,43.5406,44.7025,45.8643,47.0262,48.188,49.3499,50.5117,51.6736,52.835446187154,,,,,,,,,,,,,,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,10.0856544894248,10.0503,10.015,9.9797,9.9444,9.9091,9.8738,9.83844015769917,9.6857,9.5329,9.3801,9.2273,9.0746,8.9218,8.769,8.6163,8.46348290163876,8.7119,8.9604,9.2088,9.45723864926406,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89797929722515,,,,,,,,
