Country,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34000015,10.905,11.47000027,8.779999733,10.18999958,11.61999989,13.84000015,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.34000015,26.77,25.20000076,28.20000076,27.43,26.66,25.89,25.12,24.35,23.58,22.81,22.04,21.27000046,21.37000084,,
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,45.45000076,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.050000191,5.039999962,5.050000191,5.039999962,5.039999962,5.050000191,5.039999962,5.050000191,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.23999977,18.21999931,15.73999977,13.96000004,14.78999996,12.10000038,11.21000004,10.39999962,10.63000011,10.14999962,10.23999977,9.409999847,11.38000011,11.64000034,10.94999981,10.90999985,10.615,10.31999969,9.369999886,9.229999542,10.64999962,9.449999809,9,8.319999695,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.28999996,10.63000011,10.39000034,9.789999962,9.449999809,7.75,7.900000095,5.429999828,5.889999866,7.599999905,7.670000076,6.630000114,7.12,7.610000134,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,4.5633,4.3767,4.190000057,4.2833,4.3767,4.46999979,4.7143,4.9586,5.2029,5.4471,5.6914,5.9357,6.179999828,5.6233,5.0667,4.510000229,3.299999952,,,,,
Australia,,,,,,,22.51000023,21.54999924,22.60000038,20.26000023,20.61000061,20.37000084,18.56999969,18.35000038,17.52000046,17.28000069,17.06999969,16.32999992,16.53000069,15.72000027,15.15999985,14.72000027,14.27999973,13.68999958,13.38000011,13.18999958,13.26000023,12.57999992,12.10000038,11.72999954,11.86999989,11.56000042,11.15999985,10.88000011,10.64999962,10.15999985,9.890000343,10.22000027,9.529999733,9.550000191,9.569999695,9.369999886,9.329999924,9.090000153,8.890000343,8.989999771,8.920000076,8.630000114,8.539999962,8.380000114,8.319999695,8.159999847,7.730000019,7.980000019
Austria,,,,,,,,,,,,,,,,,,,,,21.84000015,22.17000008,21.73999977,21.28000069,21.14999962,20.71999931,20.10000038,19.77000046,20.43000031,19.46999931,18.37000084,17.15999985,17.54999924,15.61999989,14.64999962,14.28999996,14.06999969,14.23999977,13.89000034,13.09000015,13.14000034,13.32999992,12.93999958,13.44999981,13.01000023,12.30000019,11.46000004,11.51000023,12.5,12.69999981,13.05000019,12.73999977,12.18000031,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.820000172,7.539999962,7.239999771,7.489999771,5.590000153,8.279999733,8.680000305,4,3.789999962,6.090000153,5.570000172,6.130000114,6.179999828,6.190000057,6,6.150000095,5.860000134,
Bahamas,,,,,,,,,,,,,3.00999999,3.4982,3.9864,4.4745,4.9627,5.4509,5.9391,6.4273,6.9155,7.4036,7.8918,8.380000114,7.3567,6.3333,5.309999943,5.22,5.130000114,5.130000114,4.820000172,5.269999981,5.360000134,5.71999979,5.949999809,5.429999828,5.429999828,5.78,6.130000114,4.289999962,5.570000172,5.150000095,5.119999886,5.090000153,5.400000095,4.210000038,3.710000038,3.91,4.110000134,,,,,
Bahrain,,,,,,,,,,,,,,,,,12,8.705,5.409999847,5.230000019,5.4489,5.6678,5.8867,6.1056,6.3244,6.5433,6.7622,6.9811,7.199999809,7.814,8.428,9.042,9.656,10.27,10.884,11.498,12.112,12.726,13.34000015,12.8533,12.3667,11.88,11.3933,10.9067,10.42,9.9333,9.4467,8.960000038,,,,,,
