Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,10,..,..,3.7,..,7.4,..,12,..,11.1,10,16.7,..
Albania,5.3,..,..,6.7,..,6.7,..,6.7,..,30,35,40,..
Algeria,10.5,..,..,10.8,..,3.6,..,3.1,..,12.1,20,13.3,..
"American Samoa",..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,33.3,..,..,37.5,..,33.3,..,25,..,22.2,25,30,..
Angola,5.7,..,..,6.3,..,27.8,..,29,..,19.4,22.2,22.2,..
"Antigua and Barbuda",15.4,..,..,9.1,..,11.1,..,11.1,..,11.1,7.7,7.7,..
Argentina,8.3,..,..,23.1,..,20,..,17.6,..,17.6,22.2,17.4,..
Armenia,,..,..,5.9,..,11.1,..,10.5,..,11.1,11.1,11.1,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,20,..,..,24.1,..,23.3,..,20.7,..,17.2,17.2,24.1,..
Austria,35.3,..,..,38.5,..,38.5,..,46.2,..,30.8,30.8,23.1,..
Azerbaijan,15,..,..,6.7,..,2.9,..,2.9,..,2.8,2.5,,..
Bahamas,26.7,..,..,8.3,..,,..,,..,19,20,23.7,..
Bahrain,8.7,..,..,4.3,..,10.7,..,11.5,..,14.8,4.5,4.5,..
Bangladesh,8.3,..,..,8.3,..,16,..,14.3,..,6.7,6.7,6.3,..
Barbados,29.4,..,..,27.8,..,5.6,..,11.8,..,11.8,11.8,11.8,..
Belarus,10,..,..,6.5,..,3.2,..,3.4,..,3.4,10.7,3.6,..
Belgium,21.4,..,..,23.1,..,33.3,..,41.7,..,41.7,23.1,23.1,..
Belize,6.3,..,..,18.2,..,,..,,..,13.3,13.3,,..
Benin,19,..,..,22.2,..,13.3,..,30.8,..,22.2,14.8,14.3,..
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,,..,..,,..,,..,,..,10,10,10,..
Bolivia,6.7,..,..,23.5,..,20,..,45.5,..,33.3,28.6,27.3,..
"Bosnia and Herzegovina",11.1,..,..,,..,,..,6.3,..,,,22.2,..
