Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,,,,,,,,,,,771,728.5,686,779,733,733,749,903,894,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,544,548,481,414,421,362
Armenia,,,,,,,11,10,9,4,17,16,15,26,17,16,16,14,11,13,8,6,4,2,,,
Australia,,,,,,,,239,232,199,199,197,187,176,166,169,179,172,194,,,,,,,,
Austria,,,,,,,,,,,,,,,128,116,102,105,108,142.5,177,71,93,86,64,60,57
Azerbaijan,,,,,,,,,,,,27,57,51,72,51,78,126,72,70,68,66,64,62,84,45,58
Belarus,400,400,400,400,400,300,300,300,300,281,231,222,210,194,233,219,217,202,172,,,,,,,,
Belgium,,,,,,,,,,,,,,,104,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,114,117,4,6,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,25,22,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,2749,,,,,
Bulgaria,,,,,,,,,,,,,,99,120,120,143,153,158,,,,,,,,
Canada,,,,727,701,696,626,804,754,794,480,468,459,425,433,470,417,360,433,336,360,336,332,328,331,,
Croatia,,,,,,,,,,,37,37,40,45,36,60,71,67,76,36,38,35,40,27,34,28,36
Cyprus,,,,,,,,,,,,,15,8,14,13,18,15,11,8,19,5,6,8,5,3,
"Czech Republic",,,,,232,239,227,246,193,182,216,222,197,189,176,150,148,177,166,97,112,,,,,,
Denmark,,61,65,61,70,81,73,73,74,64,63,46,45.3,44.6,43.9,43.2,42.5,41.8,41.1,40.4,39.7,39,37,,,,
"Dominican Republic",,,,,,,,,,,,,,,,,,,246,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,212,200,199.5,199,,
"El Salvador",130,102,90,103,135,119,93,92,175,198,25,249,186,201,182.3333,163.6667,145,126.3333,107.6667,89,88,,,,,,
Estonia,,,,,,,,,,46,25,32,32,31,24,20,23,21,19,19,16,19,13,19,15,14,26
Finland,,,,,,,,,56,39,46,40,35,43,39,46,42,29,25.5,22,31,26,20.5,15,,,
France,,,,,,,717,646,641,664,689,641,593,545,497,449,504,580,526,488,480,486,492,498,,,
Germany,1415,1450.25,1485.5,1520.75,1556,1462,1403,1296,1175,1170,1051,1006,951,946,860,786,872,757,694,567,616,616,586.5,557,571,546,
Greece,,,,,,,72,76,75,72.4118,69.8235,67.2353,64.6471,62.0588,59.4706,56.8824,54.2941,51.7059,49.1176,46.5294,43.9412,41.3529,38.7647,36.1765,33.5882,31,39
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,4,,
Guyana,,,,,,,,,,10,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Hungary,,,,,126,164,137,138,145,149,143,115,149,128,151,121,115,116,107,92,89,76,60,67,74,76,76
Iceland,,,,,,,,,,,,,,,,3,6,5.8,5.6,5.4,5.2,5,4.8,4.6,4.4,4.2,4
Ireland,,,,,,,,,,,64,66,60,57.2857,54.5714,51.8571,49.1429,46.4286,43.7143,41,48,48,44,40,,,
Israel,,,,,,,,,,,,,,,,,,,,42,52,64,62,62,62,54,52
Italy,,,,,1086,1080,1026,1090,1147,1103,1075,1017,892,930,889,877,945,805,753,697,641,585,496,402,410,432,339
Kazakhstan,,,,,,,,,260,253,236,272,307,275,318,325,390,322,326,279,295,280,265,250,235,220,
"South Korea",,,,,,,,,,,,,,,,,,1088,1129,1096,1079,1095,1099,1054,954,923,931
Kyrgyzstan,,,,,,,,,,,,,,,,,20,21,22,23,24,25,26,27,23,19,25
Latvia,,,,,,,,,,,,,,,,,,,39,28,29,30,31,26,25,24,35
Lithuania,,,,,,95,90,77,89,69,62,83,79,115,88,111,102,97,71,43,47,48,55,59,57,39,
Luxembourg,,,,,,,,,,,,,14,15,6,7,8,9,10,13,16,19,18,16,,,
Macau,,,,,,,,,6,2,4,6,8,7,2,14,5,13,12,5,10,11,15,13,11,15,24
Malaysia,,,,,,,,,,,,,,,,,,,,,,506,327,266,280,294,
Malta,,,,,,,,,,,,5,4,12,11,6,7,7,3,8,3,1,6,5.6667,5.3333,5,7
Mauritius,,,,,,,,,,,,,,,6,4,1,1,2,1.8571,1.7143,1.5714,1.4286,1.2857,1.1429,1,
Mexico,,,,,,,,,,,,,1263,1341,1258,1272,1247,1207,1320,1269,1352,1454,1417,1216,1233,1339,1317
Moldova,,,,,,,,,,,,,,,,,,,,28,34,34.3333,34.6667,35,33,31,25
"Burma (Myanmar)",,,,,,,,,,14,15,12,9,9.5,10,4,14,24,30,,,,,,,,
Namibia,,,,,,,,,,,13,10,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,92,108,114,87,105,89,71,78,83,89,75.3333,61.6667,48,,,,,
"New Zealand",,,,71,81,83,97,57,64,39,60,70,79,86,80,105,96,83,85,109,114,79.5,45,,,,
Nicaragua,,,,,,,,,,38,22,26,28,19,21.8333,24.6667,27.5,30.3333,33.1667,36,36,,,,,,
Norway,,,,,,,,,62,54,54,36,36,47,36,37,38,39,40,41,44,42,34,44,,,
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,,,,,,20,20.5,21,
Panama,,,,,,,,,,44,41,49,36,49,39,45,60,32,23.5,15,12,24,24,22,21,30.5,40
Peru,,,,,,,,,,,,,,,,,,,,,,142,182,177.3333,172.6667,168,
Poland,,754,611,620,611,581,609,661,614,490,552,514,483,481,451,443,467,447,495,387,421,388,326,288,250,287,
Portugal,,,,,,,,,,228,347,352,340,293,298,287,298,269,249.8333,230.6667,211.5,192.3333,173.1667,154,,,
"Puerto Rico",,,,,,,,,,,,,,18,41,39.0909,37.1818,35.2727,33.3636,31.4545,29.5455,27.6364,25.7273,23.8182,21.9091,20,
Romania,,,,,,,524,575,491,426,448,427,413,399,394,477,387,449,460,377,347,271,229,213,220,194,181
Russia,7830,7550,7170,7110,6770,6790,5110,4450,4030,4000,4150,4090,3660,3330,3060,2880,2680,2817,2362,1805,1889,1696,1672,1573,1349,1199,1207
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,4,,
"Saint Vincent and Grenadines",,,,,,,,,,,,,,,,,,,1,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,59,64,63
Slovakia,,,,109,112,118,146,97,131,105,83,98,82,89,72,74,93,85,78,40,43,36,54,52,53.5,55,38
Slovenia,,,,,,,,,,,,,,,,,,,,26,21.5,17,18,19,22,,
Spain,,,,1041,998,968,962,1030,1045,1078,1102,1003,785,692,671,647,660,550,513,371,332,326,260,223,233,273,249
"Sri Lanka",,,,,,,,,,35,39,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,65,62,56,51,56,54,47,61,66,68,63,37,53,51,41,32,40,32,33
Switzerland,,,,,,,,,,,,,,,,,,,,182,184,186,223.5,261,218,180,
"Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,6,,
Turkey,,,,,,,,,,,,,858,795,830,1057,1578,1029,850,1147,1421,1668,735,1338,1592,1221,1370
Ukraine,,2499,2452,2178,2152,1934,1727,1467,1403,1227,1234.5,1242,1136,1065,996,907,898,982,860,554,549,553,547,436,341,296,
"United Kingdom",,,,,,,211,216,195,172,213,206,184,167,172,166,215,190,165,140,166,166,153.5,141,130,,
"United States",,,,,,,,,,,,,,5129,5349,5328,5396,5228,4827,4216,4192,4308,4277,4265,4457,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,21
Venezuela,,,,,,,,,,,,,,,,,,,,375,311,291,308,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,78,88,95.5,103,,
