Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,,,,,,,,,,,25242,24073,22904,20519,23152,25030,26120,25924,24520,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Argentina,,,,,,,,,,,,,,,,,,,,,,379562,358447,347816.5,337186,320452,291945
Armenia,,,,,,,60,44,90,219,53,61,93,65,61,50,78,72,61,49,47,46.6667,46.3333,46,,,
Australia,,,,,,,,,,,,,,,,,,,,65825,61640,62834,68050,69045,63815,68836,67350
Austria,,,,,,,,,,,,,,,58485,57044,58702,54002,61622,75014,88406,55650,53641,47608,47207,45253,46003
Azerbaijan,,,,,,,,,,,,85,100,133,152,126,184,192,196,177.8,159.6,141.4,123.2,105,163,96,167
Belarus,15900,16000,15400,14000,11900,9700,9200,9100,8400,7895,5817,5151,4312,3983,3877,3125,2676,2436,1985,1904,1776,1644,1412,1388,1245,1045,1010
Belgium,,,,,,,,,,,,,,,,,,,,62749,63471,63405,57106,51982,,,
Belize,,,,,,,,,,,,,,,,,,,,1823,1564,1577,1552,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,460316,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,1836,1649,1619,1614,1577,1626,1652,
Canada,,,,311854,315475,271570,270751,272865,267466,261217,236561,223361,212228,203783,198279,194351,188117,178111,169332,143880,135909,137284,135732.5,134181,131939,,
Chile,,,,,,,,,,,,,,,,,,,,,,158621,150528,139060,,,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,89714,
Croatia,,,,,,,,,,,16618,16385,15772,16775,16212,16383,17934,17101,17609,12866,10054,11430,9630,9264,8254,9607,9783
Cyprus,,,,,,,,,,,,,1421,1729,1826,1777,1681,1655,1889,1721,1642,1545,1286,1075,1145,1158,
"Czech Republic",,,,,79229,80858,79467,84589,84071,74282,72081,70844,68567,62284,60859,60869,60990,57311,52289,35888,36589,34532,32475,30418,31737,32117,
Denmark,,29631,30229,30234,32860,34265,33850,33855,32590,32171,30773,27863,27541.7,27220.4,26899.1,26577.8,26256.5,25935.2,25613.9,25292.6,24971.3,24650,24446,,,,
"Dominican Republic",,,,,,,,,,,,,,,,,,,7389,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,7971,11122,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,15155,15906,15419.5,14933,,
"El Salvador",,,,,,,,,,,,,,,,,,,,16169,15347,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,1838,2047,2397,2532,2615,2967,3131,3289
Finland,,,,,,,,,45010,44637,44253,44120,43171,41830,41441,44528,45114,45107,,,,,,,,,
France,,,,,,,521733,518593,533598,548407,577586,565205.6,552825.2,540444.8,528064.4,515684,513420,521614,503281,455498,454087,439933,425779,411625,,,
"French Guiana",,,,,,,,,,,,,,,,,,,,,,,,,275,,
Germany,1339782,1616578,1652043,1547762,1523302,1439274,1305632,1267263,1250631,1225113,1177045,1081401,1000038,873421,832178,783339,801667,813825,813761,730229,780748,761520,732652.5,703785,702593,687959,
Greece,,,,,,,18321,17286,15927,15124.5625,14322.125,13519.6875,12717.25,11914.8125,11112.375,10309.9375,9507.5,8705.0625,7902.625,7100.1875,6297.75,5495.3125,4692.875,3890.4375,3088,3194,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,662,,
Guyana,,,,,,,,,,2319,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,1937,1766,,,,,,,,,,,,,,,,
Hungary,,,,,22647,22634,20766,19945,19888,19595,19857,18474,17950,18060,16461,16411,15593,14415,14960,12135,12826,11106,10986,11836.5,12687,13693,14699
Iceland,,,,,,,,,,,,,,,,1004,1140,1149.5556,1159.1111,1168.6667,1178.2222,1187.7778,1197.3333,1206.8889,1216.4444,1226,
Ireland,,,,,,,,,19600,11400,13075,14750,16425,18100,17800,18800,18800,21200,21377.5,21555,27166,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,48178,,
Italy,,,,,582751,553067,529806,503970,510678,520244,522663,503442,477650,467720,456958,436774,426601,410407,386040,357331.3333,328622.6667,299914,264205,238999,225522,216024,211512
Kazakhstan,,,,,,,,,4189,3093,2702,2734,2944,2797,2814,2768,2651,2328,2223,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,106,93,122,127.4,132.8,138.2,143.6,149,119.5,90,
Latvia,,,,,,,,,,,,,,,,,,,,,,912,952,1016,1050,1084,1150
Lithuania,,,,,,2617,2299,2282,2396,2153,1950,1786,1838,1854,1898,2343,2457,2479,2195,1344,1505,1763,1841,1985,2077,2243,
Luxembourg,,,,,,,,,,,,,16062,15265,16883,14890.25,12897.5,10904.75,8912,8111,7310,6509,6423,6328,,,
Macau,,,,,,,,,2302,2001,2168,2196,2309,2458,2748,2974,1711,2728,2484,3080,2991,3229,3599,3644,3878,3979,3799
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,35037,33867.5,32698,
Malta,,,,,,,,,,,,4562,4438,4208,3611,3496,3848,3829,3499,2899,2800,2558,2582,2572.6667,2563.3333,2554,2552
Mauritius,,,,,,,,,,,,,,,,,,,,,,1274,1008,971.6667,935.3333,899,974
Mexico,,,,,,,,32919,313239,319319,336256,303055,281372,260867,260244,267812,273900,260860,377885,313763,332538,354773,368686,357539,348650,360195,342534
