Country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,50841,40763,37920,36906,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,520762,512452,422297,395773,386394,377015,375255,
Australia,,,,,,,,,,,,,84170,84555,83325,97844,99878,95467,103410,
Austria,,,,,,,,66846,64851,66461,62523,70316,91927,113538,66152,64113,55151,54151.5,53152,
Barbados,,,659,479.5,300,403,,,,,,,,,,,,,,
Belgium,119169,97826,92630,97731,92662,89594,86526,83458,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,1612,1668,,,,
Botswana,751,845,974,1036,882,728,574,420,266,148,275,362,,,,,,,,
Brazil,362712,333234,324728,349289,373850,398411,422972,447533,472094,496655,521216,545777,570338,594899,619460,,,,,
Bulgaria,,,,,,,4659,4190,4098,3846,3556,3560,,,,,,,,
"Burkina Faso",2604,2016,2541,3373,,,,,,,,,,,,,,,,
"Cayman Islands",,,,,,,,,,,,3,,,,,,,,
"Central African Republic",,,,,,,,,59,101,87,119,,,,,,,,
Chile,269590,228424,179395,193885,195659,203361,201884,205491,,,,,,,,,,,,
"Costa Rica",,,,,,100214,99508.6667,98803.3333,98098,108351,120331,121430,,,,,,,,
Denmark,,,,,,,,,,,,,,,39058,38369,,,,
"Dominican Republic",,,,,,,,,,,,1603,,,,,,,,
Egypt,,44704,43687,35473,31980,32202,26460,,,,,,,,,,,,,
"El Salvador",25125,24649,23483,22845,29313,20976,19651,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,3725,4133,4160,4619,4758,
Finland,,,,,,,,,,,,,48185,49696.5,51208,50062,48916,,,
France,612972,632461,655921,695339,694421,712971,672453,640233,647279,654176,673724,659939,608425,617671,,,,,,
Guyana,,,2381,,,,,,,,,,,,,,,,,
Hungary,26566,26677,26408,26948,25313,25069,25566,23659,23918,22518,20762,22044,,,,,,,,
India,2117,42598,8747,4765,4381,3649,4136,3507,2814,2425,3053,,,,,,,,,
Israel,,,,,,,,,,,,,3344,3681,,,,,,
Italy,578919,588899,612038,633374,607544,574894,561390,548525,525084,513582,496354,466852,435741.6667,404631.3333,373521,328242,297669,283999,270188,
Jordan,15299,15308,14742.6667,14177.3333,13612,10705,11948,12237,12923,14299,,,,,,,,,,
Kazakhstan,,4929,3352,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,1167,,,,,,,
Macau,,3663,3209,3586,3639,3836,4086,4594,4936,2766,4846,4386,5870,5837,6354,7071,7036,7230,7335,
Malaysia,,,,,,,,,,,,,,,,,32994,31793,30592,
Malta,,,,,5114,4936,4746,4111,4002,4366,4328,4023,3374,3317,2992,3031,3054,3077,3100,3218
Mauritius,,,,,,,,,,,,,,,1106,931,922.6667,914.3333,906,975
Mexico,416596,394218,406731,427972,393742,367379,335820,338962,352546,368500,362763,489953,,,,,,,,
"Antilles (Netherlands)",1614,1321,1420,,,,,,,,,,,,,,,,,
"New Zealand",20826,17004,3179,20772,22881,24551,25585,26217,26563,26860,26047,26458,22510,20212,,,,,,
Panama,15700,15309,16248,13829,13816,13432,11960,11188,10365,9355,9471,,,,,,,,,
Peru,,,,,,,,,,,,,,,4625,15405,18734,10048.5,1363,
Philippines,,,,26110,23632.5,21155,22965,22250.5,21536,20821.5,20107,18777,17447,18816,20185,20233.5,20282,,,
Romania,7303,6240,5865,5899,6124,5741,5265,4811,4302,4401,3879,3907,3026,3218,2794,2623,2613,2630,3262,3244
Rwanda,459,530,610,401,,,,,,,,,,,,,,,,
"Saint Vincent and Grenadines",,,301,78,95,85,63,99,89,77,102,207,,,,,,,,
Seychelles,164,95,68,87,135,92,103,,,,,,,,,,,,,
Singapore,,,3741,3334,3655,3233,3037,3139,3263,8121,9792,10873,,,,,,,,
Slovakia,,,,,,,,,,,,,,,8652,8302,8327,8589,8851,
"South Africa",,,,,,,,,,,,,22429,15924,,,,,,
Spain,670215,747308,863671,927079,938320,918141,870659,867192,886500,907849,920495,801541,614053,566103,509472,455426,401380,421724,454873,
"Sri Lanka",,,2073,2065,2119,1722,1464,1382,1372,1696,1703,1467,,,,,,,,
Taiwan,20358,23622,28244,33053,33004,31363,32113,34094,33605,,,,,,,,,,,
Thailand,,,51403,50099,50066,52436,56185,56668,57066,55314,53784,,,,,,,,,
Tunisia,32593,34275,37716,38741,42581,41959,38976,40589,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,4119,
"United Kingdom",,,,,,,,,,,,,,,,,,98444,,
