year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,-45.239113827348774,42.261538461538464,0.09699999999999999,-0.012220588235294372,10911,-7.532671911569082,355.4513320825499,67.57038973367662,37.524
1961,-43.11764705882342,42.36307692307693,0.078,-0.0021014705882329565,12158,-7.224877057850449,350.9393996247636,66.92231477248447,37.811
1962,-40.99618029029807,42.46461538461537,0.201,0.008017647058824906,11628,-6.91708220413193,346.4274671669791,66.27423981129209,38.113
1963,-38.87471352177181,42.56615384615384,0.192,0.01813676470588277,12021,-6.609287350413297,341.9155347091928,65.62616485009971,38.43
1964,-36.75324675324646,42.667692307692306,0.2,0.02825588235294063,13146,-6.301492496694777,337.4036022514065,64.97808988890756,38.76
1965,-34.631779984721106,42.769230769230774,0.192,0.038375000000002046,13897,-5.993697642976144,332.89166979362017,64.33001492771518,39.102
1966,-32.510313216195755,42.87076923076924,0.24600000000000002,0.04849411764705991,14457,-5.685902789257625,328.37973733583385,63.681939966522805,39.454
1967,-30.388846447669494,42.97230769230768,0.154,0.05861323529411777,15042,-5.378107935538992,323.86780487804754,63.033865005330654,39.813
1968,-28.267379679144142,43.07384615384615,0.256,0.06873235294117919,14562,-5.070313081820473,319.3558724202612,62.385790044138275,40.178000000000004
1969,-26.14591291061879,43.175384615384615,0.419,0.07885147058823705,14730,-4.76251822810184,314.8439399624749,61.7377150829459,40.546
1970,-24.02444614209344,43.27692307692308,0.528,0.08897058823529491,15394,-4.45472337438332,310.3320075046886,61.089640121753746,40.914
1971,-21.902979373567177,43.37846153846155,0.49200000000000005,0.09908970588235277,15051,-4.146928520664687,305.8200750469041,60.44156516056137,41.282
1972,-19.781512605041826,43.47999999999999,0.634,0.10920882352941419,14906,-3.839133666946168,301.3081425891178,59.79349019936899,41.65
1973,-17.660045836516474,43.58153846153846,0.6709999999999999,0.11932794117647205,15583,-3.531338813227535,296.79621013133146,59.14541523817684,42.016000000000005
1974,-15.538579067991122,43.683076923076925,0.652,0.12944705882352991,14896,-3.2235439595090156,292.28427767354515,58.49734027698446,42.373999999999995
1975,-13.417112299464861,43.78461538461539,0.574,0.13956617647058778,9342,-2.9157491057903826,287.77234521575883,57.84926531579208,42.721000000000004
1976,-11.29564553093951,43.88615384615383,0.415,0.1496852941176492,8306,-2.6079542520718633,283.2604127579725,57.20119035459993,43.053000000000004
1977,-9.174178762414158,43.9876923076923,0.434,0.15980441176470705,8193,-2.3001593983532302,278.7484803001862,56.55311539340755,43.367
1978,-7.052711993888806,44.08923076923077,0.6459999999999999,0.16992352941176492,8362,-1.992364544634711,274.2365478423999,55.90504043221517,43.66
1979,-4.931245225362545,44.190769230769234,0.636,0.18004264705882278,8346,-1.6845696909160779,269.72461538461357,55.256965471022795,43.931000000000004
1980,-2.8097784568371935,44.2923076923077,0.598,0.1901617647058842,8372,-1.3767748371975586,237.3,54.608890509830644,44.178000000000004
1981,-0.6883116883118419,44.39384615384614,0.5710000000000001,0.20028088235294206,8042,-1.0689799834789255,234.6,53.960815548638266,44.403999999999996
1982,1.4331550802144193,44.49538461538461,0.485,0.21039999999999992,7507,-0.7611851297604062,231.9,53.31274058744589,44.611000000000004
1983,6.0,44.596923076923076,0.515,0.22051911764706134,7037,-0.4533902760417732,229.2,52.664665626253736,44.799
1984,8.0,44.698461538461544,0.48700000000000004,0.2306382352941192,6881,-0.14559542232325384,227.1,52.01659066506136,44.966
1985,8.0,44.80000000000001,0.44299999999999995,0.24075735294117706,6787,0.16219943139537918,225.5,51.36851570386898,45.107
1986,10.0,44.90153846153845,0.42700000000000005,0.2508764705882349,6045,2.800000008,224.3,50.72044074267683,45.213
1987,10.0,45.00307692307692,0.518,0.26099558823529634,6616,7.900000004,223.4,50.07236578148445,45.283
1988,12.0,45.104615384615386,0.446,0.2711147058823542,7427,5.599999981,222.8,49.42429082029207,45.317
1989,18.0,45.20615384615385,0.424,0.28123382352941206,7432,0.400000019,222.3,48.77621585909992,45.324
1990,24.0,46,0.42,0.2913529411764699,7559,1.7011736999882032,222.2,47.83362961,45.306000000000004
1991,26.0,46,0.405,0.30147205882353134,7376,2.0089685537068362,222.1,47.26111603,45.271
1992,21.0,46,0.4,0.3115911764705892,6702,2.3167634074253556,222.1,46.6881485,45.23
1993,30.0,46,0.43,0.32171029411764707,4906,2.6245582611439886,222.3,46.11248016,45.201
1994,27.0,46,0.281,0.33182941176470493,4786,3.499999989,221.9,45.53139496,45.201
1995,24.0,46,0.769,0.34194852941176634,5303,10.40000002,221.2,44.94219589,45.246
1996,28.0,46,0.7120000000000001,0.3520676470588242,5817,11.19999997,219.7,44.34217453,45.35
1997,41.0,46,0.489,0.36218676470588207,6042,7.90000001,217.0,43.72862244,45.519
1998,46.0,46,0.47100000000000003,0.3723058823529435,6131,6.804762116,213.5,43.09883499,45.763000000000005
1999,19.0,46,0.574,0.38242500000000135,6074,3.239799671,209.2,42.45120621,46.093
2000,28.0,46,0.58,0.391,6076,3.0120761710000004,203.9,41.78853989,46.522
2001,38.0,46,0.5720000000000001,0.4014,6146,4.220965147,197.8,41.11472702,47.059
2002,41.0,46,0.72,0.4118,6754,5.394711944611117,190.9,40.43367004,47.702
2003,40.0,46,0.498,0.4222,6691,5.247494541,183.2,39.74926758,48.44
2004,40.0,46,0.995,0.4326,7124,10.87957748,174.6,39.06541824,49.263000000000005
2005,38.0,46,0.9790000000000001,0.44299999999999995,7883,18.26145032,165.6,38.38602448,50.165
2006,34.0,46,1.0979999999999999,0.4534,8477,20.73512488,156.2,37.71497726,51.143
2007,73.0,46,1.197,0.4638,9313,22.593054300000002,146.8,37.5,52.177
2008,69.0,47,1.181,0.4742,9974,13.81714581,137.4,36.40599823,53.243
2009,60.0,47,1.232,0.4846,9687,2.412869693,128.6,35.76550674,54.31100000000001
2010,77.0,47,1.242,0.495,9782,3.407654794,120.3,35.13201904,55.35
2011,71.0,48,1.252,0.508,9752,3.9185969860000003,112.3,34.6,56.33
2012,75.0,48,1.33,0.523,10191,5.155440545,105.0,33.87903595,57.236000000000004
2013,77.0,48,1.254,0.527,10297,6.81358577,98.6,33.2560463,58.053999999999995
2014,64.0,49,1.29,0.531,10399,4.804472704,93.0,32.0,58.776
2015,64.0,49,1.255,0.5329999999999999,10121,3.006980545,88.2,31.9262668680999,59.398
2016,64.0,47.94769230769231,1.24,0.5544499999999992,9512,9.703839896671184,84.2,31.278191906907523,59.925
2017,75.68449197860991,48.049230769230775,1.1324367167919789,0.5645691176470606,9167,10.011634750389817,80.6,30.630116945715145,60.379
2018,77.80595874713526,48.150769230769214,1.1500119695791184,0.5746882352941185,8701,10.319429604108336,77.7,29.982041984522994,60.782
2019,79.92742551566062,48.25230769230768,1.167587222366258,0.5848073529411764,8442,10.62722445782697,74.7,29.333967023330615,56.785312098188115
2020,82.04889228418688,48.35384615384615,1.1851624751533976,0.5949264705882342,6577.434463276848,10.935019311545489,84.73538461538374,28.685892062138237,57.12768351841021
