year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,76.91891891891896,88.29572649572651,3.571,0.666099145299146,29495,0.2405480546291301,198.4,100.0,51.869
1961,77.37908961593178,88.53401709401709,10.542,0.6690664957264962,29900,0.3434656340599531,181.5,100.0,53.235
1962,77.83926031294448,88.77230769230772,9.183,0.6720338461538464,30399,0.4463832134907477,166.0,100.0,54.59
1963,78.29943100995729,89.0105982905983,6.68,0.6750011965811966,31059,0.5493007929215707,151.6,100.0,55.911
1964,78.7596017069701,89.24888888888887,8.749,0.6779685470085477,31875,0.6522183723523938,138.1,100.0,57.181999999999995
1965,79.21977240398292,89.4871794871795,6.562,0.6809358974358979,32919,0.7551359517831884,125.5,100.0,58.388000000000005
1966,79.67994310099573,89.72547008547008,3.389,0.6839032478632481,34054,0.8580535312140114,113.9,100.0,59.523999999999994
1967,80.14011379800854,89.96376068376071,5.1,0.6868705982905983,35289,0.960971110644806,103.2,100.0,60.596000000000004
1968,80.60028449502136,90.20205128205129,5.482,0.6898379487179493,36517,1.063888690075629,93.2,100.0,61.608999999999995
1969,81.06045519203417,90.44034188034186,6.164,0.6928052991452995,37817,1.166806269506452,84.1,100.0,62.56
1970,81.52062588904698,90.6786324786325,12.182,0.6957726495726497,39293,1.2697238489372467,75.9,100.0,63.449
1971,81.9807965860598,90.91692307692307,13.799000000000001,0.6987400000000008,41313,1.3726414283680697,68.5,100.0,64.275
1972,82.4409672830725,91.1552136752137,16.059,0.701707350427351,43546,1.4755590077988927,61.9,100.0,65.042
1973,82.90113798008531,91.39350427350428,23.045,0.7046747008547012,45392,1.5784765872296873,56.1,100.0,65.757
1974,83.36130867709812,91.63179487179485,21.436,0.7076420512820514,47445,1.6813941666605103,51.1,100.0,66.421
1975,83.82147937411094,91.87008547008548,21.573,0.7106094017094025,40687,1.784311746091305,46.7,100.0,67.04
1976,84.28165007112375,92.10837606837606,23.154,0.7135767521367526,44742,1.887229325522128,43.0,100.0,67.616
1977,84.74182076813656,92.34666666666669,24.605999999999998,0.7165441025641028,46100,1.990146904952951,39.8,100.0,68.152
1978,85.20199146514938,92.58495726495727,23.99,0.719511452991453,45797,2.0930644843837456,36.9,100.0,68.65100000000001
1979,85.66216216216219,92.82324786324784,23.717,0.7224788034188041,43796,2.1959820638145686,34.5,100.0,69.117
1980,72,93.06153846153848,21.896,0.7254461538461543,45521,2.2988996432453916,32.3,100.0,69.55
1981,75,93.29982905982905,22.773000000000003,0.7284135042735045,44741,2.4018172226761862,30.4,100.0,69.95100000000001
1982,79,93.53811965811968,25.47,0.7313808547008547,45793,2.5047348021070093,28.8,100.0,70.317
1983,83,93.77641025641026,20.734,0.7343482051282058,47113,6.3763768,27.4,100.0,70.65100000000001
1984,86,94.01470085470083,22.592,0.737315555555556,47268,5.003646045,26.1,100.0,70.957
1985,90,94.25299145299147,24.295,0.7402829059829061,45373,2.81348754039945,25.1,100.0,71.237
1986,92,94.49128205128204,25.375999999999998,0.7432502564102572,44772,1.182993916,24.3,100.0,71.49600000000001
1987,95,94.72957264957267,25.436,0.7462176068376074,44155,10.39900933,23.7,100.0,71.736
1988,96,94.96786324786325,26.118000000000002,0.7491849572649576,44267,6.999991649,23.4,100.0,71.962
1989,96,95.20615384615382,24.381999999999998,0.7521523076923078,43935,0.36400713799999995,23.2,100.0,72.178
