year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-47.54564564564589,45.61880341880328,2.435714285714287,0.046,0.15055213675213786,1173,0.78,1.9077179361759704,73.84295962732926,260.2,-62.73688983888951,76.06966645454531,45.379,63.824083196496986
1961,-44.569712569712465,46.377094017093896,2.442857142857143,0.046,0.1584545299145308,1215,0.818,6.058160825,74.12390993788824,253.8,-60.38574036386672,74.74261921272728,45.97,62.990448823207544
1962,-41.59377949377995,47.13538461538451,2.450000000000001,0.049,0.1663569230769255,1222,0.856,5.45303097,74.40486024844722,247.8,-58.03459088884392,73.41557197090924,46.556999999999995,62.156814449917874
1963,-38.61784641784652,47.893675213675124,2.4571428571428573,0.055,0.17425931623931845,1251,0.894,2.1440741404694563,74.6858105590062,242.3,-55.68344141382022,72.08852472909075,47.126000000000005,61.32318007662843
1964,-35.641913341914005,48.65196581196574,2.4642857142857153,0.055,0.1821617094017114,1296,0.932,10.95278855,74.96676086956518,237.5,-53.332291938797425,70.76147748727271,47.648999999999994,60.48954570333876
1965,-32.66598026598058,49.41025641025635,2.4714285714285715,0.055999999999999994,0.19006410256410433,1314,0.97,1.606258229,75.24771118012427,233.3,-50.98114246377463,69.43443024545468,48.05,59.65591133004932
1966,-29.690047190047153,50.168547008546966,2.4785714285714295,0.055,0.19796649572649727,1328,0.9840000000000001,2.5668120009999997,75.52866149068325,229.9,-48.62999298875093,68.10738300363619,48.236000000000004,58.82227695675965
1967,-26.714114114114636,50.92683760683758,2.4857142857142858,0.057,0.2058688888888902,1295,0.998,2.4592157461941326,75.80961180124223,227.3,-46.278843513728134,66.78033576181815,48.176,57.98864258347021
1968,-23.73818103818121,51.685128205128194,2.4928571428571438,0.063,0.21377128205128315,1311,1.012,9.489454015,76.0905621118012,225.2,-43.92769403870534,65.45328852000011,47.888000000000005,57.15500821018054
1969,-20.762247962248694,52.44341880341881,2.5,0.059000000000000004,0.2216736752136761,1352,1.026,1.220857909,76.3715124223603,223.8,-41.57654456368164,64.12624127818162,47.431999999999995,56.3213738368911
