year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-37.03603603603551,43.497435897435935,0.271,0.38186153846153914,2959,2.16,2.2160516879227288,287.9,10.626002791338124,51.816973494505646,41.82,27.556495726495655
1961,-34.42626837363696,44.367179487179556,0.276,0.3872738461538461,2953,2.2319999999999998,2.079983628,281.8,12.104815445192344,51.20308175824175,42.15,27.265709401709273
1962,-31.816500711237495,45.236923076923176,0.287,0.3926861538461548,3048,2.3040000000000003,5.570225346,275.9,13.58362809904611,50.589190021978084,42.49,26.974923076923005
1963,-29.206733048838032,46.1066666666668,0.309,0.39809846153846173,3170,2.376,6.420701581,269.9,15.062440752899874,49.975298285714416,42.84,26.684136752136624
1964,-26.59696538643857,46.97641025641042,0.371,0.40351076923077045,3246,2.448,4.794559575,264.0,16.54125340675364,49.36140654945052,43.199,26.393350427350356
1965,-23.987197724040016,47.84615384615381,0.371,0.4089230769230774,3327,2.52,5.625017746,257.9,18.020066060607405,48.747514813186854,43.568000000000005,26.102564102563974
1966,-21.377430061640553,48.71589743589743,0.40700000000000003,0.41433538461538433,3484,2.576,6.497295733,251.8,19.498878714461625,48.133623076923186,43.946999999999996,25.811777777777706
1967,-18.76766239924109,49.58564102564105,0.446,0.41974769230769304,3615,2.6319999999999997,6.908867936,245.7,20.97769136831539,47.51973134065952,44.336999999999996,25.520991452991325
1968,-16.157894736841627,50.45538461538467,0.504,0.42516,3830,2.688,2.4830884106461752,239.7,22.456504022169156,46.905839604395624,44.736999999999995,25.230205128205057
1969,-13.548127074443073,51.325128205128294,0.578,0.4305723076923087,3905,2.7439999999999998,3.09601364,233.6,23.93531667602292,46.291947868131956,45.147,24.939418803418675
1970,-10.93835941204361,52.194871794871915,0.55,0.43598461538461564,4010,2.8,2.549847591327037,227.3,25.414129329876687,45.67805613186829,45.568000000000005,24.648632478632408
1971,-8.328591749644147,53.064615384615536,0.665,0.44139692307692435,4061,2.872,5.063336314,221.2,26.892941983730452,45.064164395604394,45.998999999999995,24.357846153846026
1972,-5.718824087244684,53.93435897435916,0.76,0.4468092307692313,4165,2.944,7.967485482000001,214.9,28.371754637584672,44.450272659340726,46.441,24.067059829059758
1973,-3.1090564248461305,54.80410256410255,0.721,0.45222153846153823,4342,3.016,5.739161342999999,208.6,29.850567291438438,43.83638092307706,46.893,23.776273504273377
1974,-0.49928876244666753,55.67384615384617,0.716,0.45763384615384695,4455,3.088,2.9395681280000003,202.3,31.329379945292203,43.22248918681316,47.355,23.48548717948711
1975,2.1104788999527955,56.54358974358979,0.81,0.4630461538461539,4635,3.16,7.311017647999999,195.9,32.80819259914597,42.608597450549496,47.828,23.194700854700727
1976,4.7202465623522585,57.41333333333341,0.895,0.4684584615384626,4877,3.302,4.614567334,189.7,34.287005252999734,41.99470571428583,48.312,22.90391452991446
1977,7.330014224750812,58.28307692307703,0.856,0.47387076923076954,4958,3.444,4.971216087,183.8,35.7658179068535,41.38081397802193,48.806000000000004,22.613128205128078
1978,9.939781887150275,59.152820512820654,0.938,0.4792830769230765,5001,3.5860000000000003,2.052694442,178.2,37.24463056070772,40.766922241758266,49.31,22.32234188034181
1979,12.549549549549738,60.022564102564274,0.865,0.4846953846153852,4885,3.728,0.133344041,173.0,38.723443214561485,40.1530305054946,49.824,22.03155555555543
1980,11,60.89230769230767,0.8340000000000001,0.49010769230769213,4739,3.87,2.883643494731345,168.1,40.20225586841525,39.53913876923093,50.349,21.74076923076916
1981,13,61.76205128205129,0.8390000000000001,0.49552000000000085,4693,4.008,0.27561674,163.5,41.681068522269015,38.925247032967036,50.883,21.44998290598278
1982,12,62.63179487179491,0.745,0.5009323076923078,4411,4.146,2.9504026754122066,159.1,43.15988117612278,38.31135529670337,51.427,21.15919658119651
1983,10,63.50153846153853,0.72,0.5063446153846165,4144,4.284,2.9837822657526374,154.7,44.638693829977,37.6974635604397,51.98,20.86841025641013
1984,6,64.37128205128215,0.664,0.5117569230769234,4116,4.422,3.017161856093068,150.3,46.117506483830766,37.083571824175806,52.543,20.57762393162386
