year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,75.04504504504507,88.71965811965816,-0.3098310935441333,0.363088888888889,13.377593902479191,167.6,-57.10484433525198,49.178999999999995,65.43679107692333
1961,75.4940730203889,88.862905982906,-0.2533478260869515,0.369042905982905,6.3432837189999995,162.7,-55.00069875970166,49.684,64.53168861538484
1962,75.9431009957326,89.0061538461539,-0.1968645586297697,0.3749969230769228,6.666667814,157.7,-52.896553184150434,50.17100000000001,63.62658615384635
1963,76.39212897107643,89.14940170940173,-0.1403812911725879,0.38095094017094056,5.921045096,153.1,-50.792407608600115,50.641000000000005,62.72148369230786
1964,76.84115694642014,89.29264957264962,-0.08389802371540611,0.38690495726495655,6.832300927,148.6,-48.688262033049796,51.099,61.816381230769366
1965,77.29018492176397,89.43589743589746,-0.027414756258238526,0.3928589743589743,5.813955063,144.7,-46.58411645749857,51.547,60.911278769230876
1966,77.73921289710768,89.5791452991453,0.02906851119894327,0.3988129914529903,6.344019092999999,140.7,-44.47997088194825,51.99100000000001,60.006176307692385
1967,78.1882408724515,89.72239316239319,0.08555177865612507,0.4047670085470081,5.924559942999999,136.8,-42.37582530639702,52.435,59.10107384615412
1968,78.63726884779521,89.86564102564103,0.14203504611330686,0.41072102564102586,10.5670565,132.8,-40.2716797308467,52.885,58.19597138461563
1969,79.08629682313892,90.00888888888892,0.19851831357048866,0.41667504273504186,15.12340471,128.4,-38.16753415529547,53.346000000000004,57.29086892307714
1970,79.53532479848275,90.15213675213676,0.25500158102767045,0.42262905982905963,17.12026767,123.9,-36.06338857974515,53.824,56.38576646153865
1971,79.98435277382646,90.29538461538465,0.31148484848485225,0.4285830769230774,25.82110722,119.3,-33.95924300419392,54.327,55.48066400000016
1972,80.43338074917028,90.43863247863248,0.027000000000000003,0.4345370940170934,26.36194095,114.4,-31.855097428643603,54.853,54.57556153846167
1973,80.882408724514,90.58188034188038,0.065,0.44049111111111117,21.30318409,109.5,-29.750951853092374,55.398,53.67045907692318
1974,81.33143669985782,90.72512820512821,0.113,0.44644512820512716,8.797795217000001,104.3,-27.646806277542055,55.957,52.76535661538469
1975,81.78046467520153,90.86837606837611,0.23,0.45239914529914493,8.446250376,99.1,-25.542660701990826,56.523999999999994,51.86025415384643
1976,82.22949265054535,91.01162393162394,0.688,0.4583531623931627,10.64737671,93.6,-23.438515126440507,57.091,50.955151692307936
1977,82.67852062588906,91.15487179487184,0.875,0.4643071794871787,12.01204009,88.1,-21.334369550889278,57.648999999999994,50.050049230769446
1978,83.12754860123289,91.29811965811967,0.895,0.4702611965811965,14.33280159,82.7,-19.23022397533896,58.18600000000001,49.144946769230955
1979,83.5765765765766,91.44136752136757,0.975,0.47621521367521247,12.14858892,77.6,-17.12607839978773,58.692,48.239844307692465
1980,71,91.5846153846154,0.9890000000000001,0.48216923076923024,11.98690138,73.1,-15.02193282423741,59.174,47.334741846153975
1981,75,91.72786324786324,0.973,0.488123247863248,9.064857465,69.0,-12.917787248686182,59.647,46.429639384615484
1982,82,91.87111111111113,1.022,0.494077264957264,12.16553186,65.2,-10.813641673135862,60.108999999999995,45.524536923076994
1983,82,92.01435897435897,0.925,0.5000312820512818,13.14672905,61.9,-8.709496097584633,60.543,44.61943446153873
1984,83,92.15760683760686,0.903,0.5059852991452995,8.54538364,58.7,-6.605350522034314,60.916000000000004,43.71433200000024
1985,84,92.3008547008547,0.976,0.5119393162393155,7.125271269,55.6,-4.501204946483085,61.167,42.6
1986,86,92.4441025641026,0.872,0.5178933333333333,8.172924333,52.8,-2.397059370932766,61.227,41.625
1987,88,92.58735042735043,0.981,0.5238473504273493,11.88192814,50.3,-0.29291379538153706,61.059,40.65
1988,88,92.73059829059832,0.9990000000000001,0.5298013675213671,19.44996951,48.4,1.8112317801687823,60.651,39.675
1989,92,92.87384615384616,1.067,0.5357553846153849,13.05940589,47.6,3.915377355720011,60.016000000000005,38.7
1990,92,92,1.959,0.585,6.772821949,48.4,5.8073730470000005,59.191,37.725
1991,93,93,1.8559999999999999,0.5825,7.458709112,50.6,10.1,58.232,36.75
1992,94,93,1.91,0.58,2.917070307,54.1,10.15149498,57.218999999999994,35.775
1993,94,93,2.141,0.5775,1.916107142,58.5,12.32062435,56.222,34.8
1994,94,94,1.9769999999999999,0.575,3.6279160210000003,63.2,14.48434258,55.284,34.2444
1995,95,94,1.9369999999999998,0.5725,7.030410261,68.0,16.63994408,54.41,33.6889
1996,96,94,1.7209999999999999,0.57,5.829800078,66.9,18.78472137,53.571999999999996,33.1333
1997,96,94,1.71,0.5675,8.026549026,69.6,20.91596985,52.748999999999995,32.5778
1998,98,94,2.0,0.565,0.721993155,71.0,23.03098297,51.946999999999996,32.0222
1999,97,95,1.859,0.5625,9.667240742,70.5,25.12815666,51.214,31.4667
2000,97,95,2.187,0.56,1.987695854,69.3,27.210289000000003,50.629,30.9111
2001,97,95,2.194,0.5718,0.250573867,65.8,24.8,50.281000000000006,30.3556
2002,97,95,2.2359999999999998,0.5836,6.069530867999999,61.6,31.345022200000002,50.232,29.8
2003,96,95,2.123,0.5954,4.6258947919999995,57.7,33.4054184,50.518,28.1429
2004,96,95,2.126,0.6072,2.705821737,53.2,35.46637344,51.15,26.4857
2005,96,95,2.204,0.619,4.556645657,46.5,37.53177643,52.13,24.8286
2006,96,95,2.1919999999999997,0.6308,8.363871069,40.2,39.60552979,53.435,23.1714
2007,96,96,2.21,0.6426,8.276763758,37.4,41.6905899,54.983000000000004,21.5143
2008,96,96,2.312,0.6544,6.245437397999999,36.7,43.1,56.678999999999995,19.8571
2009,96,96,1.899,0.6662,4.693316795365831,35.6,45.89046478,58.446999999999996,18.2
2010,95,96,2.323,0.6779999999999999,8.563631747999999,35.1,48.00177383,60.211000000000006,20.181668000000172
2011,95,96,2.033,0.687,6.048316381,37.1,53.24,61.91,19.276565538461682
2012,95,96,2.025,0.693,4.456167218,37.3,52.23839188,63.511,18.37146307692319
2013,95,96,2.452,0.6970000000000001,11.34342423,37.4,54.36020279,64.976,17.4663606153847
2014,95,96,3.242,0.698,4.149252734,38.8,56.48230362,66.265,16.56125815384644
2015,95,96,3.1189999999999998,0.698,3.62993592510702,41.2,58.62316232004014,67.33800000000001,15.656155692307948
2016,95,96.74153846153848,2.955,0.6965138461538452,2.9,43.6,60.72730789559046,68.178,14.751053230769458
2017,100.63963963963965,96.88478632478632,2.909715151515158,0.7024678632478629,3.2754756350207686,43.8,62.831453471141685,68.812,13.845950769230967
2018,101.08866761498348,97.02803418803421,2.96619841897234,0.7084218803418789,3.0982454899776712,43.0,64.935599046692,69.275,12.940848307692477
2019,101.53769559032719,97.17128205128205,3.0226816864295216,0.7143758974358967,2.921015344934517,41.6,67.03974462224323,61.49223202805376,12.035745846153986
2020,101.98672356567101,97.31452991452994,3.0791649538867034,0.7203299145299145,2.743785199891363,16.60683615819198,69.14389019779355,61.64988947983636,11.130643384615496
