year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,103.7117117117117,100.62051282051281,14.33749999999992,2.825,0.5599179487179491,7493,2.95,0.5248596982279281,46.00191953698476,55.3,100.0,69.24756098,12.566666666666663
1961,103.50592697961116,100.60410256410256,14.082499999999925,3.263,0.564095897435898,7906,2.966,0.5636572006267784,46.22837295313383,48.9,100.0,70.19560976,12.356666666666626
1962,103.30014224751062,100.5876923076923,13.82749999999993,3.8280000000000003,0.568273846153847,8480,2.9819999999999998,0.6024547030256144,46.4548263692829,44.2,100.0,69.49195122,12.146666666666647
1963,103.09435751541014,100.57128205128205,13.572499999999934,4.249,0.572451794871796,8796,2.998,0.6412522054244505,46.68127978543197,40.9,100.0,70.30926829,11.936666666666667
1964,102.8885727833096,100.55487179487179,13.317499999999882,5.25,0.576629743589745,9412,3.014,0.6800497078233008,46.90773320158104,38.6,100.0,71.12121951,11.726666666666631
1965,102.68278805120906,100.53846153846153,13.062499999999886,5.627999999999999,0.5808076923076939,9908,3.03,0.7188472102221368,47.13418661773011,37.4,100.0,71.29390244,11.516666666666652
1966,102.47700331910858,100.52205128205128,12.80749999999989,5.882000000000001,0.5849856410256411,10616,3.194,0.7576447126209871,47.36064003387918,36.9,100.0,71.22341463,11.306666666666672
1967,102.27121858700804,100.50564102564101,12.552499999999895,6.606,0.5891635897435901,11117,3.358,0.7964422150198232,47.58709345002825,36.7,100.0,70.41390244,11.096666666666636
1968,102.0654338549075,100.48923076923077,12.2974999999999,7.081,0.593341538461539,11241,3.522,0.8352397174186592,47.81354686617732,35.8,100.0,71.22512195,10.886666666666656
1969,101.85964912280701,100.4728205128205,12.042499999999905,7.843999999999999,0.597519487179488,11698,3.6860000000000004,0.8740372198175095,48.04000028232639,34.1,100.0,70.43,10.676666666666677
1970,101.65386439070647,100.45641025641025,11.787499999999909,7.192,0.601697435897437,12284,3.85,0.9128347222163455,48.26645369847546,32.2,100.0,71.25634146,10.46666666666664
1971,101.44807965860593,100.44,11.532499999999914,7.507000000000001,0.6058753846153859,12615,3.968,0.9516322246151958,48.49290711462453,30.9,100.0,70.87365854,10.25666666666666
1972,101.24229492650545,100.42358974358973,11.277499999999918,7.681,0.6100533333333349,13151,4.086,0.9904297270140319,48.7193605307736,30.2,100.0,70.8995122,10.046666666666624
1973,101.03651019440491,100.40717948717949,11.022499999999923,7.945,0.6142312820512821,13599,4.204,1.029227229412868,48.94581394692261,29.6,100.0,71.34219512,9.836666666666645
