year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-21.498198198198224,21.18803418803418,0.052000000000000005,0.3289760683760683,2249,0.95,3.896897800559742,276.2,-3.8527195117080737,-173.0119945454535,41.785,65.33948421052628
1961,-19.431145431145524,22.201709401709422,0.053,0.332114188034188,2239,1.008,1.183680812,270.2,-2.714218633638666,-168.40562727272663,42.255,64.53989333333334
1962,-17.364092664092823,23.215384615384664,0.054000000000000006,0.33525230769230774,2270,1.0659999999999998,3.041559051,265.3,-1.5757177555692579,-163.79925999999978,42.721000000000004,63.7403024561404
1963,-15.297039897039667,24.229059829059906,0.054000000000000006,0.33839042735042746,2315,1.124,3.74255032,260.8,-0.4372168775003047,-159.19289272727292,43.181999999999995,62.94071157894746
1964,-13.229987129986966,25.24273504273515,0.06,0.3415285470085472,2356,1.182,3.547159696,255.9,0.7012840005691032,-154.58652545454424,43.638999999999996,62.14112070175429
1965,-11.162934362934266,26.25641025641039,0.054000000000000006,0.3446666666666669,2361,1.24,2.026053715,250.3,1.8397848786380564,-149.9801581818174,44.095,61.34152982456135
1966,-9.095881595881565,27.270085470085405,0.057,0.3478047863247866,2426,1.308,4.614955621,243.6,2.9782857567074643,-145.37379090909053,44.555,60.54193894736841
1967,-7.028828828828864,28.283760683760647,0.076,0.35094290598290634,2447,1.376,3.8328039358126134,235.8,4.116786634776872,-140.76742363636367,45.025,59.74234807017547
1968,-4.961776061776163,29.29743589743589,0.08199999999999999,0.35408102564102606,2556,1.444,6.346323856000001,227.2,5.255287512845825,-136.161056363635,45.50899999999999,58.942757192982526
1969,-2.8947232947230077,30.31111111111113,0.09,0.3572191452991458,2629,1.5119999999999998,4.901479523,218.5,6.393788390915233,-131.55468909090814,46.008,58.143166315789585
1970,-0.8276705276703069,31.324786324786373,0.098,0.3603572649572655,2654,1.58,3.0920682360000002,210.1,7.5322892689841865,-126.94832181818128,46.523,57.34357543859642
1971,1.239382239382394,32.338461538461615,0.121,0.3634953846153852,2676,1.68,3.479707817,202.8,8.670790147053594,-122.34195454545443,47.053000000000004,56.54398456140348
1972,3.3064350064350947,33.35213675213686,0.125,0.36663350427350405,2732,1.78,2.673843292,197.1,9.809291025123002,-117.73558727272575,47.593,55.744393684210536
1973,5.3734877734877955,34.3658119658121,0.127,0.36977162393162377,2711,1.88,5.355680778,193.1,10.947791903191955,-113.1292199999989,48.135,54.944802807017595
1974,7.440540540540496,35.379487179487114,0.134,0.3729097435897435,2768,1.98,10.73426226,190.6,12.086292781261363,-108.52285272727204,48.675,54.145211929824654
1975,9.507593307593197,36.393162393162356,0.156,0.3760478632478632,2842,2.08,11.24505877,189.2,13.224793659330771,-103.91648545454518,49.205,53.345621052631486
1976,11.574646074646353,37.4068376068376,0.142,0.37918598290598293,2822,2.174,3.7503975382805876,188.2,14.363294537399725,-99.31011818181832,49.718999999999994,52.546030175438545
1977,13.641698841699053,38.42051282051284,0.198,0.38232410256410265,2892,2.2680000000000002,13.73987152,186.9,15.501795415469132,-94.70375090908965,50.213,51.746439298245605
