year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,16.585585585585704,45.35555555555561,0.06,0.246,2.251131120986372,283.1,-13.817172026517028,186.19999999999982,36.249,122.53528431372524
1961,17.220246562351804,45.787008547008554,0.059000000000000004,0.24805384615384662,4.953553798,277.5,-13.33408225372466,183.22000000000025,36.715,121.27057867647045
1962,17.85490753911813,46.21846153846161,0.045,0.25010769230769236,2.1734066133783045,272.3,-12.850992480932405,180.23999999999978,37.19,120.00587303921566
1963,18.48956851588423,46.649914529914554,0.044000000000000004,0.2521615384615381,2.134544359574278,266.5,-12.367902708140036,177.26000000000022,37.683,118.74116740196087
1964,19.124229492650556,47.0813675213675,0.043,0.25421538461538473,2.080324599,260.4,-11.884812935347782,174.27999999999975,38.201,117.47646176470562
1965,19.758890469416883,47.512820512820554,0.055,0.25626923076923047,0.947578712,254.2,-11.401723162555527,171.30000000000018,38.754,116.21175612745083
1966,20.393551446182983,47.9442735042735,0.048,0.2583230769230771,0.64478372,247.8,-10.918633389763158,168.3199999999997,39.355,114.94705049019603
1967,21.02821242294931,48.37572649572655,0.052000000000000005,0.26037692307692284,4.676613109,241.6,-10.435543616970904,165.34000000000015,40.005,113.68234485294124
1968,21.662873399715636,48.807179487179496,0.10300000000000001,0.26243076923076947,1.404113177,235.2,-9.952453844178535,162.35999999999967,40.703,112.417639215686
1969,22.297534376481735,49.23863247863244,0.106,0.2644846153846152,7.091542528,229.1,-9.46936407138628,159.3800000000001,41.443999999999996,111.1529335784312
1970,22.932195353248062,49.670085470085496,0.115,0.26653846153846183,2.332880877,223.3,-8.986274298593912,156.40000000000055,42.223,109.88822794117641
1971,23.56685633001416,50.10153846153844,0.09699999999999999,0.2685923076923076,1.130202384,218.1,-8.503184525801657,153.42000000000007,43.036,108.62352230392162
1972,24.201517306780488,50.532991452991496,0.08900000000000001,0.2706461538461542,1.7847840753379813,213.2,-8.020094753009289,150.4400000000005,43.86600000000001,107.35881666666637
1973,24.836178283546815,50.96444444444444,0.083,0.27269999999999994,1.888939956,208.8,-7.537004980217034,147.46000000000004,44.695,106.09411102941158
1974,25.470839260312914,51.395897435897496,0.055999999999999994,0.27475384615384657,6.339033612000001,204.5,-7.053915207424666,144.48000000000047,45.504,104.82940539215679
1975,26.10550023707924,51.82735042735044,0.05,0.2768076923076923,0.404987104,200.8,-6.570825434632411,141.5,46.275,103.564699754902
1976,26.74016121384534,52.25880341880338,0.063,0.27886153846153805,5.432518987000001,197.1,-6.087735661840043,138.52000000000044,46.992,102.29999411764675
1977,27.374822190611667,52.69025641025644,0.062,0.2809153846153847,3.8062349139999996,193.7,-5.604645889047788,135.53999999999996,47.648,101.03528848039196
1978,28.009483167377994,53.12170940170938,0.069,0.2829692307692304,1.209235419,190.5,-5.121556116255533,132.5600000000004,48.233000000000004,99.77058284313716
1979,28.644144144144093,53.55316239316244,0.045,0.28502307692307705,1.5127482987097522,187.7,-4.638466343463165,129.57999999999993,48.736999999999995,98.50587720588237
1980,13,53.98461538461538,0.048,0.2870769230769228,1.4738860449057256,185.2,-4.15537657067091,126.60000000000036,49.153,97.24117156862712
1981,11,54.41606837606844,0.06,0.2891307692307694,1.4350237911016848,182.9,-3.6722867978785416,123.61999999999989,49.476000000000006,95.97646593137233
1982,14,54.84752136752138,0.057999999999999996,0.29118461538461515,7.715783631,181.1,-3.189197025086287,120.64000000000033,49.713,94.71176029411754
1983,16,55.278974358974324,0.06,0.2932384615384618,1.3572992834936173,179.8,-2.7061072522939185,117.65999999999985,49.872,93.44705465686275
1984,17,55.71042735042738,0.057999999999999996,0.2952923076923075,9.481726652999999,178.8,-2.2230174795016637,114.68000000000029,49.955,92.1823490196075
1985,20,56.141880341880324,0.061,0.29734615384615415,3.927219538,177.8,-1.7399277067092953,111.69999999999982,49.966,90.91764338235271
1986,19,56.57333333333338,0.059000000000000004,0.2993999999999999,3.5779792539999997,177.0,-1.2568379339170406,108.72000000000025,49.912,89.65293774509792
1987,22,57.00478632478632,0.094,0.3014538461538465,1.2018502682774823,176.2,-0.7737481611246722,105.73999999999978,49.797,88.38823210784312
1988,42,57.43623931623938,0.08199999999999999,0.30350769230769226,1.710165285,176.0,-0.2906583883324174,102.76000000000022,49.623999999999995,87.12352647058833
1989,64,57.86769230769232,0.087,0.3055615384615389,1.977270435,176.4,0.192431384459951,99.77999999999975,49.397,85.85882083333308
1990,82,59,0.068,0.32,1.0852635068653882,176.8,0.39850795299999997,96.80000000000018,49.104,84.59411519607829
1991,64,59,0.07,0.3194,1.0464012530613616,176.8,0.956472993,93.81999999999971,48.728,83.3294095588235
