year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,95.28828828828829,79.99658119658125,1.7469999999999999,0.521227350427349,6723,4.0,3.580906998251301,63.24432234432231,157.1,85.62546179098456,2.188696969696963,57.218999999999994,13.487840049261024
1961,95.25011853959222,80.36136752136747,1.8330000000000002,0.5272075213675205,6875,4.053999999999999,5.245271886,63.60366300366297,148.4,85.90713843992307,2.2331454545454505,57.61600000000001,13.253611822660048
1962,95.21194879089616,80.7261538461538,2.0709999999999997,0.5331876923076919,7030,4.1080000000000005,4.026685625,63.96300366300363,141.9,86.18881508886147,2.277593939393938,58.031000000000006,13.019383596059072
1963,95.1737790422001,81.09094017094014,2.102,0.5391678632478634,7304,4.162,5.840140137000001,64.32234432234429,135.6,86.47049173779999,2.322042424242426,58.467,12.785155369458096
1964,95.13560929350403,81.45572649572648,2.077,0.545148034188033,7303,4.216,2.557220542,64.68168498168495,126.9,86.75216838673839,2.366490909090899,58.927,12.55092714285712
1965,95.09743954480797,81.82051282051282,2.06,0.5511282051282045,7206,4.27,0.950272505,65.04102564102561,115.5,87.0338450356769,2.410939393939387,59.415,12.316698916256087
1966,95.0592697961119,82.18529914529915,2.133,0.5571083760683759,7848,4.322,11.23624245,65.40036630036627,103.9,87.3155216846153,2.4553878787878745,59.931000000000004,12.08247068965511
1967,95.02110004741584,82.55008547008549,2.138,0.5630885470085456,7944,4.374,3.615999855,65.75970695970693,94.0,87.59719833355382,2.499836363636362,60.474,11.848242463054135
1968,94.98293029871978,82.91487179487183,2.3080000000000003,0.569068717948717,8073,4.426,3.592013329,66.11904761904759,86.7,87.87887498249233,2.5442848484848497,61.044,11.614014236453158
1969,94.94476055002372,83.27965811965817,2.403,0.5750488888888885,8219,4.478,3.9379832789999996,66.47838827838825,82.1,88.16055163143074,2.588733333333323,61.637,11.379786009852182
1970,94.90659080132765,83.64444444444439,2.576,0.58102905982906,8237,4.53,1.8289669709999998,66.83772893772891,79.9,88.44222828036925,2.6331818181818107,62.254,11.145557783251206
1971,94.86842105263159,84.00923076923073,2.778,0.5870092307692296,8813,4.578,9.422686212,67.19706959706957,78.8,88.72390492930765,2.6776303030302984,62.895,10.911329556650173
1972,94.83025130393551,84.37401709401706,2.839,0.5929894017094011,8547,4.626,3.8160883582657945,67.55641025641023,77.7,89.00558157824617,2.722078787878786,63.555,10.677101330049197
1973,94.79208155523945,84.7388034188034,2.737,0.5989695726495725,7925,4.6739999999999995,3.8356868049336654,67.91575091575089,75.5,89.28725822718457,2.7665272727272736,64.23100000000001,10.442873103448221
1974,94.75391180654339,85.10358974358974,2.526,0.6049497435897422,7860,4.7219999999999995,2.382149332,68.27509157509155,71.1,89.56893487612308,2.810975757575747,64.917,10.208644876847245
1975,94.71574205784732,85.46837606837607,2.204,0.6109299145299136,6728,4.77,3.8748836982694144,68.63443223443221,64.4,89.85061152506148,2.8554242424242346,65.609,9.974416650246269
1976,94.67757230915126,85.83316239316241,2.271,0.6169100854700851,6844,4.8,3.8325840089999996,68.99377289377287,56.6,90.132288174,2.8998727272727223,66.307,9.740188423645293
1977,94.6394025604552,86.19794871794875,2.145,0.6228902564102548,7400,4.83,10.44468638,69.35311355311353,48.8,90.4139648229384,2.94432121212121,67.005,9.50596019704426
1978,94.60123281175913,86.56273504273508,2.0980000000000003,0.6288704273504262,7889,4.86,7.701103605,69.71245421245419,41.9,90.69564147187691,2.9887696969696975,67.69800000000001,9.271731970443284
1979,94.56306306306307,86.92752136752142,2.238,0.6348505982905976,8415,4.89,8.418304686,70.07179487179485,36.7,90.97731812081531,3.033218181818171,68.378,9.037503743842308
1980,93,87.29230769230765,2.24,0.6408307692307691,8944,4.92,7.986620757000001,70.43113553113551,33.0,91.25899476975383,3.0776666666666586,69.033,8.803275517241332
1981,99,87.65709401709398,2.144,0.6468109401709388,9340,4.9639999999999995,6.525370365,70.79047619047617,29.9,91.54067141869223,3.122115151515146,69.655,8.569047290640356
1982,99,88.02188034188032,1.7730000000000001,0.6527911111111102,7927,5.008,4.012072824944532,71.14981684981683,27.1,91.82234806763074,3.166563636363634,70.23899999999999,8.33481906403938
1983,89,88.38666666666666,1.765,0.6587712820512817,7573,5.052,4.03167127161241,71.50915750915749,24.6,92.10402471656926,3.2110121212121214,70.782,8.100590837438347
