year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,62.019251336898606,33.4068376068376,7.906666666666638,1.186,0.20004273504273584,418.0,2.24,5.1017767769116915,57.033819820919916,111.49326696832577,75.83697609824617,43.725,144.79862318840514
1961,62.694117647058874,34.56649572649576,7.7666666666666515,0.825,0.20992905982906152,307.0,2.33,5.212273034748108,57.53719796499797,109.59952036199093,76.30525533643072,44.051,142.08655797101437
1962,63.36898395721937,35.72615384615392,7.626666666666665,0.647,0.2198153846153872,288.0,2.42,5.322769292584553,58.04057610907614,107.70577375565608,76.77353457461538,44.783,139.3744927536227
1963,64.04385026737987,36.88581196581208,7.486666666666622,0.63,0.2297017094017093,310.0,2.51,10.3,58.54395425315431,105.81202714932124,77.24181381279993,45.972,136.66242753623192
1964,64.71871657754014,38.04547008547024,7.346666666666636,0.618,0.23958803418803498,358.0,2.6,18.17999999,59.04733239723248,103.9182805429864,77.7100930509846,47.592,133.95036231884023
1965,65.39358288770063,39.2051282051284,7.206666666666649,0.6579999999999999,0.24947435897436065,408.0,2.69,16.95,59.55071054131065,102.02453393665155,78.17837228916926,49.549,131.23829710144855
1966,66.06844919786113,40.364786324786564,7.066666666666663,0.705,0.25936068376068633,440.0,2.804,10.65,60.054088685388706,100.1307873303167,78.64665152735381,51.696000000000005,128.52623188405778
1967,66.7433155080214,41.524444444444725,6.92666666666662,0.569,0.26924700854700845,404.0,2.918,5.875250581766693,60.557466829466875,98.23704072398186,79.11493076553847,53.847,125.8141666666661
1968,67.41818181818189,42.68410256410243,6.786666666666633,0.599,0.2791333333333341,378.0,3.032,5.985746839603138,61.060844973545045,96.34329411764702,79.58321000372302,55.843,123.10210144927532
1969,68.09304812834239,43.84376068376059,6.646666666666647,0.718,0.2890196581196598,429.0,3.1460000000000004,16.94,61.564223117623214,117.6,80.05148924190769,57.603,120.39003623188364
1970,68.76791443850266,45.003418803418754,6.506666666666661,0.935,0.29890598290598547,498.0,3.26,19.3,62.06760126170127,111.8,80.51976848009224,59.085,117.67797101449287
1971,69.44278074866315,46.163076923076915,6.366666666666617,1.036,0.3087923076923076,519.0,3.346,7.060000003,62.57097940577944,106.2,80.9880477182769,60.303000000000004,114.96590579710119
1972,70.11764705882365,47.322735042735076,6.226666666666631,1.075,0.31867863247863326,526.0,3.432,3.8099999980000003,63.07435754985761,100.7,81.45632695646157,61.343999999999994,112.2538405797095
1973,70.79251336898415,48.48239316239324,6.086666666666645,1.093,0.32856495726495893,554.0,3.5180000000000002,7.760000002000001,63.57773569393578,95.3,81.92460619464612,62.281000000000006,109.54177536231873
