year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,32.117117117117004,49.96140350877192,0.38469230769230744,5.655434795857786,182.6,-13.499341842215017,20.80262619047619,45.721000000000004,149.20000000000073
1961,32.86794689426256,50.4473684210526,0.38803846153846155,8.350726724,178.5,-12.450167683476593,21.008345238095217,46.338,147.0
1962,33.61877667140811,50.933333333333394,0.39138461538461566,5.202308789,174.6,-11.400993524738169,21.2140642857143,46.928000000000004,144.80000000000018
1963,34.369606448553895,51.41929824561407,0.3947307692307689,5.510491255502458,170.8,-10.351819365999745,21.419783333333328,47.486000000000004,142.60000000000036
1964,35.12043622569945,51.90526315789475,0.398076923076923,3.816796268,166.7,-9.302645207261321,21.625502380952355,48.016000000000005,140.40000000000055
1965,35.871266002845005,52.39122807017543,0.4014230769230771,3.676467736,162.4,-8.253471048522897,21.83122142857144,48.516999999999996,138.20000000000073
1966,36.62209577999056,52.87719298245611,0.4047692307692303,1.358982462,157.8,-7.204296889784473,22.036940476190466,48.993,136.0
1967,37.372925557136114,53.3631578947369,0.40811538461538444,2.1162720580000003,153.4,-6.155122731046049,22.242659523809493,49.448,133.80000000000018
1968,38.12375533428167,53.84912280701758,0.41146153846153855,7.631326238,149.1,-5.10594857230717,22.448378571428577,49.887,131.60000000000036
1969,38.87458511142722,54.33508771929826,0.41480769230769265,7.548525194,145.1,-4.056774413568746,22.654097619047604,50.313,129.40000000000055
1970,39.62541488857278,54.82105263157894,0.4181538461538459,6.358470187999999,141.1,-3.0076002548303222,22.85981666666669,50.725,127.20000000000073
1971,40.37624466571833,55.307017543859615,0.4215,7.753035852999999,137.5,-1.9584260960918982,23.065535714285716,51.126000000000005,125.0
1972,41.127074442863886,55.79298245614041,0.4248461538461541,8.617550844,133.8,-0.9092519373534742,23.271254761904743,51.513999999999996,122.80000000000018
1973,41.87790422000944,56.278947368421086,0.4281923076923073,8.231188944,130.5,0.1399222213849498,23.476973809523827,51.888000000000005,120.60000000000036
1974,42.628733997154995,56.764912280701765,0.4315384615384614,7.885520809,126.9,1.1890963801233738,23.682692857142854,52.248999999999995,118.40000000000055
1975,43.37956377430055,57.25087719298244,0.43488461538461554,7.731596839,123.7,2.238270538861798,23.88841190476188,52.6,116.20000000000073
1976,44.130393551446105,57.73684210526312,0.43823076923076876,0.916286753,120.6,3.287444697600222,24.094130952380965,52.943999999999996,114.0
1977,44.88122332859166,58.222807017543914,0.44157692307692287,4.834088067177575,117.6,4.336618856338646,24.299849999999992,53.282,111.80000000000018
1978,45.632053105737214,58.70877192982459,0.444923076923077,6.35974701,114.8,5.38579301507707,24.50556904761902,53.611000000000004,109.60000000000036
1979,46.38288288288277,59.19473684210527,0.4482692307692311,9.813224738999999,111.7,6.434967173815494,24.711288095238103,53.927,107.40000000000055
1980,42,59.68070175438595,0.4516153846153843,17.63660548,108.7,7.484141332553918,24.91700714285713,54.226000000000006,105.20000000000073
1981,42,60.16666666666663,0.4549615384615384,17.61972247,105.7,8.533315491292797,25.122726190476214,54.506,103.0
1982,47,60.65263157894742,0.4583076923076925,23.59769996,102.7,9.58248965003122,25.32844523809524,54.76,100.80000000000018
1983,50,61.1385964912281,0.46165384615384575,5.85396284,99.7,10.631663808769645,25.53416428571427,54.978,98.60000000000036
1984,53,61.62456140350878,0.46499999999999986,6.976131056,96.8,11.680837967508069,25.739883333333353,55.15,96.40000000000055
1985,54,62.11052631578946,0.46834615384615397,4.447571959563362,94.1,12.730012126246493,25.94560238095238,55.26,94.20000000000073
1986,71,62.596491228070136,0.4716923076923072,4.399257446111591,91.9,13.779186284984917,26.151321428571407,55.294,92.0
1987,72,63.08245614035093,0.4750384615384613,0.189376641,90.3,14.82836044372334,26.35704047619049,55.247,89.80000000000018
1988,72,63.56842105263161,0.4783846153846154,1.766263429,89.6,15.877534602461765,26.562759523809518,55.119,87.60000000000036
1989,79,64.05438596491229,0.4817307692307695,2.5998765169999998,89.6,16.92670876120019,26.768478571428545,54.917,85.40000000000055
1990,79,64.54035087719296,0.521,1.000003567,90.4,17.7301693,26.97419761904763,54.638000000000005,83.20000000000073
1991,74,65.02631578947364,0.5176,2.395367454,91.9,18.85061646,27.179916666666657,54.281000000000006,81.0
1992,67,65.51228070175443,0.5142,2.611948052,94.2,19.97061348,27.38563571428574,53.867,78.80000000000018
1993,60,65.99824561403511,0.5108,4.061055851949149,97.2,21.08790398,27.591354761904768,53.424,76.60000000000036
1994,55,66.48421052631579,0.5074,4.012741338497364,100.7,22.19978142,27.797073809523795,52.983999999999995,74.40000000000055
1995,50,66.97017543859647,0.504,3.985324378,104.4,23.30354309,28.00279285714288,52.583,72.20000000000073
1996,37,67.45614035087715,0.5006,4.2904815560000005,108.2,24.39648247,28.208511904761906,52.251999999999995,70.0
1997,23,68.0,0.4972,3.8677977981420355,111.7,25.47589111,28.414230952380933,52.016000000000005,67.80000000000018
1998,26,69.0,0.4938,3.73755277,114.3,26.53906631,28.619950000000017,51.898999999999994,65.60000000000036
1999,29,69.0,0.4904,3.7711687712384787,115.2,27.58440208,28.825669047619044,51.925,63.400000000000546
2000,33,69.0,0.48700000000000004,7.575980392000001,114.0,28.6146946,29.03138809523807,52.123000000000005,61.20000000000073
2001,31,70.0,0.4941,3.8026019,110.9,29.63384438,29.237107142857155,52.516999999999996,59.0
2002,41,70.0,0.5012,4.581870061,106.0,30.64575005,29.442826190476183,53.091,56.80000000000018
2003,50,71.0,0.5083,0.813264075,99.9,31.65430832,29.648545238095267,53.817,54.600000000000364
2004,67,71.0,0.5154,3.4766316230000003,92.9,32.66342163,29.854264285714294,54.667,52.400000000000546
2005,62,72.0,0.5225,7.755758977999999,85.9,33.8,30.06,55.6,50.2
2006,73,72.0,0.5296,6.2359970129999995,79.3,34.69890213,30.2657,56.573,48.0
2007,72,73.0,0.5367,3.3846526636242658,73.5,35.73212433,30.4714,57.541000000000004,45.8
2008,79,73.0,0.5438,5.572264173,68.6,36.77584457,30.6771,58.466,43.6
2009,78,74.0,0.5509,7.468878032,64.9,37.1,30.8829,59.321000000000005,41.4
2010,74,74.0,0.5579999999999999,8.751655799,62.2,38.88778687,31.0886,60.093,39.2
2011,82,75.0,0.557,3.42062127,60.3,39.95251083,31.2943,60.785,37.0
2012,85,75.0,0.5760000000000001,3.7999958539999996,58.8,41.6,31.5,61.423,34.80000000000018
2013,85,76.0,0.581,3.4407052489999996,57.4,42.09070206,31.70573571428571,62.022,32.600000000000364
2014,90,76.0,0.589,6.779940953,55.9,43.16096115,31.911454761904793,62.582,30.400000000000546
2015,80,77.0,0.5920000000000001,2.646447938,54.2,44.20523688840012,32.11717380952382,63.097,28.200000000000728
2016,80,77.17543859649129,0.5720769230769234,2.9498220425582673,52.6,45.25441104713855,32.32289285714285,63.556000000000004,26.0
2017,74.9144144144143,77.66140350877197,0.5754230769230766,2.901507529106496,50.9,46.30358520587697,32.52861190476193,63.95399999999999,23.800000000000182
2018,75.66524419155985,78.14736842105265,0.5787692307692307,2.8531930156547105,49.3,47.35275936461585,32.73433095238096,64.29,21.600000000000364
2019,76.4160739687054,78.63333333333333,0.5821153846153848,2.804878502202939,47.8,48.40193352335427,32.940049999999985,60.94922267679726,19.400000000000546
2020,77.16690374585119,79.119298245614,0.585461538461538,2.756563988751168,48.75768361581959,49.4511076820927,33.14576904761907,61.17275213325547,17.200000000000728
