year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,83.96396396396398,100.0,2.5433333333333223,6.496,0.6458341880341862,17102,3.4,4.1586232576318025,25.0,100.0,72.17658537,0.5436363636363648
1961,84.1484115694642,100.0,2.5069047619047637,6.872999999999999,0.6511263247863237,18072,3.424,6.378832476,24.5,100.0,72.43829268,0.5372727272727271
1962,84.33285917496443,100.0,2.470476190476191,7.937,0.6564184615384612,18917,3.448,5.666822173,23.8,100.0,72.31975609999999,0.5309090909090912
1963,84.51730678046471,100.0,2.434047619047618,8.679,0.6617105982905969,18887,3.472,0.637021234,23.0,100.0,72.40048780000001,0.5245454545454553
1964,84.70175438596493,100.0,2.3976190476190453,9.135,0.6670027350427343,20494,3.4960000000000004,9.269938215,22.1,100.0,72.48512195,0.5181818181818194
1965,84.88620199146516,100.0,2.3611904761904725,9.306000000000001,0.67229487179487,21258,3.52,4.5552548139999995,21.1,100.0,72.37073171,0.5118181818181817
1966,85.07064959696538,100.0,2.3247619047618997,10.443,0.6775870085470075,21659,3.616,2.7409101089999997,20.0,100.0,72.44414634,0.5054545454545458
1967,85.2550972024656,100.0,2.288333333333327,10.15,0.682879145299145,22196,3.7119999999999997,3.421605092,19.0,100.0,72.92219512,0.4990909090909099
1968,85.43954480796589,100.0,2.251904761904754,10.949000000000002,0.6881712820512806,22972,3.8080000000000003,3.9749477019999997,18.1,100.0,73.12146341,0.492727272727274
1969,85.62399241346611,100.0,2.2154761904761813,12.114,0.6934634188034181,24319,3.904,6.322485007999999,17.4,100.0,73.22097561,0.48636363636363633
1970,85.80844001896634,100.0,2.1790476190476085,12.583,0.6987555555555538,24620,4.0,2.735218118,16.6,100.0,73.34341463,0.4800000000000004
1971,85.99288762446656,100.0,2.14261904761905,11.492,0.7040476923076913,25101,4.074,3.005032996,15.8,100.0,73.41463415,0.4736363636363645
1972,86.17733522996684,100.0,2.106190476190477,11.940999999999999,0.7093398290598287,26275,4.148,3.929343825,14.9,100.0,73.43902439,0.4672727272727286
1973,86.36178283546707,100.0,2.0697619047619042,11.802999999999999,0.7146319658119644,27065,4.2219999999999995,4.092925236,13.9,100.0,73.68219512,0.46090909090909093
1974,86.54623044096729,100.0,2.0333333333333314,10.915999999999999,0.7199241025641019,26688,4.296,3.259905239681089,13.1,100.0,73.80829268,0.45454545454545503
1975,86.73067804646752,100.0,1.9969047619047586,11.008,0.7252162393162376,26436,4.37,3.1957110955417534,12.3,100.0,74.07512195,0.4481818181818191
1976,86.91512565196774,100.0,1.9604761904761858,11.825999999999999,0.730508376068375,27931,4.444,5.9245745670000005,11.6,100.0,73.7397561,0.4418181818181832
1977,87.09957325746802,100.0,1.924047619047613,12.125,0.7358005128205125,28365,4.518,1.87028859,11.1,100.0,74.63243902,0.43545454545454554
1978,87.28402086296825,100.0,1.8876190476190402,11.952,0.7410926495726482,28907,4.592,2.22630861,10.6,100.0,74.39292683,0.42909090909090963
1979,87.46846846846847,100.0,1.8511904761904674,12.298,0.7463847863247857,29952,4.666,3.8690564239999996,10.3,100.0,74.21926829,0.42272727272727373
1980,88,100.0,1.8147619047618946,11.772,0.7516769230769214,29771,4.74,2.874740374845061,10.0,100.0,74.10170732,0.4163636363636378
1981,88,100.0,1.7783333333333218,10.097000000000001,0.7569690598290588,29581,4.806,2.810546230705725,9.7,100.0,74.2304878,0.41000000000000014
1982,87,100.0,1.7419047619047632,10.472000000000001,0.7622611965811963,30693,4.872,3.6846508260000004,9.6,100.0,74.55121951,0.40363636363636424
