year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-14.444537815126296,22.550427350427526,0.115,0.08531111111111045,6.90074945666052,345.2,-14.077835553449404,61.27368421052631,34.89,102.04121964991555
1961,-12.932773109243954,23.55829059829057,0.171,0.09133094017093946,6.814107643793989,342.8,-13.305658275806309,60.915789473684185,35.086,100.95824392998338
1962,-11.421008403361611,24.56615384615384,0.179,0.09735076923077024,6.7274658309274855,340.4,-12.533480998163213,60.55789473684217,35.266,99.87526821005122
1963,-9.909243697479269,25.57401709401711,0.187,0.10337059829059925,6.640824018060954,337.9,-11.761303720520118,60.200000000000045,35.431999999999995,98.7922924901186
1964,-8.397478991596927,26.581880341880378,0.184,0.10939042735042825,6.554182205194451,335.0,-10.989126442877023,59.84210526315792,35.588,97.70931677018643
1965,-6.8857142857145845,27.589743589743648,0.18100000000000002,0.11541025641025726,6.467540392327919,332.3,-10.216949165233927,59.48421052631579,35.74,96.62634105025427
1966,-5.373949579832242,28.597606837606918,0.182,0.12143008547008627,6.380898579461416,329.5,-9.444771887590832,59.126315789473665,35.89,95.5433653303221
1967,-3.8621848739499,29.605470085470188,0.18100000000000002,0.12744991452991528,6.294256766594884,326.6,-8.672594609947737,58.76842105263165,36.048,94.46038961038994
1968,-2.350420168067558,30.613333333333458,0.183,0.13346974358974428,6.207614953728381,323.6,-7.900417332304642,58.410526315789525,36.222,93.37741389045777
1969,-0.8386554621852156,31.621196581196727,0.18,0.1394895726495733,6.1209731408618495,320.6,-7.128240054661546,58.0526315789474,36.421,92.29443817052515
1970,0.6731092436971267,32.62905982906,0.187,0.1455094017094023,6.034331327995346,317.6,-6.356062777018678,57.69473684210527,36.655,91.21146245059299
1971,2.184873949579469,33.63692307692327,0.19,0.1515292307692313,5.947689515128815,314.3,-5.583885499375583,57.336842105263145,36.931999999999995,90.12848673066082
1972,3.696638655461811,34.64478632478631,0.193,0.1575490598290603,5.861047702262283,311.1,-4.811708221732488,56.97894736842113,37.255,89.04551101072866
1973,5.208403361344153,35.65264957264958,0.185,0.16356888888888932,5.77440588939578,307.6,-4.0395309440893925,56.621052631579005,37.624,87.9625352907965
1974,6.720168067226496,36.66051282051285,0.193,0.16958871794871833,5.687764076529248,304.1,-3.267353666446297,56.26315789473688,38.041,86.87955957086433
1975,8.231932773108838,37.66837606837612,0.192,0.17560854700854733,5.601122263662745,300.2,-2.495176388803202,55.90526315789475,38.501999999999995,85.79658385093171
1976,9.74369747899118,38.67623931623939,0.203,0.18162837606837634,5.5144804507962135,296.1,-1.7229991111601066,55.547368421052624,39.0,84.71360813099955
1977,11.255462184873522,39.68410256410266,0.205,0.18764820512820535,5.42783863792971,291.9,-0.9508218335170113,55.1894736842105,39.527,83.63063241106738
1978,12.767226890755865,40.69196581196593,0.204,0.19366803418803435,5.341196825063179,287.3,-0.17864455587391603,54.831578947368484,40.082,82.54765669113522
1979,14.278991596638207,41.6998290598292,0.213,0.19968786324786336,5.2545550121966755,282.7,0.5935327217691793,54.47368421052636,40.667,81.46468097120305
1980,15.790756302520549,42.70769230769247,0.213,0.20570769230769237,5.167913199330144,277.9,1.3657099994122746,54.11578947368423,41.3,80.38170525127089
1981,17.30252100840289,43.71555555555574,0.21600000000000003,0.21172752136752138,5.081271386463641,273.2,2.13788727705537,53.757894736842104,42.001999999999995,79.29872953133827
1982,15.0,44.72341880341878,0.209,0.21774735042735038,4.994629573597109,268.5,2.9100645546982378,53.39999999999998,42.783,78.2157538114061
1983,15.0,45.73128205128205,0.19699999999999998,0.2237671794871794,4.907987760730606,264.0,3.682241832341333,53.042105263157964,43.64,77.13277809147394
1984,15.0,46.73914529914532,0.198,0.2297870085470084,4.821345947864074,259.4,4.454419109984428,52.68421052631584,44.558,76.04980237154177
1985,15.0,47.74700854700859,0.195,0.2358068376068374,4.734704134997571,254.9,5.226596387627524,52.32631578947371,45.52,74.96682665160961
1986,15.0,48.75487179487186,0.191,0.2418266666666664,4.6480623221310395,250.5,5.998773665270619,51.968421052631584,46.503,73.88385093167744
1987,15.0,49.76273504273513,0.184,0.24784649572649542,3.299938845,246.1,6.770950942913714,51.61052631578946,47.474,72.80087521174482
1988,16.0,50.7705982905984,0.185,0.2538663247863244,6.308116697000001,241.5,7.5431282205568095,51.252631578947444,48.398999999999994,71.71789949181266
1989,17.0,51.77846153846167,0.18,0.25988615384615343,4.003476013,236.5,8.315305498199905,50.89473684210532,49.247,70.6349237718805
1990,17.0,52,0.166,0.271,4.324062754,231.2,8.830646515,50.53684210526319,49.986999999999995,69.55194805194833
1991,36.0,53,0.162,0.2761,2.613423005,225.4,9.675252914,50.17894736842106,50.593,92.3
1992,52.0,55,0.157,0.2812,3.2709473,219.1,10.51940918,49.82105263157894,51.066,77.7
1993,53.0,56,0.152,0.2863,5.044144542,212.5,11.36085987,49.46315789473692,51.413000000000004,63.1
1994,53.0,57,0.166,0.2914,3.970099106,205.6,12.19689751,48.3,51.64,48.5
1995,54.0,58,0.16399999999999998,0.2965,4.607673202,198.7,13.02481937,48.0875,51.744,50.1375
1996,48.0,59,0.16699999999999998,0.3016,4.461575085,191.8,13.84191704,47.875,51.727,51.775
1997,47.0,60,0.17,0.3067,5.181603459,185.0,14.64548588,47.6625,51.61600000000001,53.4125
1998,56.0,61,0.17600000000000002,0.3118,3.6441212419999998,178.1,15.43282032,47.45,51.456,55.05
1999,43.0,62,0.183,0.3169,3.812004035,171.1,16.4,47.2375,51.295,56.6875
2000,46.0,63,0.18600000000000003,0.322,2.503060561,164.3,16.95676613,47.025,51.203,58.325
2001,50.0,64,0.192,0.3283,3.658346471,157.5,17.70007515,46.8125,51.255,59.9625
2002,53.0,65,0.19699999999999998,0.3346,5.164609466,151.2,18.43614006,46.6,51.483999999999995,61.6
2003,57.0,66,0.20199999999999999,0.3409,1.24860126,145.2,19.16885948,46.3875,51.901,61.22
2004,60.0,67,0.204,0.3472,2.340117313,139.8,19.90213203,46.175,52.498999999999995,60.84
2005,59.0,68,0.188,0.3535,2.9972725610000004,135.0,20.2,45.9625,53.238,60.46
2006,57.0,69,0.191,0.3598,2.496728569,130.8,21.38593102,45.75,54.052,60.08
2007,63.0,70,0.195,0.3661,1.757682351,127.0,22.14331245,45.5375,54.864,59.7
2008,60.0,71,0.212,0.3724,4.936932709,123.6,22.91119385,45.325,55.614,54.82
2009,57.0,72,0.214,0.3787,2.655300626201125,120.7,23.68782616,45.1125,56.278999999999996,49.94
2010,64.0,73,0.24100000000000002,0.385,1.9362174230000002,118.1,24.47145653,44.9,56.861000000000004,45.06
2011,63.0,74,0.252,0.396,3.90876145,115.7,25.26033592,41.5,57.387,40.18
2012,62.0,75,0.22899999999999998,0.406,3.9441119889999996,113.4,26.2,38.1,57.905,35.3
2013,63.0,76,0.19899999999999998,0.41200000000000003,2.2999992380000003,111.2,26.84684753,42.30526315789473,58.446999999999996,44.64350649350672
2014,51.0,77,0.20800000000000002,0.414,0.399998601,109.8,27.64126778,41.947368421052715,59.016000000000005,43.560530773574555
2015,54.0,77,0.203,0.414,0.09999452800000001,107.9,28.391914716919928,41.58947368421059,59.598,42.47755505364239
2016,57.0,78.99076923076927,0.20600000000000002,0.4224215384615384,5.199999192,105.2,29.164091994563023,41.23157894736846,60.17,41.39457933370977
2017,71.72605042016767,79.99863247863254,0.2053690476190475,0.4284413675213674,1.962166123268986,103.2,29.93626927220612,40.873684210526335,60.706,40.311603613777606
2018,73.23781512605001,81.00649572649581,0.20588207587935337,0.4344611965811964,1.8755243104024544,101.1,30.708446549848986,40.51578947368421,61.185,39.22862789384544
2019,74.74957983193235,82.01435897435908,0.20639510413965945,0.4404810256410254,1.7888824975359228,98.8,31.48062382749208,40.15789473684208,61.35765751022802,38.14565217391328
2020,76.2613445378147,83.02222222222235,0.2069081323999653,0.44650085470085443,1.7022406846694196,79.00497175141209,32.25280110513518,39.80000000000007,61.83879129164234,37.06267645398111
