year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,64.01801801801798,96.22564102564101,0.794,0.498090598290597,5181,2.07,11.92137925404046,87.94023519813518,155.6,94.52381864729233,-0.20090303030303147,52.651,6.704385964912262
1961,64.73589378852535,96.24205128205128,1.0070000000000001,0.5028545299145293,5971,2.164,11.747971425750052,87.90975687645685,146.6,94.62539421586155,-0.1753515151515188,53.438,6.566666666666663
1962,65.45376955903271,96.25846153846152,1.04,0.5076184615384616,5825,2.258,11.574563597459587,87.87927855477854,138.2,94.72696978443079,-0.14979999999999905,54.22,6.428947368421063
1963,66.17164532954007,96.27487179487179,1.163,0.5123823931623921,5891,2.352,11.40115576916918,87.8488002331002,130.3,94.82854535300001,-0.12424848484848638,54.995,6.291228070175464
1964,66.88952110004743,96.29128205128204,1.126,0.5171463247863244,6627,2.4459999999999997,11.227747940878771,87.81832191142189,123.1,94.93012092156926,-0.09869696969696662,55.765,6.153508771929808
1965,67.6073968705548,96.30769230769229,1.2109999999999999,0.5219102564102549,7078,2.54,11.054340112588363,87.78784358974357,116.4,95.03169649013847,-0.07314545454545396,56.526,6.015789473684208
1966,68.32527264106216,96.32410256410256,1.248,0.5266741880341872,6976,2.612,10.880932284297955,87.75736526806526,110.2,95.13327205870772,-0.0475939393939413,57.278999999999996,5.878070175438609
1967,69.04314841156952,96.3405128205128,1.024,0.5314381196581195,6802,2.6839999999999997,10.707524456007548,87.72688694638693,104.4,95.23484762727693,-0.022042424242421532,58.022,5.740350877193009
1968,69.76102418207665,96.35692307692307,1.008,0.53620205128205,5945,2.7560000000000002,10.534116627717083,87.6964086247086,99.1,95.33642319584618,0.003509090909091128,58.751999999999995,5.602631578947353
1969,70.47889995258402,96.37333333333332,1.09,0.5409659829059823,6166,2.8280000000000003,10.360708799426675,87.66593030303028,94.1,95.4379987644154,0.02906060606060379,59.468,5.464912280701753
1970,71.19677572309138,96.38974358974357,0.9079999999999999,0.5457299145299146,5326,2.9,10.187300971136267,87.63545198135196,89.5,95.53957433298464,0.054612121212123554,60.17100000000001,5.327192982456154
1971,71.91465149359874,96.40615384615384,0.919,0.5504938461538451,5260,2.9360000000000004,10.013893142845859,87.60497365967365,85.1,95.64114990155386,0.08016363636363621,60.864,5.189473684210554
1972,72.6325272641061,96.42256410256408,1.021,0.5552577777777774,5237,2.972,9.840485314555451,87.57449533799532,80.9,95.7427254701231,0.10571515151514888,61.545,5.051754385964898
1973,73.35040303461346,96.43897435897435,1.131,0.5600217094017079,5311,3.008,9.667077486265043,87.544017016317,77.1,95.84430103869232,0.13126666666666864,62.215,4.914035087719299
1974,74.06827880512083,96.4553846153846,1.112,0.5647856410256402,5572,3.0439999999999996,9.493669657974579,87.51353869463867,73.4,95.94587660726157,0.1568181818181813,62.869,4.776315789473699
1975,74.78615457562819,96.47179487179486,1.207,0.5695495726495725,5743,3.08,9.32026182968417,87.48306037296035,69.9,96.04745217583078,0.18236969696969396,63.501999999999995,4.6385964912281
1976,75.50403034613555,96.48820512820512,1.391,0.574313504273503,6885,3.138,24.30957216,87.45258205128204,66.6,96.1490277444,0.20792121212121373,64.108,4.500877192982443
1977,76.22190611664291,96.50461538461536,1.452,0.5790774358974353,7076,3.196,6.509946267,87.42210372960372,63.5,96.25060331296925,0.2334727272727264,64.683,4.363157894736844
1978,76.93978188715027,96.52102564102563,1.629,0.5838413675213658,8267,3.2539999999999996,21.00411821,87.39162540792539,60.5,96.35217888153846,0.25902424242423905,65.22399999999999,4.225438596491244
1979,77.65765765765764,96.53743589743588,1.6480000000000001,0.5886052991452981,8714,3.312,9.120068138999999,87.36114708624706,57.8,96.45375445010771,0.2845757575757588,65.73100000000001,4.087719298245645
1980,30,96.55384615384614,1.9880000000000002,0.5933692307692304,9961,3.37,19.01174969,87.33066876456874,55.1,96.55533001867693,0.3101272727272715,66.207,3.9499999999999886
