year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,75.12923076923084,75.45470085470083,21.012499999999932,3.423,0.5651965811965827,1765.3776735458523,15.654643710740231,19.414283850931724,28.619617803580013,100.0,69.84731707,9.234963838013812
1961,75.51538461538473,75.845811965812,20.74352941176471,3.484,0.5702982905982914,2220.6833020637278,15.408134140655818,20.31904579333718,28.185518464763618,100.0,70.10268293,9.08758892958889
1962,75.90153846153851,76.23692307692306,20.474558823529378,3.605,0.5754000000000019,2675.988930581487,15.161624570571405,21.22380773574264,27.751419125947336,100.0,69.09536585,8.940214021163968
1963,76.2876923076924,76.62803418803423,20.205588235294044,3.8139999999999996,0.5805017094017106,3131.2945590993622,14.915115000486992,22.128569678148097,27.317319787131055,100.0,70.20439024,8.792839112739102
1964,76.67384615384617,77.0191452991453,19.936617647058824,4.0,0.5856034188034194,3586.6001876171213,14.668605430402579,23.033331620553554,26.88322044831466,100.0,71.50902439,8.64546420431418
1965,77.06000000000006,77.41025641025647,19.66764705882349,4.187,0.5907051282051299,4041.9058161349967,14.422095860318166,23.938093562958784,26.44912110949838,100.0,71.32512195,8.498089295889258
1966,77.44615384615395,77.80136752136752,19.398676470588157,4.3660000000000005,0.5958068376068386,4497.211444652872,14.175586290233753,24.84285550536424,26.015021770682097,100.0,71.5202439,8.350714387464336
1967,77.83230769230772,78.1924786324787,19.129705882352937,4.513999999999999,0.6009085470085491,4952.517073170631,13.929076720149283,25.7476174477697,27.4,100.0,71.60390244,8.203339479039471
1968,78.21846153846161,78.58358974358976,18.860735294117603,4.592,0.6060102564102579,5407.822701688507,13.68256715006487,26.652379390175156,26.5,100.0,71.31365854,8.055964570614549
1969,78.6046153846155,78.97470085470093,18.59176470588227,4.73,0.6111119658119666,5863.128330206266,13.436057579980456,27.557141332580613,24.7,100.0,70.92853659,7.908589662189627
1970,78.99076923076927,79.36581196581199,18.32279411764705,4.923,0.6162136752136771,6318.433958724141,13.189548009896043,28.46190327498607,22.7,100.0,70.80439024,7.761214753764705
1971,79.37692307692316,79.75692307692316,18.053823529411716,5.17,0.6213153846153858,6773.7395872419,12.94303843981163,29.3666652173913,21.6,100.0,71.73536585,7.6138398453398395
1972,79.76307692307694,80.14803418803422,17.784852941176382,5.385,0.6264170940170963,7229.045215759776,12.696528869727217,30.271427159796758,21.2,100.0,71.02463415,7.466464936914917
1973,80.14923076923083,80.53914529914528,17.515882352941162,5.555,0.6315188034188051,7684.350844277535,12.450019299642804,31.176189102202216,21.4,100.0,71.33219512,7.319090028489995
1974,80.53538461538471,80.93025641025645,17.24691176470583,5.712000000000001,0.6366205128205138,8139.65647279541,12.203509729558391,32.08095104460767,22.0,100.0,71.24414634,7.171715120065073
1975,80.92153846153849,81.3213675213675,16.97794117647061,5.9510000000000005,0.6417222222222243,8594.962101313286,11.957000159473978,32.98571298701313,22.5,100.0,70.86731707,7.024340211640208
1976,81.30769230769238,81.71247863247868,16.708970588235275,6.125,0.646823931623933,9050.267729831045,11.710490589389565,33.89047492941859,22.7,100.0,70.95804878,6.876965303215286
1977,81.69384615384627,82.10358974358974,16.43999999999994,6.285,0.6519256410256418,9505.57335834892,11.463981019305152,34.79523687182382,22.4,100.0,70.8095122,6.729590394790364
1978,82.08000000000004,82.49470085470091,16.17102941176472,6.45,0.6570273504273523,9960.878986866679,11.217471449220739,35.699998814229275,21.9,100.0,70.60463415,6.582215486365442
1979,82.46615384615393,82.88581196581197,15.902058823529387,6.455,0.662129059829061,10416.184615384554,10.970961879136325,36.60476075663473,21.1,100.0,70.48219512,6.43484057794052
1980,82.8523076923077,83.27692307692314,15.633088235294053,6.66,0.6672307692307697,15896.0,10.724452309051912,37.50952269904019,20.4,100.0,70.48219512,6.2874656695156546
1981,83.23846153846159,83.6680341880342,15.364117647058833,6.487,0.6723324786324802,16465.0,10.4779427389675,38.41428464144565,19.7,100.0,70.46073171,6.1400907610907325
1982,83.62461538461548,84.05914529914537,15.0951470588235,6.561,0.677434188034189,17043.0,10.231433168883086,39.319046583851105,19.2,100.0,70.83682927,5.99271585266581
1983,84.01076923076926,84.45025641025643,14.826176470588166,6.608,0.6825358974358995,17122.0,9.984923598798673,40.22380852625656,18.8,100.0,70.77780488,5.845340944240888
1984,84.39692307692314,84.84136752136749,14.557205882352946,6.617000000000001,0.6876376068376082,17220.0,9.73841402871426,41.12857046866179,18.2,100.0,70.32,5.697966035816023
1985,84.78307692307703,85.23247863247866,14.288235294117612,7.077000000000001,0.692739316239317,16586.0,9.491904458629847,42.03333241106725,17.4,100.0,70.50121951,5.550591127391101
1986,85.16923076923081,85.62358974358972,14.019264705882279,7.034,0.6978410256410275,17059.0,9.245394888545434,42.93809435347271,16.3,100.0,72.08073171,5.403216218966179
1987,85.5553846153847,86.01470085470089,13.750294117647059,7.263999999999999,0.7029427350427362,17265.0,8.99888531846102,43.842856295878164,15.1,100.0,71.93463415,5.255841310541257
1988,85.94153846153847,86.40581196581195,13.481323529411725,7.399,0.7080444444444467,18537.0,8.752375748376608,44.74761823828362,14.4,100.0,71.76219512,0.1
1989,86.32769230769236,86.79692307692312,13.212352941176391,7.196000000000001,0.7131461538461554,18340.0,8.505866178292194,45.65238018068908,14.3,100.0,71.42536585,1.48
1990,86.71384615384625,87,12.943382352941171,9.689,0.731,17237.0,8.259356608207725,46.55714212309431,15.0,100,71.16073171,2.86
1991,87.10000000000002,88,12.674411764705837,10.25,0.7336,16227.0,8.012847038123311,47.461904065499766,16.4,100,70.36414634,4.24
1992,78.0,88,12.405441176470504,5.751,0.7362,12785.0,7.766337468038898,48.36666600790522,17.9,100,70.23439024,5.62
1993,83.0,88,12.136470588235284,4.454,0.7388,10764.0,7.519827897954485,49.27142795031068,18.2,100,68.9104878,7.0
1994,83.0,89,11.86749999999995,4.322,0.7414,9777.0,7.273318327870072,50.17618989271614,16.9,100,68.5302439,6.6182
1995,90.0,89,13.8,4.1419999999999995,0.7440000000000001,10365.0,7.026808757785659,51.080951835121596,15.0,100,69.00634146,6.2364
1996,91.0,90,11.2,4.351,0.7466,10982.0,5.149958426,51.985713777526826,13.4,100,70.10804878,5.8545
1997,90.0,90,10.9,4.215,0.7492,11981.0,8.293228719,52.89047571993228,12.3,100,70.90902439,5.4727
1998,93.0,90,8.8,4.475,0.7518,12969.0,7.467176003,53.79523766233774,11.6,100,71.2195122,5.0909
1999,93.0,91,8.8,3.805,0.7544,12913.0,6.040770477448007,54.7,11.1,100,71.57073171,4.7091
2000,94.0,91,10.6,3.373,0.757,13503.0,3.83166714,55.6048,10.7,100,72.0195122,4.3273
2001,95.0,91,10.1,3.6010000000000004,0.7639,14503.0,6.524430875,56.5095,10.3,100,71.65853659,3.9455
2002,95.0,92,8.5,3.6639999999999997,0.7708,15608.0,6.760749532999999,57.4143,9.9,100,71.76097561,3.5636
2003,94.0,92,10.0,3.693,0.7777,17393.0,10.53856477,58.318999999999996,9.5,100,72.06097561,3.1818
2004,94.0,93,10.0,3.9010000000000002,0.7846,18742.0,6.550083027,59.2238,9.3,100,71.96097561,2.8
2005,94.0,93,10.9,4.213,0.7915,20522.0,7.727407918,60.1286,9.0,100,71.25365854,1.8
2006,94.0,93,8.5,4.359,0.7984,22396.0,7.406444355,61.0333,8.6,100,71.05609756,1.5
2007,95.0,94,8.2,4.834,0.8053,25177.0,11.08695439,61.9381,8.0,100,70.9,1.2
2008,96.0,94,8.9,4.691,0.8122,26106.0,2.628077961,62.8429,7.3,100,71.81219512,1.4
2009,98.0,95,7.5,4.0489999999999995,0.8191,22486.0,3.5756747766038757,63.7476,6.7,100,72.91463415,2.2
2010,95.0,95,6.6,4.388999999999999,0.826,23340.0,1.639819649,64.6524,6.1,100,73.26829268,1.5
2011,92.0,95,7.294999999999959,4.5680000000000005,0.83,25315.0,6.049353497,65.5571,5.6,100,73.56341463,0.7
2012,93.0,96,7.026029411764625,4.652,0.8340000000000001,26639.0,3.834901869,66.4619,5.2,100,73.86341463,0.9
2013,93.0,96,6.757058823529405,4.374,0.841,27851.0,3.506825683,67.3667,5.0,100,73.91463415,0.7
2014,93.0,97,6.488088235294072,4.345,0.846,29086.0,3.495016165,68.2714,5.0,100,74.51707317,1.2
2015,93.0,97,6.219117647058738,4.482,0.848,29954.0,1.778576184,69.1762,4.9,100.0,74.32195122,1.129343874643837
