year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,21.081081081081265,65.6102564102564,11.712499999999999,1.652,0.5129059829059841,7679,2.01,6.8781921621740025,53.683265675422035,155.8,86.73622934118458,24.384263272727367,57.077,17.596451612903195
1961,22.65433854907542,66.18051282051283,11.73485294117647,1.656,0.5175222222222224,7720,2.056,5.000000002,54.33658010318959,149.3,86.98873045242306,24.05357834545464,57.668,17.342903225806424
1962,24.227596017069573,66.75076923076927,11.757205882352942,1.569,0.5221384615384626,7815,2.102,4.664414668,54.98989453095692,143.3,87.24123156366153,23.72289341818191,58.193000000000005,17.089354838709653
1963,25.80085348506418,67.3210256410257,11.779558823529413,1.581,0.5267547008547009,8135,2.148,8.106886928,55.643208958724244,137.9,87.4937326749,23.392208490909184,58.656000000000006,16.835806451612882
1964,27.374110953058334,67.89128205128213,11.801911764705885,1.716,0.531370940170941,8746,2.194,11.90548077,56.29652338649157,132.7,87.74623378613848,23.061523563636456,59.068999999999996,16.58225806451611
1965,28.947368421052943,68.46153846153857,11.82426470588235,1.685,0.5359871794871793,9010,2.24,7.099999996,56.9498378142589,127.9,87.99873489737689,22.73083863636373,59.446999999999996,16.32870967741934
1966,30.520625889047096,69.031794871795,11.846617647058821,1.757,0.5406034188034194,9279,2.316,6.096139303999999,57.603152242026226,123.4,88.25123600861536,22.400153709091,59.806999999999995,16.075161290322512
1967,32.09388335704125,69.6020512820512,11.868970588235292,1.8980000000000001,0.5452196581196578,9546,2.392,5.854924877999999,58.256466669793554,119.1,88.50373711985384,22.069468781818273,60.165,15.821612903225741
1968,33.66714082503586,70.17230769230764,11.891323529411764,1.921,0.5498358974358979,9912,2.468,9.423278818,58.90978109756088,114.8,88.75623823109231,21.738783854545545,60.536,15.56806451612897
1969,35.24039829303001,70.74256410256407,11.913676470588236,2.0269999999999997,0.5544521367521362,10186,2.544,3.418620026,59.56309552532821,110.7,89.00873934233078,21.408098927272817,60.931999999999995,15.3145161290322
1970,36.813655761024165,71.31282051282051,11.936029411764707,2.191,0.5590683760683763,10513,2.62,6.502484032999999,60.21640995309576,106.7,89.2612404535692,21.07741400000009,61.361999999999995,15.060967741935428
