year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,103.86363636363637,89.78396972824214,-0.18571428571428328,1.375,-0.7172571439526223,17.43992653867872,37.032788502788435,100.0,63.82,-4.804444444444442
1961,103.63636363636368,89.96663226694187,-0.11428571428572809,1.405,-0.6489316062526314,18.541507453416216,36.43112827112827,100.0,64.508,-4.697777777777787
1962,103.40909090909093,90.14929480564155,-0.04285714285714448,1.413,-0.580606068552612,19.643088368153258,35.82946803946788,100.0,65.181,-4.5911111111111325
1963,103.18181818181819,90.33195734434122,0.028571428571410706,1.536,-0.512280530852621,20.744669282890754,35.22780780780772,100.0,65.827,-4.484444444444449
1964,102.9545454545455,90.51461988304095,0.09999999999999432,1.72,-0.4439549931526301,21.84625019762825,34.62614757614756,100.0,66.438,-4.377777777777794
1965,102.72727272727275,90.69728242174062,0.17142857142857792,1.742,-0.3756294554526107,22.947831112365748,34.02448734448717,100.0,67.02199999999999,-4.271111111111111
1966,102.5,90.8799449604403,0.2428571428571331,1.742,-0.3073039177526198,24.049412027103244,33.42282711282701,100.0,67.593,-4.164444444444456
1967,102.27272727272731,91.06260749913997,0.3142857142857167,1.7730000000000001,-0.23897838005262884,25.15099294184074,32.821166881166846,100.0,68.169,-4.057777777777801
1968,102.04545454545456,91.2452700378397,0.3857142857142719,1.905,-0.17065284235260947,26.252573856578238,32.219506649506684,100.0,68.756,-3.9511111111111177
1969,101.81818181818181,91.42793257653938,0.4571428571428555,1.9980000000000002,-0.10232730465261852,27.35415477131528,31.617846417846295,100.0,69.348,-3.8444444444444628
1970,101.59090909090912,91.61059511523905,0.5285714285714107,2.617,-0.03400176695262758,28.455735686052776,31.016186186186133,100.0,69.929,-3.7377777777777794
1971,101.36363636363637,91.79325765393878,0.5999999999999943,2.793,0.03432377074736337,29.557316600790273,30.41452595452597,100.0,70.476,-3.6311111111111245
1972,101.13636363636368,91.97592019263845,0.6714285714285779,2.589,0.10264930844738274,30.65889751552777,29.81286572286558,100.0,70.968,-3.524444444444441
1973,100.90909090909093,92.15858273133813,0.7428571428571331,3.05,0.17097484614737368,31.760478430265266,29.21120549120542,100.0,71.392,-3.4177777777777862
1974,100.68181818181819,92.34124527003786,0.8142857142857167,3.0010000000000003,0.23930038384736463,32.86205934500276,28.609545259545257,100.0,71.748,-3.3111111111111313
1975,100.4545454545455,92.52390780873753,0.8857142857142719,3.085,0.307625921547384,33.96364025974026,28.007885027884868,100.0,72.041,-3.204444444444448
1976,100.22727272727275,92.70657034743721,0.9571428571428555,3.158,0.37595145924737494,35.065221174477756,27.406224796224706,100.0,72.286,-3.097777777777793
1977,100.0,92.88923288613688,1.0285714285714107,3.042,0.4442769969473659,36.1668020892148,26.804564564564544,100.0,72.50399999999999,-2.9911111111111097
1978,99.77272727272731,93.07189542483661,1.0999999999999943,3.3680000000000003,0.5126025346473853,37.268383003952295,26.202904332904154,100.0,72.714,-2.884444444444455
1979,99.54545454545456,93.25455796353629,1.171428571428578,3.635,0.5809280723473762,38.36996391868979,25.601244101243992,100.0,72.922,-2.7777777777778
1980,99.31818181818181,93.43722050223596,1.2428571428571331,3.5469999999999997,0.6492536100473671,39.47154483342729,24.99958386958383,100.0,73.13,-2.6711111111111165
1981,99.09090909090912,93.61988304093569,1.3142857142857167,3.812,0.7175791477473865,40.573125748164784,24.397923637923668,100.0,73.334,-2.5644444444444616
1982,98.86363636363637,93.80254557963536,1.385714285714272,3.46,0.7859046854473775,41.67470666290228,23.79626340626328,100.0,73.524,-2.4577777777777783
1983,98.63636363636368,93.98520811833504,1.4571428571428555,3.665,0.8542302231473684,42.77628757763978,23.194603174603117,100.0,73.693,-2.3511111111111234
1984,98.40909090909093,94.16787065703471,1.5285714285714107,3.84,0.9225557608473878,43.87786849237682,27.3,100.0,73.843,-2.24444444444444
1985,98.18181818181819,94.35053319573444,1.5999999999999943,3.8760000000000003,0.9908812985473787,44.979449407114316,24.8,100.0,73.98100000000001,-2.137777777777785
1986,97.9545454545455,94.53319573443412,1.671428571428578,4.04,1.0592068362473697,46.08103032185181,22.5,100.0,74.116,-2.03111111111113
1987,97.72727272727275,94.71585827313379,1.7428571428571331,4.005,1.127532373947389,47.18261123658931,20.5,100.0,74.255,-1.9244444444444468
1988,97.5,94.89852081183352,1.8142857142857167,4.155,1.19585791164738,48.284192151326806,18.9,100.0,74.395,-1.817777777777792
1989,97.27272727272731,95.0811833505332,1.885714285714272,4.145,1.264183449347371,49.3857730660643,17.5,100.0,74.52600000000001,-1.7111111111111086
