year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,-21.91891891891919,25.856410256410527,0.13,0.08890598290598106,715,0.81,1.4850783011643216,194.73069239306733,29.188763830523044,42.381
1961,-19.642247510668312,26.885128205128467,0.121,0.09752222222222073,720,0.836,0.471561079,192.12139503116214,29.60243085381535,42.961000000000006
1962,-17.365576102418345,27.913846153846407,0.132,0.1061384615384604,769,0.862,4.08687253,189.51209766925604,30.016097877107654,43.567
1963,-15.088904694167468,28.942564102564347,0.11800000000000001,0.11475470085470008,777,0.888,13.34929493,186.90280030735084,30.42976490039996,44.215
1964,-12.8122332859175,29.971282051282287,0.125,0.1233709401709362,777,0.914,2.099681927454526,184.29350294544474,30.843431923692265,44.907
1965,-10.535561877666623,31.000000000000227,0.11699999999999999,0.13198717948717587,782,0.94,10.69264951,181.68420558353955,31.25709894698457,45.63
1966,-8.258890469416656,32.02871794871817,0.11699999999999999,0.14060341880341554,736,0.9420000000000001,2.406983740599628,179.07490822163436,31.670765970276875,46.357
1967,-5.982219061166688,33.05743589743611,0.14800000000000002,0.1492196581196552,743,0.9440000000000001,2.5606346471722077,176.46561085972826,32.08443299356918,47.055
1968,-3.7055476529158113,34.08615384615405,0.11699999999999999,0.15783589743589488,777,0.946,12.05934018,180.4,32.498100016861486,47.698
1969,-1.4288762446658438,35.11487179487199,0.125,0.16645213675213455,794,0.948,3.2917411189999997,177.1,32.91176704015379,48.278999999999996
1970,0.8477951635850332,36.14358974358993,0.175,0.17506837606837422,814,0.95,4.979330597,173.8,33.32543406344621,48.79600000000001
1971,3.1244665718350007,37.17230769230787,0.18899999999999997,0.1836846153846139,824,0.97,4.129962445,170.4,33.739101086738515,49.258
1972,5.401137980085878,38.20102564102581,0.177,0.19230085470085356,815,0.99,2.435841373,167.0,34.15276811003082,49.68600000000001
1973,7.677809388335845,39.22974358974375,0.145,0.20091709401709323,796,1.01,3.482540086607571,163.6,34.566435133323125,50.098
1974,9.954480796585813,40.25846153846169,0.161,0.20953333333332935,823,1.03,5.342375687,160.1,34.98010215661543,50.503
1975,12.23115220483669,41.28717948717963,0.154,0.21814957264956902,842,1.05,4.152709188999999,156.7,35.393769179907736,50.907
1976,14.507823613086657,42.31589743589757,0.161,0.2267658119658087,877,1.126,6.080396231,153.2,35.80743620320004,51.312
1977,16.784495021337534,43.34461538461551,0.166,0.23538205128204837,914,1.202,5.952286611,149.5,36.221103226492346,51.714
1978,19.0611664295875,44.37333333333345,0.162,0.24399829059828804,959,1.278,6.517817022000001,146.1,36.63477024978465,52.113
1979,21.33783783783838,45.402051282051616,0.156,0.2526145299145277,987,1.354,5.20127748,142.9,37.048437273076956,52.511
1980,4,46.430769230769556,0.165,0.2612307692307674,1051,1.43,7.938538081,139.8,37.46210429636926,52.91
1981,5,47.459487179487496,0.165,0.26984700854700705,1090,1.492,6.355754591,136.9,37.87577131966157,53.315
1982,9,48.488205128205436,0.16,0.2784632478632467,1128,1.554,5.603876425,134.1,38.28943834295387,53.726000000000006
1983,11,49.516923076923376,0.162,0.2870794871794864,1154,1.6159999999999999,4.391092681,131.4,38.70310536624618,54.14
1984,12,50.545641025641316,0.18,0.2956957264957225,1188,1.6780000000000002,4.932728026,128.9,39.11677238953848,54.556000000000004
1985,16,51.57435897435926,0.18,0.3043119658119622,1199,1.74,2.8510002389999998,126.6,39.53043941283079,54.97
1986,20,52.6030769230772,0.179,0.31292820512820185,1165,1.82,5.480001872050764,124.3,39.94410643612309,55.375
1987,23,53.63179487179514,0.129,0.3215444444444415,1100,1.9,5.633652778623343,121.9,40.3577734594154,55.768
1988,28,54.66051282051308,0.10400000000000001,0.3301606837606812,960,1.98,5.787303685195866,119.6,40.7714404827077,56.144
1989,50,55.68923076923102,0.111,0.33877692307692087,982,2.06,3.695297423,117.1,41.18510750600001,56.505
1990,88,59,0.105,0.353,997,2.14,2.8169332739999997,114.6,41.32281113,56.849
1991,66,59,0.10099999999999999,0.3604,974,2.204,6.248256404913548,112.0,41.81108856,57.18
1992,71,59,0.11699999999999999,0.3678,1054,2.2680000000000002,9.660942452999999,109.3,42.29891586,57.504
1993,73,59,0.127,0.3752,1102,2.332,6.039410227,106.6,42.78403473,57.823
1994,77,60,0.146,0.3826,1164,2.396,7.477958359,104.0,43.26374435,58.141000000000005
1995,84,61,0.161,0.39,1223,2.46,6.948051437,101.3,43.73533629999999,58.46
1996,88,62,0.166,0.3974,1281,2.52,6.442715347,98.8,44.19610596,58.78
1997,90,63,0.16899999999999998,0.4048,1334,2.58,5.651582962999999,96.3,44.64334488,59.101000000000006
1998,90,64,0.179,0.4122,1391,2.64,5.8662131529999995,93.8,45.07434845,59.422
1999,75,65,0.19699999999999998,0.4196,1523,2.7,10.94512998,91.4,45.4875145,59.744
2000,82,67,0.21899999999999997,0.42700000000000005,1709,2.76,13.74593056,89.0,45.88563538,60.063
2001,73,68,0.187,0.4369,1880,2.812,11.34399707,86.6,46.27261353,60.376999999999995
2002,79,69,0.195,0.4468,2083,2.864,12.02551343,84.3,47.0,60.685
2003,78,70,0.207,0.4567,2346,2.9160000000000004,13.84399689,81.8,47.02873993,60.989
2004,82,71,0.258,0.4666,2636,2.968,13.56466162,79.3,47.40568161,61.294
2005,73,72,0.239,0.4765,2963,3.02,13.56895002,76.7,47.78707504,61.607
2006,82,74,0.263,0.4864,3317,3.082,13.07610138,74.1,48.17682266,61.938
2007,86,75,0.262,0.4963,3679,3.1439999999999997,11.99143524,71.5,48.57787323,62.294
2008,85,76,0.198,0.5062,3784,3.2060000000000004,10.25530539,89.1,48.98942566,62.678000000000004
2009,90,77,0.205,0.5161,3948,3.2680000000000002,10.5500091,66.0,49.40972519,63.089
2010,90,78,0.249,0.526,4127,3.33,9.634439452,63.4,48.8,63.525
2011,84,79,0.28300000000000003,0.5329999999999999,4312,3.297654901960783,5.591482377999999,60.7,50.26957703,63.983000000000004
2012,84,80,0.217,0.54,4578,3.3529417797888357,7.332670447000001,58.2,50.70562744,64.453
2013,75,80,0.25,0.547,4915,3.4082286576168883,8.426001025,55.8,51.143428799999995,64.921
2014,88,81,0.41600000000000004,0.552,5257,3.463515535444941,7.991243344,53.7,52.0,65.378
2015,89,81,0.441,0.556,5569,3.5188024132729936,7.294031845,51.8,51.940450111599944,65.81
2016,90,83.4646153846154,0.46,0.5714153846153813,5839,3.5740892911010462,6.5,49.9,52.35411713489225,66.205
2017,107.8513513513517,84.49333333333357,0.2751572681704264,0.580031623931621,6176,3.629376168929099,10.243179975800047,48.1,52.767784158184554,66.558
2018,110.12802275960166,85.52205128205128,0.2783248206723705,0.5886478632478607,6249,3.6846630467571515,10.39683088237257,46.4,53.18145118147686,66.867
2019,112.40469416785254,86.55076923076945,0.2814923731743155,0.5972641025641003,6628,3.7399499245852184,10.550481788945149,44.7,53.595118204769165,67.59800116890699
2020,114.68136557610251,87.57948717948716,0.28465992567625964,0.60588034188034,4570.806779661041,3.795236802413271,10.704132695517671,38.172850678733084,54.00878522806147,67.99077352425479
