year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-5.990990990991122,54.87008547008577,12.4375,0.299,0.3258940170940168,1.83,3.5880603914811644,197.8,50.77918856606152,-125.84935720517478,46.998000000000005,83.32856979107828
1961,-3.898055950687194,55.4704273504276,12.441911764705882,0.306,0.33181008547008517,1.876,7.400211917999999,195.7,51.326100042107555,-122.68368760818157,47.636,81.77618887634117
1962,-1.8051209103841757,56.07076923076943,12.446323529411764,0.35,0.33772615384615357,1.922,11.69534898,193.5,51.87301151815382,-119.51801801118927,48.277,80.2238079616036
1963,0.2878141299197523,56.67111111111126,12.450735294117647,0.43200000000000005,0.34364222222222196,1.9680000000000002,9.943178187000001,191.3,52.41992299419985,-116.35234841419606,48.92,78.67142704686603
1964,2.3807491702227708,57.271452991453316,12.45514705882353,0.474,0.34955829059829036,2.0140000000000002,11.11113587,189.1,52.96683447024611,-113.18667881720285,49.566,77.11904613212891
1965,4.473684210526699,57.871794871795146,12.459558823529411,0.37799999999999995,0.35547435897435875,2.06,9.00386112,186.3,53.51374594629215,-110.02100922020963,50.216,75.56666521739135
1966,6.566619250829717,58.472136752136976,12.463970588235293,0.452,0.36139042735042715,2.1,3.301136398,183.5,54.06065742233841,-106.85533962321733,50.873999999999995,74.01428430265378
1967,8.659554291133645,59.072478632478806,12.468382352941177,0.493,0.36730649572649554,2.14,6.969513825,180.6,54.60756889838444,-103.68967002622412,51.538000000000004,72.46190338791621
1968,10.752489331436664,59.672820512820635,12.472794117647059,0.545,0.37322256410256394,2.18,1.342960053,177.4,55.154480374430705,-100.52400042923091,52.205,70.9095224731791
1969,12.845424371740592,60.27316239316269,12.47720588235294,0.555,0.37913863247863233,2.22,6.237703907,173.8,55.701391850476966,-97.3583308322377,52.868,69.35714155844153
1970,14.93835941204361,60.87350427350452,12.481617647058822,0.584,0.3850547008547007,2.26,1.353826591,170.0,56.248303326523,-94.19266123524449,53.519,67.80476064370396
1971,17.031294452347538,61.47384615384635,12.486029411764706,0.611,0.3909707692307691,2.29,3.304756499,165.7,56.79521480256926,-91.02699163825218,54.147,66.25237972896684
1972,19.124229492650556,62.07418803418818,12.490441176470588,0.628,0.3968868376068375,2.32,2.220722892,160.8,57.3421262786153,-87.86132204125897,54.744,64.69999881422928
1973,21.217164532954484,62.67452991453001,12.49485294117647,0.696,0.4028029059829059,2.35,6.417013974,155.5,57.88903775466156,-84.69565244426576,55.306999999999995,63.147617899491706
1974,23.310099573257503,63.27487179487207,12.499264705882352,0.7190000000000001,0.4087189743589743,2.38,14.19242509,149.6,58.43594923070759,-81.52998284727255,55.833,61.59523698475414
1975,25.40303461356143,63.8752136752139,12.503676470588236,0.69,0.4146350427350427,2.41,3.2157629109741563,143.1,58.982860706753854,-78.36431325028025,56.318999999999996,60.042856070017024
1976,27.49596965386445,64.47555555555573,12.508088235294117,0.77,0.4205511111111111,2.4459999999999997,5.209454497,136.2,59.52977218279989,-75.19864365328704,56.763999999999996,58.490475155279455
1977,29.588904694168377,65.07589743589756,12.5125,0.955,0.4264671794871795,2.4819999999999998,8.368480533,129.0,60.07668365884615,-72.03297405629382,57.177,56.938094240541886
1978,31.681839734471396,65.67623931623962,12.516911764705883,0.858,0.4323832478632479,2.5180000000000002,3.141303414872759,121.7,60.623595134892184,-68.86730445930061,57.57,55.38571332580477
1979,33.774774774774414,66.27658119658145,12.521323529411765,0.542,0.4382993162393163,2.5540000000000003,3.1164835828389528,114.6,61.170506610938446,-65.7016348623074,57.955,53.833332411067204
1980,16,66.87692307692328,12.525735294117647,0.625,0.4442153846153847,2.59,4.611732279,107.8,61.71741808698448,-62.5359652653151,58.347,52.280951496329635
1981,23,67.4772649572651,12.530147058823529,0.64,0.4501314529914531,2.63,5.36329019,101.5,62.26432956303074,-59.37029566832189,58.757,50.72857058159252
1982,27,68.07760683760694,12.534558823529412,0.614,0.45604752136752147,2.67,3.0420240867375554,95.9,62.811241039076776,-56.204626071328676,59.196000000000005,49.17618966685495
1983,24,68.677948717949,12.538970588235294,0.5670000000000001,0.46196358974358986,2.71,4.613211627,90.7,63.35815251512304,-53.038956474335464,59.67100000000001,47.623808752117384
1984,33,69.27829059829082,12.543382352941176,0.511,0.46787965811965826,2.75,2.99238442266995,86.2,63.90506399116907,-49.87328687734316,60.18899999999999,46.071427837379815
1985,39,69.87863247863265,12.547794117647058,0.537,0.47379572649572665,2.79,2.967564590636151,82.2,64.45197546721533,-46.70761728034995,60.761,44.5190469226427
1986,45,70.47897435897448,12.552205882352942,0.595,0.47971179487179505,2.842,2.942744758602352,78.7,64.99888694326137,-43.54194768335674,61.394,42.96666600790513
1987,51,71.07931623931654,12.556617647058824,0.628,0.48562786324786344,2.8939999999999997,2.9179249265685527,75.5,65.54579841930763,-40.37627808636353,62.07899999999999,41.414285093167564
1988,47,71.67965811965837,12.561029411764705,0.5670000000000001,0.49154393162393184,2.946,2.8931050945347536,72.4,66.09270989535389,-37.210608489370316,62.803000000000004,39.86190417843045
1989,68,72.2800000000002,12.565441176470587,0.365,0.49746000000000024,2.998,2.8682852625009545,69.5,66.63962137139993,-34.04493889237801,63.549,38.30952326369288
1990,70,73,12.569852941176471,0.615,0.495,3.05,2.8434654304671483,66.5,66.92156219,-30.879269295384802,64.293,36.75714234895531
1991,75,73,12.574264705882353,0.47200000000000003,0.5025,3.11,2.818645598433349,63.4,67.54168701,-27.71359969839159,65.01100000000001,35.204761434217744
1992,81,74,12.578676470588235,0.552,0.51,3.17,0.385467121,60.3,68.16135406,-24.54793010139838,65.683,33.65238051948063
1993,81,75,12.583088235294117,0.52,0.5175,3.23,2.769005934365751,57.2,72.064174,-21.382260504406077,66.297,36.3
1994,81,75,12.5875,0.562,0.525,3.29,3.337611864,54.2,69.38986969,-18.216590907412865,66.84899999999999,33.88
1995,80,76,15.2,0.603,0.5325,3.35,5.911907795,51.2,69.99330139,-15.050921310419653,67.344,31.46
1996,80,76,14.0,0.611,0.54,3.41,6.344268304,48.4,70.58591461,-11.885251713426442,67.798,29.04
1997,80,77,14.1,0.6559999999999999,0.5475,3.47,3.966650973,45.7,71.16499329,-8.71958211643414,68.234,26.62
1998,73,78,13.0,0.7020000000000001,0.555,3.53,3.711681448,48.9,69.047103,-5.553912519440928,68.667,24.2
1999,79,78,11.2,0.731,0.5625,3.59,7.03597048,40.7,72.27285004,-2.3882429224477164,69.1,21.9333
2000,83,79,9.4,0.748,0.57,3.65,4.101590153,38.5,72.80281067,0.7774266745454952,69.527,19.6667
