year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-50.31441441441439,4.324786324786373,0.009000000000000001,0.02558803418803457,1415,0.35,0.714880400903894,432.49736332849534,-10.58995816889069,35.053000000000004,138.87847974308306
1961,-48.098455598455985,5.316239316239489,0.013999999999999999,0.03151401709401824,1444,0.35200000000000004,4.546393037,426.9044186421561,-10.129685865743795,35.141,137.28302470355766
1962,-45.88249678249667,6.307692307692378,0.02,0.03744000000000014,1564,0.354,10.27871349,421.311473955815,-9.669413562596901,35.223,135.6875696640318
1963,-43.66653796653827,7.2991452991454935,0.024,0.04336598290598381,1683,0.35600000000000004,9.428229321,415.71852926947395,-9.209141259450007,35.298,134.0921146245064
1964,-41.45057915057896,8.290598290598382,0.026000000000000002,0.04929196581196571,1652,0.358,0.13103989,410.1255845831329,-8.748868956303,35.368,132.49665958498053
1965,-39.23462033462056,9.282051282051498,0.023,0.05521794871794938,1739,0.36,6.919761819,404.5326398967918,-8.288596653156105,35.435,130.90120454545468
1966,-37.01866151866125,10.273504273504386,0.035,0.06114393162393306,1681,0.368,1.1152973551760113,398.93969521045074,-7.828324350009211,35.501,129.30574950592927
1967,-34.802702702702845,11.264957264957275,0.031,0.06706991452991495,1653,0.376,0.12286867,313.0,-7.368052046862317,35.573,127.71029446640341
1968,-32.586743886743534,12.25641025641039,0.038,0.07299589743589863,1630,0.384,0.38349466200000004,317.2,-6.9077797437153095,35.658,126.11483942687755
1969,-30.370785070785132,13.247863247863279,0.043,0.07892188034188052,1548,0.392,1.3155058323120556,321.3,-6.447507440568415,35.76,124.51938438735215
1970,-28.15482625482673,14.239316239316395,0.049,0.0848478632478642,1560,0.4,3.055778922,325.7,-5.987235137421521,35.883,122.92392934782629
1971,-25.93886743886742,15.230769230769283,0.05,0.0907738461538461,1613,0.41,5.679320644,330.2,-5.526962834274627,36.031,121.32847430830088
