year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,2.720720720720692,59.39487179487173,0.812,0.4674341880341881,5848,2.42,3.5046400910857134,24.24175607001689,227.6,21.335167682969313,54.19116705764702,48.012,55.37228070175456
1961,4.628496917970551,59.900512820512745,0.835,0.47252170940170934,6189,2.4619999999999997,7.347096331,25.177413890457274,221.2,22.641656929546116,53.676268004117674,48.628,54.39736842105276
1962,6.5362731152204105,60.40615384615387,0.935,0.47760923076923056,6461,2.504,10.03529333,26.113071710897884,214.5,23.94814617612292,53.16136895058821,49.224,53.42245614035096
1963,8.44404931247027,60.91179487179488,0.9329999999999999,0.4826967521367518,6567,2.546,4.328249818,27.048729531338267,207.6,25.254635422700176,52.646469897058864,49.792,52.44754385964916
1964,10.351825509720129,61.417435897435894,1.087,0.487784273504273,6825,2.588,6.54786765,27.98438735177865,200.6,26.56112466927698,52.1315708435294,50.333999999999996,51.472631578947585
1965,12.259601706969988,61.923076923076906,1.03,0.4928717948717942,7078,2.63,5.621733449,28.920045172219034,193.8,27.86761391585378,51.616671790000055,50.872,50.497719298245784
1966,14.167377904219848,62.42871794871792,1.11,0.49795931623931544,7461,2.718,8.238920446,29.855702992659417,187.4,29.174103162430583,51.10177273647059,51.431999999999995,49.52280701754398
1967,16.075154101469707,62.93435897435893,1.111,0.5030468376068367,7544,2.806,3.852564408,30.791360813100027,181.3,30.48059240900784,50.58687368294113,52.038000000000004,48.54789473684218
1968,17.982930298719566,63.43999999999994,1.147,0.5081343589743579,7259,2.8939999999999997,0.152237711,31.72701863354041,175.7,31.787081655584643,50.071974629411784,52.702,47.57298245614038
1969,19.890706495969425,63.94564102564095,1.178,0.5132218803418809,7241,2.9819999999999998,3.514458913,32.662676453980794,170.6,33.093570902161446,49.55707557588232,53.42,46.59807017543881
1970,21.798482693219285,64.45128205128208,1.3319999999999999,0.5183094017094021,7591,3.07,3.365946003,33.59833427442118,165.6,34.40006014873825,49.042176522352975,54.174,45.623157894737005
1971,23.706258890469144,64.95692307692309,1.357,0.5233969230769233,7712,3.17,4.590539928,34.53399209486156,160.9,35.706549395315506,48.52727746882351,54.935,44.648245614035204
1972,25.614035087719003,65.4625641025641,1.29,0.5284844444444445,7740,3.27,3.477535123,35.46964991530217,156.1,37.01303864189231,48.012378415294165,55.67100000000001,43.6733333333334
1973,27.521811284968862,65.96820512820511,1.3659999999999999,0.5335719658119658,7923,3.37,6.276934756,36.405307735742554,151.3,38.31952788846911,47.497479361764704,56.36,42.69842105263183
1974,29.42958748221872,66.47384615384613,1.439,0.538659487179487,8113,3.47,9.386834919,37.34096555618294,146.6,39.62601713504591,46.98258030823524,56.994,41.72350877193003
1975,31.337363679469036,66.97948717948714,1.4409999999999998,0.5437470085470082,8520,3.57,4.300863165,38.27662337662332,142.3,40.93250638162317,46.467681254705894,57.575,40.74859649122823
1976,33.245139876718895,67.48512820512815,1.4340000000000002,0.5488345299145294,8411,3.6519999999999997,1.447110995,39.2122811970637,138.4,42.23899562819997,45.95278220117643,58.114,39.773684210526426
1977,35.152916073968754,67.99076923076916,1.452,0.5539220512820506,8187,3.734,0.349063699,40.147939017504314,135.0,43.545484874776776,45.437883147647085,58.636,38.798771929824625
1978,37.06069227121861,68.49641025641029,1.361,0.5590095726495719,7975,3.8160000000000003,3.6239274636669165,41.0835968379447,132.0,44.85197412135403,44.92298409411762,59.158,37.82385964912305
1979,38.96846846846847,69.0020512820513,1.315,0.5640970940170931,8234,3.898,4.090750573999999,42.01925465838508,129.0,46.158463367930835,44.408085040588276,59.691,36.84894736842125
1980,16,69.50769230769231,1.3880000000000001,0.5691846153846143,8396,3.98,5.943335397999999,42.95491247882546,126.1,47.46495261450764,43.893185987058814,60.24,35.87403508771945
1981,20,70.01333333333332,1.3530000000000002,0.5742721367521373,8552,4.013999999999999,5.552041815,43.890570299265846,123.0,48.77144186108444,43.378286933529466,60.803999999999995,34.89912280701765
1982,23,70.51897435897433,1.298,0.5793596581196585,8365,4.048,3.650435768684961,44.82622811970646,119.4,50.0779311076617,42.863387880000005,61.378,33.924210526315846
1983,23,71.02461538461534,1.095,0.5844471794871797,7079,4.082,3.657062844939473,45.76188594014684,115.1,51.3844203542385,42.34848882647054,61.958,32.94929824561427
1984,28,71.53025641025636,1.083,0.5895347008547009,7239,4.1160000000000005,3.608286538,46.69754376058722,110.3,52.6909096008153,41.833589772941195,62.542,31.97438596491247
1985,48,72.03589743589737,0.998,0.5946222222222222,7220,4.15,2.061132066,47.633201581027606,105.1,53.997398847392105,41.318690719411734,63.132,30.99947368421067
1986,50,72.54153846153838,1.092,0.5997097435897434,7772,4.18,9.425962361,48.56885940146799,99.7,55.30388809396936,40.803791665882386,63.731,30.02456140350887
1987,43,73.0471794871795,1.26,0.6047972649572646,8257,4.21,9.726146431,49.5045172219086,94.3,56.610377340546165,40.288892612352925,64.33800000000001,29.049649122807068
1988,60,73.55282051282052,1.2,0.6098847863247858,7418,4.24,3.690198226212029,50.44017504234898,89.4,57.91686658712297,39.77399355882358,64.949,28.074736842105494
1989,58,74.05846153846153,1.021,0.614972307692307,6375,4.27,3.696825302466541,51.375832862789366,84.8,59.22335583369977,39.259094505294115,65.56,27.099824561403693
1990,72,74,0.9640000000000001,0.613,5925,4.3,3.7034523787210514,52.31149068322975,80.3,60.289737699999996,38.744195451764654,66.165,26.124912280701892
1991,71,75,0.91,0.6194,5930,4.35,2.219259103,53.24714850367036,76.0,61.66706848,38.22929639823519,66.757,25.15000000000009
1992,83,75,0.898,0.6258,5775,4.4,3.7167065312300736,54.18280632411074,71.6,70.1,37.71439734470596,67.33,24.17508771929829
1993,87,76,1.018,0.6322,5954,4.45,5.243577008,55.118464144551126,67.1,64.41812134,37.199498291176496,67.88,23.200175438596716
1994,87,77,0.985,0.6386,6555,4.5,12.30836618,56.05412196499151,62.5,65.78688049,36.684599237647035,68.405,22.225263157894915
1995,90,77,0.993,0.645,6911,4.55,7.411395047,56.98977978543189,58.0,67.14752197,36.16970018411757,68.903,21.250350877193114
1996,94,78,0.997,0.6514,6981,4.644,2.7989730789999996,57.9254376058725,53.6,67.0,35.65480113058834,69.378,20.275438596491313
1997,90,78,1.1059999999999999,0.6578,7311,4.738,6.476824421,58.861095426312886,49.4,69.16024,35.13990207705888,69.834,17.9
1998,94,79,1.102,0.6642,7170,4.832,3.756468988757142,59.79675324675327,45.4,72.072063,34.625003023529416,70.274,16.7
1999,99,79,1.147,0.6706,7172,4.926,1.494910643,62.9,41.8,74.078523,34.110103969999955,70.7,17.6
2000,98,80,1.168,0.677,7265,5.02,2.694371398,63.35,38.5,72.496495,24.1,71.111,16.7
2001,90,80,1.033,0.6814,7213,5.08,0.617892326,63.8,35.6,72.113111,26.6857,71.505,17.7
