year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,66.75675675675689,91.20683760683764,0.2351190476190439,0.924,0.569521367521368,6053,2.03,6.983918934734447,114.5,100.0,63.27290244,-1.1236363636363649
1961,67.40611664295875,91.37572649572652,0.25833333333333286,1.018,0.5745837606837618,6387,2.042,5.534903476,110.2,100.0,63.68636585,-1.0927272727272737
1962,68.05547652916084,91.54461538461541,0.2815476190476147,1.04,0.5796461538461557,6820,2.0540000000000003,6.614447769,104.4,100.0,64.09521951,-1.0618181818181824
1963,68.70483641536293,91.7135042735043,0.3047619047619037,1.12,0.5847085470085478,7175,2.066,5.8737021160000005,97.7,100.0,64.4965122,-1.0309090909090912
1964,69.3541963015648,91.88239316239319,0.32797619047619264,1.232,0.5897709401709417,7614,2.0780000000000003,6.310747383,90.9,100.0,64.89126829,-1.000000000000007
1965,70.00355618776689,92.05128205128207,0.3511904761904745,1.3,0.5948333333333338,8175,2.09,7.46898853,85.0,100.0,65.28004878,-0.9690909090909159
1966,70.65291607396875,92.22017094017096,0.37440476190476346,1.335,0.5998957264957276,8527,2.178,4.0779094339999995,80.6,100.0,65.66346341,-0.9381818181818247
1967,71.30227596017085,92.38905982905985,0.3976190476190453,1.409,0.6049581196581215,9176,2.266,7.544482529,77.4,100.0,66.04553659,-0.9072727272727334
1968,71.95163584637271,92.55794871794873,0.4208333333333343,1.4880000000000002,0.6100205128205136,9979,2.354,8.875509233999999,74.9,100.0,66.42729268,-0.8763636363636422
1969,72.6009957325748,92.72683760683762,0.44404761904761614,1.6780000000000002,0.6150829059829075,10211,2.4419999999999997,2.120741162,72.2,100.0,66.81270732,-0.845454545454551
1970,73.25035561877667,92.8957264957265,0.4672619047619051,1.7519999999999998,0.6201452991452996,11207,2.53,12.61260214,68.6,100.0,67.07317073,-0.8145454545454598
1971,73.89971550497876,93.0646153846154,0.49047619047618696,1.8730000000000002,0.6252076923076935,12022,2.658,6.631652477,63.5,100.0,66.77073171,-0.7836363636363686
1972,74.54907539118085,93.23350427350428,0.5136904761904759,2.074,0.6302700854700873,13014,2.786,8.015696083,57.8,100.0,68.32439024,-0.7527272727272774
1973,75.19843527738271,93.40239316239317,0.5369047619047578,2.231,0.6353324786324794,14463,2.9139999999999997,11.20067117,52.4,100.0,67.52439024,-0.7218181818181861
1974,75.8477951635848,93.57128205128211,0.5601190476190467,2.2769999999999997,0.6403948717948733,14432,3.042,1.142860376,47.8,100.0,68.0195122,-0.6909090909090949
1975,76.49715504978667,93.740170940171,0.5833333333333286,2.314,0.6454572649572654,13345,3.17,5.015025568323438,43.6,100.0,68.3097561,-0.6600000000000037
1976,77.14651493598876,93.90905982905988,0.6065476190476176,2.396,0.6505196581196593,13954,3.322,6.90023106,39.4,100.0,68.86097561,-0.6290909090909125
1977,77.79587482219063,94.07794871794877,0.6297619047619065,2.395,0.6555820512820514,14673,3.4739999999999998,5.602597326000001,35.6,100.0,70.01219512,-0.5981818181818213
1978,78.44523470839272,94.24683760683766,0.6529761904761884,2.365,0.6606444444444453,15030,3.6260000000000003,2.815966107,32.3,100.0,70.31707317,-0.56727272727273
1979,79.09459459459458,94.41572649572655,0.6761904761904773,2.575,0.6657068376068391,15836,3.778,5.638937352,29.7,100.0,71.16829268,-0.5363636363636388
1980,73,94.58461538461543,0.6994047619047592,2.75,0.6707692307692312,16472,3.93,4.589340044,27.6,100.0,71.21463415,-0.5054545454545476
1981,75,94.75350427350432,0.7226190476190482,2.755,0.6758316239316251,16616,3.9960000000000004,1.6181034930000002,25.8,100.0,71.61463415,-0.4745454545454564
1982,78,94.9223931623932,0.74583333333333,2.945,0.6808940170940172,16954,4.062,2.135375362,24.2,100.0,72.41463415,-0.44363636363636516
1983,79,95.09128205128209,0.769047619047619,3.028,0.6859564102564111,16903,4.128,3.9649491062376114,22.8,100.0,72.26585366,-0.41272727272727394
1984,78,95.26017094017098,0.7922619047619008,2.911,0.691018803418805,16564,4.194,3.8336895484768547,21.6,100.0,72.51463415,-0.3818181818181827
1985,72,95.42905982905987,0.8154761904761898,2.742,0.696081196581197,17008,4.26,2.8074396010000005,20.4,100.0,72.81463415,-0.3509090909090915
1986,81,95.59794871794875,0.8386904761904717,3.055,0.7011435897435909,17694,4.336,4.140955711,19.3,100.0,73.26585366,-0.3200000000000003
1987,83,95.76683760683764,0.8619047619047606,3.16,0.706205982905983,18809,4.412,6.381393824,18.2,100.0,73.66585366,-0.28909090909090907
1988,81,95.93572649572653,0.8851190476190496,3.304,0.7112683760683769,20206,4.488,7.489108131,17.0,100.0,73.71463415,-0.25818181818182495
1989,88,96.10461538461541,0.9083333333333314,4.138999999999999,0.7163307692307708,21239,4.564,6.440638872,15.9,100.0,74.26585366,-0.22727272727273373
