year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,27.697297297297155,37.83760683760693,0.024,-0.0965504273504294,1.6121047998967413,220.9,-19.95182795010942,105.5620826428567,42.61600000000001,73.27551892473122
1961,29.099099099098567,38.541880341880415,0.03,-0.08554290598290848,1.7188941468270684,216.5,-19.32269389824114,103.65211171428518,42.941,73.14000795698928
1962,30.500900900900433,39.2461538461539,0.026000000000000002,-0.07453538461538756,11.33379837,213.1,-18.693559846372864,101.74214078571367,43.251000000000005,73.00449698924734
1963,31.9027027027023,39.95042735042739,0.026000000000000002,-0.06352786324786308,1.9324728406876943,210.9,-18.064425794504587,99.83216985714262,43.54,72.8689860215054
1964,33.304504504504166,40.65470085470088,0.013000000000000001,-0.05252034188034216,2.0392621876180215,209.9,-17.43529174263631,97.9221989285711,43.803000000000004,72.73347505376347
1965,34.70630630630603,41.358974358974365,0.015,-0.041512820512821236,7.009529255,209.9,-16.806157690768032,96.0122279999996,44.034,72.59796408602153
1966,36.1081081081079,42.06324786324785,0.012,-0.030505299145300313,7.008910823,210.8,-16.177023638899755,94.10225707142808,44.225,72.4624531182796
1967,37.509909909909766,42.76752136752134,0.012,-0.01949777777777939,6.91601751,212.5,-15.547889587031477,92.19228614285657,44.38,72.32694215053766
1968,38.91171171171118,43.47179487179483,0.013999999999999999,-0.008490256410258468,7.013780927999999,215.1,-14.9187555351632,90.28231521428552,44.505,72.19143118279572
1969,40.313513513513044,44.176068376068315,0.016,0.002517264957262455,11.00737015,218.1,-14.289621483294923,88.37234428571401,44.608999999999995,72.05592021505379
1970,41.71531531531491,44.8803418803418,0.016,0.013524786324783378,6.001425245,221.3,-13.660487431426645,86.4623733571425,44.696000000000005,71.92040924731185
1971,43.11711711711678,45.58461538461552,0.016,0.024532307692307853,1.206640702,225.0,-13.031353379558368,84.55240242857099,44.772,71.78489827956992
1972,44.518918918918644,46.288888888889005,0.018000000000000002,0.035539829059828776,0.263068272,229.3,-12.40221932769009,82.64243149999947,44.848,71.64938731182798
1973,45.92072072072051,46.99316239316249,0.017,0.0465473504273497,3.438088136,234.6,-11.77308527582204,80.73246057142796,44.945,71.51387634408604
1974,47.32252252252238,47.69743589743598,0.017,0.05755487179487062,1.409823571,240.5,-11.143951223953763,78.82248964285691,45.083999999999996,71.3783653763441
1975,48.72432432432379,48.40170940170947,0.040999999999999995,0.06856239316239154,3.213945003851478,246.2,-10.514817172085486,76.9125187142854,45.315,71.24285440860217
1976,50.126126126125655,49.105982905982955,0.06,0.07956991452991247,19.50457717,250.5,-9.885683120217209,75.00254778571389,45.692,71.10734344086023
1977,51.52792792792752,49.81025641025644,0.057999999999999996,0.09057743589743339,1.99410948,250.8,-9.256549068348932,73.09257685714238,46.225,70.9718324731183
1978,52.92972972972939,50.51452991452993,0.06,0.10158495726495431,9.150840817999999,245.0,-8.627415016480654,71.18260592857087,46.895,70.83632150537636
1979,54.331531531531255,51.21880341880342,0.06,0.11259247863247879,11.86990804,233.4,-7.998280964612377,69.27263499999981,47.661,70.70081053763442
1980,55.73333333333312,51.923076923076906,0.095,0.12359999999999971,8.951612331,218.4,-7.3691469127441,67.3626640714283,48.527,70.56529956989249
1981,17.0,52.62735042735039,0.113,0.13460752136752063,5.43619948,201.9,-6.740012860875822,65.45269314285679,49.498000000000005,70.42978860215055
1982,38.0,53.33162393162388,0.111,0.14561504273504156,1.810846446,186.9,-6.110878809007545,63.54272221428528,50.486999999999995,70.29427763440862
1983,59.0,54.03589743589737,0.12300000000000001,0.15662256410256248,5.9803499360000005,175.2,-5.481744757139268,61.632751285713766,51.342,70.15876666666668
1984,55.0,54.740170940170856,0.107,0.1676300854700834,4.175049126224309,166.4,-4.85261070527099,59.722780357142256,51.888000000000005,62.5
1985,50.0,55.44444444444457,0.10099999999999999,0.17863760683760432,4.402748336,159.6,-4.223476653402713,57.8128094285712,51.685,63.4063
1986,87.0,56.14871794871806,0.094,0.18964512820512525,5.472137486,154.5,-3.5943426015344357,55.90283849999969,50.233000000000004,64.3125
1987,88.0,56.852991452991546,0.092,0.20065264957264617,4.495417167015233,150.8,-2.965208549666386,53.99286757142818,47.409,65.2188
1988,80.0,57.55726495726503,0.1,0.21166017094017064,4.498824993,148.3,-2.3360744977981085,52.08289664285667,43.361000000000004,66.125
1989,82.0,58.26153846153852,0.096,0.22266769230769157,4.708995860875859,147.5,-1.7069404459298312,50.17292571428516,38.439,67.0313
1990,84.0,59,0.075,0.244,4.8157852078061865,149.8,-1.0778063940615539,48.2629547857141,33.413000000000004,67.9375
1991,91.0,59,0.069,0.2528,4.922574554736485,155.0,0.08552291199999999,46.35298385714259,29.248,68.8438
1992,85.0,60,0.073,0.2616,5.872725234,162.6,2.3,44.44301292857108,26.691,69.75
1993,83.0,61,0.078,0.2704,5.1361532485971395,179.5,0.599688232,42.53304199999957,26.171999999999997,70.6563
1994,23.0,62,0.078,0.2792,5.242942595527438,276.4,1.305336714,40.62307107142806,27.738000000000003,71.5625
1995,83.0,62,0.078,0.28800000000000003,35.22407831,249.7,2.0028676990000003,38.71310014285655,31.037,72.4688
1996,89.0,63,0.078,0.2968,12.74569576,194.3,2.6895754339999995,36.80312921428549,35.38,73.375
1997,73.0,64,0.077,0.3056,13.84975249,214.7,3.362754345,34.89315828571398,39.838,74.2813
1998,79.0,65,0.069,0.3144,8.858669496000001,230.9,4.019698143,32.98318735714247,43.68600000000001,75.1875
1999,85.0,66,0.067,0.3232,4.2701529339999995,196.0,4.658802509,31.07321642857096,46.638999999999996,76.0938
2000,90.0,66,0.066,0.332,8.357348703,178.7,6.2,33.1,48.648999999999994,77.0
2001,77.0,67,0.064,0.3452,8.510638298,166.4,5.895783901000001,29.9,49.93600000000001,75.2
