year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,42.12612612612611,79.44615384615389,0.7415384615384539,0.7040000000000001,0.5119589743589747,2791,1.1,8.118815084363519,170.3,54.18794701898469,51.971000000000004
1961,42.76718824087243,79.64923076923083,0.7780219780219682,0.648,0.5138902564102565,2925,1.1320000000000001,10.8330639,161.7,54.95908963932334,52.568000000000005
1962,43.40825035561875,79.8523076923077,0.8145054945054824,0.6559999999999999,0.5158215384615388,3504,1.1640000000000001,24.52129717,154.1,55.73023225966176,53.176
1963,44.04931247036507,80.05538461538464,0.8509890109890108,0.7170000000000001,0.5177528205128206,3391,1.196,7.829587120895212,147.2,56.501374880000185,53.797
1964,44.690374585111385,80.25846153846157,0.887472527472525,0.838,0.5196841025641028,3358,1.228,9.271363802,140.9,57.27251750033861,54.435
1965,45.331436699857704,80.46153846153851,0.9239560439560393,0.6829999999999999,0.521615384615385,3242,1.26,2.299373875,134.8,58.04366012067703,55.096000000000004
1966,45.97249881460402,80.66461538461539,0.9604395604395535,0.884,0.5235466666666668,2898,1.34,7.540359157426906,128.7,58.814802741015455,55.788000000000004
1967,46.61356092935034,80.86769230769232,0.9969230769230677,0.8029999999999999,0.5254779487179491,3038,1.42,8.257682647000001,122.5,59.585945361354106,56.51
1968,47.25462304409666,81.07076923076926,1.033406593406582,1.004,0.5274092307692309,3052,1.5,3.7290802210000003,116.3,60.35708798169253,57.26
1969,47.89568515884298,81.2738461538462,1.0698901098900961,1.179,0.5293405128205131,3509,1.58,18.76791521,110.1,61.12823060203095,58.03
1970,48.5367472735893,81.47692307692313,1.1063736263736246,1.047,0.5312717948717953,3268,1.66,7.154721872802469,104.1,61.89937322236938,58.81399999999999
1971,49.17780938833562,81.68,1.1428571428571388,1.351,0.5332030769230771,3470,1.754,9.916003775,98.4,62.6705158427078,59.6
1972,49.81887150308194,81.88307692307694,1.179340659340653,1.141,0.5351343589743593,4195,1.848,25.02760713,93.1,63.441658463046224,60.378
1973,50.459933617828256,82.08615384615388,1.2158241758241672,1.121,0.5370656410256411,3709,1.942,6.8654939093341625,88.1,64.21280108338487,61.137
1974,51.100995732574575,82.28923076923081,1.2523076923076815,1.3259999999999998,0.5389969230769234,4451,2.036,24.12722995,83.5,64.9839437037233,61.872
1975,51.74205784732089,82.49230769230775,1.2887912087911957,1.484,0.5409282051282052,5142,2.13,19.52460785,79.1,65.75508632406172,62.57899999999999
1976,52.38311996206721,82.69538461538463,1.3252747252747241,1.764,0.5428594871794874,5517,2.22,10.96171913,74.9,66.52622894440015,63.258
1977,53.02418207681353,82.89846153846156,1.3617582417582383,1.817,0.5447907692307696,5267,2.31,6.479856624709726,70.8,67.29737156473857,63.913999999999994
1978,53.66524419155985,83.1015384615385,1.3982417582417526,1.825,0.5467220512820514,5537,2.4,8.726630988,66.8,68.06851418507699,64.55199999999999
1979,54.30630630630617,83.30461538461543,1.4347252747252668,2.612,0.5486533333333337,5548,2.49,3.6323556189999997,63.0,68.83965680541564,65.172
1980,13,83.50769230769237,1.471208791208781,2.3280000000000003,0.5505846153846155,6008,2.58,11.98320186,59.4,69.61079942575407,65.774
1981,14,83.71076923076924,1.5076923076922952,2.877,0.5525158974358977,6362,2.68,9.5077117,56.0,70.38194204609249,66.359
1982,15,83.91384615384618,1.5441758241758237,2.552,0.5544471794871799,6265,2.78,2.122151352,53.0,71.15308466643091,66.928
1983,21,84.11692307692311,1.5806593406593379,2.8110000000000004,0.5563784615384617,6128,2.88,1.4291739490000002,50.2,71.92422728676934,67.477
1984,25,84.32000000000005,1.617142857142852,3.2119999999999997,0.558309743589744,5671,2.98,5.804991376617011,47.7,72.69536990710776,68.005
1985,29,84.52307692307693,1.6536263736263663,2.783,0.5602410256410257,5807,3.08,6.115070053999999,45.3,73.46651252744641,68.508
1986,86,84.72615384615386,1.6901098901098806,2.847,0.562172307692308,5329,3.1460000000000004,5.612172734304778,43.2,74.23765514778484,68.98100000000001
1987,42,84.9292307692308,1.7265934065933948,3.1860000000000004,0.5641035897435898,5244,3.2119999999999997,1.90754651,41.4,75.00879776812326,69.423
1988,59,85.13230769230773,1.763076923076909,3.15,0.566034871794872,5742,3.278,13.26628909,39.6,75.77994038846168,69.831
1989,94,85.33538461538467,1.7995604395604374,2.859,0.5679661538461542,5059,3.344,5.322944770836472,38.1,76.5510830088001,70.207
1990,91,86,1.8360439560439517,2.9989999999999997,0.556,5263,3.41,7.640772322999999,36.6,77.06859589,70.553
1991,89,86,1.8725274725274659,3.3160000000000003,0.5593,5660,3.448,7.901270697999999,35.1,77.91169739,70.87100000000001
1992,89,86,1.90901098901098,3.252,0.5626,6229,3.486,13.47033376,33.6,78.75435638,71.167
1993,90,86,1.9454945054944943,3.364,0.5659,6504,3.5239999999999996,5.178987101000001,32.1,79.59430695,71.444
1994,89,86,1.9819780219780085,3.341,0.5692,6674,3.562,7.6529371170000005,30.6,80.42884827,71.708
1995,89,86,2.018461538461537,2.9019999999999997,0.5725,6842,3.6,5.750015287999999,29.1,81.25527191,71.961
1996,88,86,2.054945054945051,2.8989999999999996,0.5758,6849,3.634,4.399999998999999,27.7,82.07086945,72.205
1997,87,87,2.0,2.697,0.5791,6586,3.668,1.800000002,26.4,82.87293243,72.439
1998,87,87,2.2,3.219,0.5824,6763,3.702,6.337264017000001,25.2,83.6587677,72.664
1999,86,87,2.1,3.267,0.5857,6383,3.736,4.358851559275422,24.1,84.42676544,72.882
2000,84,88,2.2,3.108,0.589,6372,3.77,2.742857397,23.1,85.17971802,73.11
2001,82,88,2.3,2.907,0.5947,6466,3.9339999999999997,5.20094281,22.2,85.92152405,73.37100000000001
2002,84,88,2.2,2.2840000000000003,0.6004,6719,4.098,5.9,21.4,86.6,73.663
2003,83,88,2.3,3.114,0.6061,6458,4.262,0.6,20.8,87.38731384,73.967
2004,81,89,2.4,2.867,0.6118,6752,4.426,6.900000004,20.2,88.11908722,74.25
2005,80,89,2.3,2.765,0.6175,6981,4.59,6.2,19.8,88.85530853,74.43
2006,80,89,2.4,2.8310000000000004,0.6232,7092,4.654,4.999999998,19.4,89.59988403,74.41199999999999
2007,80,89,2.8,3.383,0.6289,7221,4.718,5.699999996,19.2,90.3557663,74.152
2008,79,89,2.7,3.327,0.6346,7287,4.782,3.4911676688704745,19.0,91.12214661,73.64699999999999
2009,80,90,2.4,2.991,0.6403,7533,4.846,3.3947583477143723,19.0,91.89727783,72.938
2010,80,90,2.3,2.929,0.6459999999999999,7720,4.91,3.298349026558242,19.0,92.7,72.108
2011,72,90,2.602197802197793,2.725,0.645,8134,4.924533333333329,3.2019397054021397,19.4,93.46678925,71.27
2012,45,90,2.638681318681307,2.188,0.635,6122,5.0020003016591374,3.1055303842460376,21.8,94.25767517,70.55
2013,41,90,2.6751648351648214,1.838,0.575,4651,5.079467269984917,3.0091210630899354,23.1,95.0503006,70.04899999999999
2014,43,90,2.71164835164835,1.598,0.5529999999999999,4093,5.1569342383107255,2.9127117419338333,23.9,95.84322357,69.821
2015,41,90,2.748131868131864,1.6640000000000001,0.536,3938,5.234401206636505,2.816302420777731,23.2,96.60079113760025,69.908
2016,42,90.81846153846158,2.7846153846153783,1.716,0.6201107692307692,3844,5.311868174962285,2.719893099621629,23.3,97.37193375793868,70.315
2017,78.66666666666652,91.02153846153851,2.8210989010988925,3.317903508771934,0.6220420512820515,3951,5.389335143288093,2.623483778465527,23.0,98.1430763782771,70.967
2018,79.30772878141283,91.22461538461539,2.8575824175824067,3.3550604960677646,0.6239733333333337,4023,5.466802111613873,2.527074457309425,22.1,98.91421899861552,71.779
2019,79.94879089615915,91.42769230769233,2.894065934065921,3.3922174833635808,0.6259046153846155,4052,5.544269079939681,2.4306651361532943,21.5,99.68536161895395,77.30456107539453
2020,80.58985301090547,91.63076923076926,2.9305494505494494,3.429374470659411,0.6278358974358977,6735.019209039543,5.621736048265461,2.334255814997192,-11.902994350281915,100.45650423929237,77.65313062536529
