year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,33.65765765765764,100.0,0.10800000000000001,0.6130957264957253,195698,8.830092284887115,200.4,100.0,51.537
1961,34.988857278331125,100.0,0.099,0.6173740170940167,202213,8.72398045336584,190.3,100.0,52.56
1962,36.32005689900461,100.0,0.17800000000000002,0.6216523076923082,211549,8.617868621844593,180.3,100.0,53.573
1963,37.651256519677645,100.0,0.159,0.6259305982905978,218314,8.511756790323346,170.1,100.0,54.571999999999996
1964,38.98245614035113,100.0,0.14400000000000002,0.6302088888888893,223990,8.4056449588021,159.6,100.0,55.555
1965,40.313655761024165,100.0,0.133,0.6344871794871789,228251,8.299533127280824,149.1,100.0,56.523
1966,41.64485538169765,100.0,0.187,0.6387654700854704,231029,8.193421295759578,138.4,100.0,57.482
1967,42.97605500237114,100.0,5.403,0.64304376068376,232143,8.08730946423833,127.8,100.0,58.431999999999995
1968,44.30725462304417,100.0,6.769,0.6473220512820514,230084,7.981197632717084,117.3,100.0,59.375
1969,45.63845424371766,100.0,100.62799999999999,0.6516003418803411,222412,7.875085801195809,107.0,100.0,60.303999999999995
1970,46.96965386439069,100.0,64.671,0.6558786324786325,214189,7.768973969674562,97.2,100.0,61.215
1971,48.30085348506418,100.0,75.93,0.6601569230769222,216397,7.662862138153315,88.2,100.0,62.099
1972,49.63205310573767,100.0,70.411,0.6644352136752136,216398,7.55675030663204,79.9,100.0,62.949
1973,50.9632527264107,100.0,77.069,0.6687135042735033,217109,7.450638475110793,72.2,100.0,63.75899999999999
1974,52.29445234708419,100.0,66.403,0.6729917948717947,248183,7.344526643589546,65.2,100.0,64.525
1975,53.62565196775722,100.0,56.013999999999996,0.6772700854700844,222150,7.238414812068299,58.9,100.0,65.244
1976,54.95685158843071,100.0,61.242,0.6815483760683758,223311,16.52685649,53.1,100.0,65.916
1977,56.2880512091042,100.0,51.797,0.6858266666666655,229402,21.43933016,47.9,100.0,66.545
1978,57.61925082977723,100.0,52.543,0.6901049572649569,196677,6.9200793175045305,43.1,100.0,67.137
1979,58.95045045045072,100.0,38.423,0.6943832478632483,216364,20.92357308,38.8,100.0,67.692
1980,11,100.0,35.371,0.698661538461538,241730,23.87477489,35.0,100.0,68.21300000000001
1981,45,100.0,32.858000000000004,0.7029398290598294,232359,4.65917667,31.7,100.0,68.70100000000001
1982,43,100.0,30.97,0.7072181196581191,200500,6.495631991419515,28.8,100.0,69.158
1983,50,100.0,28.179000000000002,0.7114964102564105,179170,6.38952015989824,26.4,100.0,69.585
1984,59,100.0,35.162,0.7157747008547002,175866,4.016951286,24.3,100.0,69.986
1985,76,100.0,35.865,0.7200529914529916,161790,6.177296496855746,22.6,100.0,70.363
1986,78,100.0,32.06,0.7243312820512813,120125,6.071184665334499,21.1,100.0,70.717
1987,80,100.0,30.531,0.7286095726495727,117599,3.3819817139999997,19.8,100.0,71.04899999999999
1988,82,100.0,29.186999999999998,0.7328878632478624,110637,5.858961002291977,18.6,100.0,71.361
1989,84,100.0,31.002,0.7371661538461538,115331,12.3378913,17.5,100.0,71.657
1990,85,100,27.938000000000002,0.726,121791,18.32798551,16.6,100,71.939
1991,85,100,28.913,0.7332,117462,0.860081945,15.7,100,72.208
1992,86,100,27.839000000000002,0.7404,114330,3.344944873,14.9,100,72.46600000000001
1993,90,100,29.868000000000002,0.7476,108043,1.261190952,14.3,100,72.715
1994,90,100,31.378,0.7548,109957,6.896148545,13.7,100,72.957
