year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,53.65735735735757,83.76239316239318,1.585,0.4451538461538461,2364,1.9,5.658116424472723,321.89999999999964,151.1,21.910314514953825,53.019
1961,54.291076791076875,83.64581196581199,1.307,0.44551538461538454,2408,1.9480000000000002,6.316157269,317.39999999999964,146.9,22.185223465369177,53.483000000000004
1962,54.92479622479641,83.5292307692308,1.2229999999999999,0.44587692307692295,2366,1.996,1.4344708869999998,312.89999999999964,142.6,22.46013241578453,53.946000000000005
1963,55.558515658515944,83.41264957264957,1.137,0.4462384615384615,2271,2.044,6.244344507,308.39999999999964,138.2,22.73504136619988,54.403
1964,56.19223509223525,83.29606837606838,1.047,0.4465999999999999,2403,2.092,5.277769789281052,303.89999999999964,133.6,23.009950316615345,54.849
1965,56.825954525954785,83.17948717948718,1.181,0.4469615384615384,2479,2.14,4.910570587,299.39999999999964,129.0,23.284859267030697,55.273999999999994
1966,57.45967395967409,83.06290598290599,1.3259999999999998,0.4473230769230768,2438,2.222,1.523130026,294.89999999999964,125.0,23.55976821744605,55.67100000000001
1967,58.093393393393626,82.9463247863248,1.126,0.44768461538461535,2557,2.3040000000000003,8.36700893,290.39999999999964,121.4,23.834677167861514,56.034
1968,58.72711282711293,82.8297435897436,1.315,0.44804615384615376,2518,2.386,1.97013497,285.89999999999964,118.5,24.109586118276866,56.361999999999995
1969,59.36083226083247,82.7131623931624,1.347,0.4484076923076922,2736,2.468,12.42823583,281.39999999999964,116.3,24.384495068692218,56.656000000000006
1970,59.994551694551774,82.59658119658121,1.577,0.4487692307692307,3232,2.55,22.56515084,276.89999999999964,114.6,24.65940401910757,56.913000000000004
1971,60.62827112827131,82.48000000000002,1.631,0.4491307692307691,3410,2.588,8.917586642,272.39999999999964,113.5,24.934312969523035,57.135
