Country,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Ivory Coast,Cape Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,South Korea,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Burma (Myanmar),Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,West Bank and Gaza,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and Grenadines,Samoa,San Marino,Saint Thomas and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Macedonia (F.Y.R.O.M.),Timor Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1990,0.295,0.635,0.577,,,,0.705,0.634,0.866,0.794,,,0.745,0.386,0.714,,0.805,0.648,0.345,,0.535,,0.585,0.611,0.782,0.7,,0.27,0.389,,,0.444,0.849,0.32,,0.7,0.499,0.592,,0.521,0.356,0.653,0.669,0.676,0.733,0.761,0.799,,,0.596,0.643,0.547,0.529,,,0.728,,0.641,0.783,0.779,0.62,0.33,,0.801,0.455,0.76,,0.478,0.271,,0.541,0.408,0.507,0.781,0.703,0.797,0.428,0.528,0.572,0.572,0.762,0.785,0.768,0.651,0.814,0.62,0.69,0.473,,0.731,0.713,0.615,0.397,0.703,,0.493,,0.681,,0.731,0.782,,0.325,0.643,,0.222,0.736,,0.378,0.62,0.648,,0.652,,0.579,,0.458,0.209,0.353,0.578,,0.378,0.83,0.818,0.495,0.212,,0.849,,0.404,,,0.662,0.36,0.58,0.613,0.586,0.712,0.711,0.754,0.7,0.733,0.244,,,,0.598,,0.454,0.698,0.367,0.714,,0.272,0.718,0.738,0.767,,0.621,,0.755,0.626,0.331,,0.548,0.815,0.831,0.556,0.616,0.37,0.574,,,0.404,0.648,0.67,0.569,0.576,,,0.309,0.706,0.726,0.775,0.86,0.692,,,0.634,0.477,0.405,0.398,0.499
1991,0.2995,0.6377,0.5837,,,,0.7116,0.635,0.8693,0.7983,,,0.7499,0.3942,0.7176,,0.8118,0.6509,0.35,,0.5422,,0.5825,0.6184,0.7857,0.7013,,0.2698,0.3896,,0.3625,0.4433,0.8508,0.3194,,0.7061,0.5083,0.5981,,0.5176,0.3535,0.6585,0.677,0.677,0.7397,0.767,0.8053,,,0.602,0.6457,0.5535,0.5376,,,0.7333,,0.6452,0.7903,0.786,0.6213,0.3354,,0.8069,0.458,0.7641,,0.4848,0.2761,,0.5475,0.4115,0.512,0.7854,0.7096,0.8027,0.4346,0.5356,0.5814,0.5755,0.7715,0.7915,0.774,0.6539,0.8182,0.6286,0.6895,0.4704,,0.7399,0.7203,0.6128,0.4036,0.7055,,0.488,,0.6861,,0.7336,0.7892,,0.3312,0.6512,,0.2295,0.7407,,0.3846,0.6253,0.6532,,0.6465,,0.5799,,0.4652,0.2179,0.3604,0.5758,,0.3848,0.8348,0.823,0.5025,0.2163,,0.8558,,0.4086,,,0.6679,0.3662,0.5844,0.6194,0.5896,0.7192,0.7181,0.7595,0.7008,0.7317,0.2528,,,,0.6027,,0.4583,0.7024,0.3684,0.7135,,0.275,0.7282,0.7405,0.7727,,0.6218,,0.762,0.632,0.3378,,0.5438,0.8212,0.8367,0.5593,0.6079,0.3721,0.5815,,,0.4062,0.6506,0.6745,0.5775,0.5837,,,0.3177,0.7027,0.7332,0.7841,0.8624,0.697,,,0.6378,0.4869,0.4089,0.4006,0.4918
1992,0.304,0.6404,0.5904,,,,0.7182,0.636,0.8726,0.8026,,,0.7548,0.4024,0.7212,,0.8186,0.6538,0.355,,0.5494,,0.58,0.6258,0.7894,0.7026,,0.2696,0.3902,,0.368,0.4426,0.8526,0.3188,,0.7122,0.5176,0.6042,,0.5142,0.351,0.664,0.685,0.678,0.7464,0.773,0.8116,,,0.608,0.6484,0.56,0.5462,,,0.7386,,0.6494,0.7976,0.793,0.6226,0.3408,,0.8128,0.461,0.7682,,0.4916,0.2812,,0.554,0.415,0.517,0.7898,0.7162,0.8084,0.4412,0.5432,0.5908,0.579,0.781,0.798,0.78,0.6568,0.8224,0.6372,0.689,0.4678,,0.7488,0.7276,0.6106,0.4102,0.708,,0.483,,0.6912,,0.7362,0.7964,,0.3374,0.6594,,0.237,0.7454,,0.3912,0.6306,0.6584,,0.641,,0.5808,,0.4724,0.2268,0.3678,0.5736,,0.3916,0.8396,0.828,0.51,0.2206,,0.8626,,0.4132,,,0.6738,0.3724,0.5888,0.6258,0.5932,0.7264,0.7252,0.765,0.7016,0.7304,0.2616,,,,0.6074,,0.4626,0.7068,0.3698,0.713,,0.278,0.7384,0.743,0.7784,,0.6226,,0.769,0.638,0.3446,,0.5396,0.8274,0.8424,0.5626,0.5998,0.3742,0.589,,,0.4084,0.6532,0.679,0.586,0.5914,,,0.3264,0.6994,0.7404,0.7932,0.8648,0.702,,,0.6416,0.4968,0.4128,0.4032,0.4846
1993,0.3085,0.6431,0.5971,,,,0.7248,0.637,0.8759,0.8069,,,0.7597,0.4106,0.7248,,0.8254,0.6567,0.36,,0.5566,,0.5775,0.6332,0.7931,0.7039,,0.2694,0.3908,,0.3735,0.4419,0.8544,0.3182,,0.7183,0.5269,0.6103,,0.5108,0.3485,0.6695,0.693,0.679,0.7531,0.779,0.8179,,,0.614,0.6511,0.5665,0.5548,,,0.7439,,0.6536,0.8049,0.8,0.6239,0.3462,,0.8187,0.464,0.7723,,0.4984,0.2863,,0.5605,0.4185,0.522,0.7942,0.7228,0.8141,0.4478,0.5508,0.6002,0.5825,0.7905,0.8045,0.786,0.6597,0.8266,0.6458,0.6885,0.4652,,0.7577,0.7349,0.6084,0.4168,0.7105,,0.478,,0.6963,,0.7388,0.8036,,0.3436,0.6676,,0.2445,0.7501,,0.3978,0.6359,0.6636,,0.6355,,0.5817,,0.4796,0.2357,0.3752,0.5714,,0.3984,0.8444,0.833,0.5175,0.2249,,0.8694,,0.4178,,,0.6797,0.3786,0.5932,0.6322,0.5968,0.7336,0.7323,0.7705,0.7024,0.7291,0.2704,,,,0.6121,,0.4669,0.7112,0.3712,0.7125,,0.281,0.7486,0.7455,0.7841,,0.6234,,0.776,0.644,0.3514,,0.5354,0.8336,0.8481,0.5659,0.5917,0.3763,0.5965,,,0.4106,0.6558,0.6835,0.5945,0.5991,,,0.3351,0.6961,0.7476,0.8023,0.8672,0.707,,,0.6454,0.5067,0.4167,0.4058,0.4774
1994,0.313,0.6458,0.6038,,,,0.7314,0.638,0.8792,0.8112,,,0.7646,0.4188,0.7284,,0.8322,0.6596,0.365,,0.5638,,0.575,0.6406,0.7968,0.7052,,0.2692,0.3914,,0.379,0.4412,0.8562,0.3176,,0.7244,0.5362,0.6164,,0.5074,0.346,0.675,0.701,0.68,0.7598,0.785,0.8242,,,0.62,0.6538,0.573,0.5634,,,0.7492,,0.6578,0.8122,0.807,0.6252,0.3516,,0.8246,0.467,0.7764,,0.5052,0.2914,,0.567,0.422,0.527,0.7986,0.7294,0.8198,0.4544,0.5584,0.6096,0.586,0.8,0.811,0.792,0.6626,0.8308,0.6544,0.688,0.4626,,0.7666,0.7422,0.6062,0.4234,0.713,,0.473,,0.7014,,0.7414,0.8108,,0.3498,0.6758,,0.252,0.7548,,0.4044,0.6412,0.6688,,0.63,,0.5826,,0.4868,0.2446,0.3826,0.5692,,0.4052,0.8492,0.838,0.525,0.2292,,0.8762,,0.4224,,,0.6856,0.3848,0.5976,0.6386,0.6004,0.7408,0.7394,0.776,0.7032,0.7278,0.2792,,,,0.6168,,0.4712,0.7156,0.3726,0.712,,0.284,0.7588,0.748,0.7898,,0.6242,,0.783,0.65,0.3582,,0.5312,0.8398,0.8538,0.5692,0.5836,0.3784,0.604,,,0.4128,0.6584,0.688,0.603,0.6068,,,0.3438,0.6928,0.7548,0.8114,0.8696,0.712,,,0.6492,0.5166,0.4206,0.4084,0.4702
1995,0.3175,0.6485,0.6105,,,,0.738,0.639,0.8825,0.8155,,,0.7695,0.427,0.732,,0.839,0.6625,0.37,,0.571,,0.5725,0.648,0.8005,0.7065,,0.269,0.392,,0.3845,0.4405,0.858,0.317,,0.7305,0.5455,0.6225,,0.504,0.3435,0.6805,0.709,0.681,0.7665,0.791,0.8305,,,0.626,0.6565,0.5795,0.572,,,0.7545,,0.662,0.8195,0.814,0.6265,0.357,,0.8305,0.47,0.7805,,0.512,0.2965,,0.5735,0.4255,0.532,0.803,0.736,0.8255,0.461,0.566,0.619,0.5895,0.8095,0.8175,0.798,0.6655,0.835,0.663,0.6875,0.46,,0.7755,0.7495,0.604,0.43,0.7155,,0.468,,0.7065,,0.744,0.818,,0.356,0.684,,0.2595,0.7595,,0.411,0.6465,0.674,,0.6245,,0.5835,,0.494,0.2535,0.39,0.567,,0.412,0.854,0.843,0.5325,0.2335,,0.883,,0.427,,,0.6915,0.391,0.602,0.645,0.604,0.748,0.7465,0.7815,0.704,0.7265,0.288,,,,0.6215,,0.4755,0.72,0.374,0.7115,,0.287,0.769,0.7505,0.7955,,0.625,,0.79,0.656,0.365,,0.527,0.846,0.8595,0.5725,0.5755,0.3805,0.6115,,,0.415,0.661,0.6925,0.6115,0.6145,,,0.3525,0.6895,0.762,0.8205,0.872,0.717,,,0.653,0.5265,0.4245,0.411,0.463
1996,0.322,0.6512,0.6172,,,,0.7446,0.64,0.8858,0.8198,,,0.7744,0.4352,0.7356,,0.8458,0.6654,0.375,,0.5782,,0.57,0.6554,0.8042,0.7078,,0.2688,0.3926,,0.39,0.4398,0.8598,0.3164,,0.7366,0.5548,0.6286,,0.5006,0.341,0.686,0.717,0.682,0.7732,0.797,0.8368,,,0.632,0.6592,0.586,0.5806,,,0.7598,,0.6662,0.8268,0.821,0.6278,0.3624,,0.8364,0.473,0.7846,,0.5188,0.3016,,0.58,0.429,0.537,0.8074,0.7426,0.8312,0.4676,0.5736,0.6284,0.593,0.819,0.824,0.804,0.6684,0.8392,0.6716,0.687,0.4574,,0.7844,0.7568,0.6018,0.4366,0.718,,0.463,,0.7116,,0.7466,0.8252,,0.3622,0.6922,,0.267,0.7642,,0.4176,0.6518,0.6792,,0.619,,0.5844,,0.5012,0.2624,0.3974,0.5648,,0.4188,0.8588,0.848,0.54,0.2378,,0.8898,,0.4316,,,0.6974,0.3972,0.6064,0.6514,0.6076,0.7552,0.7536,0.787,0.7048,0.7252,0.2968,,,,0.6262,,0.4798,0.7244,0.3754,0.711,,0.29,0.7792,0.753,0.8012,,0.6258,,0.797,0.662,0.3718,,0.5228,0.8522,0.8652,0.5758,0.5674,0.3826,0.619,,,0.4172,0.6636,0.697,0.62,0.6222,,,0.3612,0.6862,0.7692,0.8296,0.8744,0.722,,,0.6568,0.5364,0.4284,0.4136,0.4558
1997,0.3265,0.6539,0.6239,,,,0.7512,0.641,0.8891,0.8241,,,0.7793,0.4434,0.7392,,0.8526,0.6683,0.38,,0.5854,,0.5675,0.6628,0.8079,0.7091,,0.2686,0.3932,,0.3955,0.4391,0.8616,0.3158,,0.7427,0.5641,0.6347,,0.4972,0.3385,0.6915,0.725,0.683,0.7799,0.803,0.8431,,,0.638,0.6619,0.5925,0.5892,,,0.7651,,0.6704,0.8341,0.828,0.6291,0.3678,,0.8423,0.476,0.7887,,0.5256,0.3067,,0.5865,0.4325,0.542,0.8118,0.7492,0.8369,0.4742,0.5812,0.6378,0.5965,0.8285,0.8305,0.81,0.6713,0.8434,0.6802,0.6865,0.4548,,0.7933,0.7641,0.5996,0.4432,0.7205,,0.458,,0.7167,,0.7492,0.8324,,0.3684,0.7004,,0.2745,0.7689,,0.4242,0.6571,0.6844,,0.6135,,0.5853,,0.5084,0.2713,0.4048,0.5626,,0.4256,0.8636,0.853,0.5475,0.2421,,0.8966,,0.4362,,,0.7033,0.4034,0.6108,0.6578,0.6112,0.7624,0.7607,0.7925,0.7056,0.7239,0.3056,,,,0.6309,,0.4841,0.7288,0.3768,0.7105,,0.293,0.7894,0.7555,0.8069,,0.6266,,0.804,0.668,0.3786,,0.5186,0.8584,0.8709,0.5791,0.5593,0.3847,0.6265,,,0.4194,0.6662,0.7015,0.6285,0.6299,,,0.3699,0.6829,0.7764,0.8387,0.8768,0.727,,,0.6606,0.5463,0.4323,0.4162,0.4486
1998,0.331,0.6566,0.6306,,,,0.7578,0.642,0.8924,0.8284,,,0.7842,0.4516,0.7428,,0.8594,0.6712,0.385,,0.5926,,0.565,0.6702,0.8116,0.7104,,0.2684,0.3938,,0.401,0.4384,0.8634,0.3152,,0.7488,0.5734,0.6408,,0.4938,0.336,0.697,0.733,0.684,0.7866,0.809,0.8494,,,0.644,0.6646,0.599,0.5978,,,0.7704,,0.6746,0.8414,0.835,0.6304,0.3732,,0.8482,0.479,0.7928,,0.5324,0.3118,,0.593,0.436,0.547,0.8162,0.7558,0.8426,0.4808,0.5888,0.6472,0.6,0.838,0.837,0.816,0.6742,0.8476,0.6888,0.686,0.4522,,0.8022,0.7714,0.5974,0.4498,0.723,,0.453,,0.7218,,0.7518,0.8396,,0.3746,0.7086,,0.282,0.7736,,0.4308,0.6624,0.6896,,0.608,,0.5862,,0.5156,0.2802,0.4122,0.5604,,0.4324,0.8684,0.858,0.555,0.2464,,0.9034,,0.4408,,,0.7092,0.4096,0.6152,0.6642,0.6148,0.7696,0.7678,0.798,0.7064,0.7226,0.3144,,,,0.6356,,0.4884,0.7332,0.3782,0.71,,0.296,0.7996,0.758,0.8126,,0.6274,,0.811,0.674,0.3854,,0.5144,0.8646,0.8766,0.5824,0.5512,0.3868,0.634,,,0.4216,0.6688,0.706,0.637,0.6376,,,0.3786,0.6796,0.7836,0.8478,0.8792,0.732,,,0.6644,0.5562,0.4362,0.4188,0.4414
1999,0.3355,0.6593,0.6373,,,,0.7644,0.643,0.8957,0.8327,,,0.7891,0.4598,0.7464,,0.8662,0.6741,0.39,,0.5998,,0.5625,0.6776,0.8153,0.7117,,0.2682,0.3944,,0.4065,0.4377,0.8652,0.3146,,0.7549,0.5827,0.6469,,0.4904,0.3335,0.7025,0.741,0.685,0.7933,0.815,0.8557,,,0.65,0.6673,0.6055,0.6064,,,0.7757,,0.6788,0.8487,0.842,0.6317,0.3786,,0.8541,0.482,0.7969,,0.5392,0.3169,,0.5995,0.4395,0.552,0.8206,0.7624,0.8483,0.4874,0.5964,0.6566,0.6035,0.8475,0.8435,0.822,0.6771,0.8518,0.6974,0.6855,0.4496,,0.8111,0.7787,0.5952,0.4564,0.7255,,0.448,,0.7269,,0.7544,0.8468,,0.3808,0.7168,,0.2895,0.7783,,0.4374,0.6677,0.6948,,0.6025,,0.5871,,0.5228,0.2891,0.4196,0.5582,,0.4392,0.8732,0.863,0.5625,0.2507,,0.9102,,0.4454,,,0.7151,0.4158,0.6196,0.6706,0.6184,0.7768,0.7749,0.8035,0.7072,0.7213,0.3232,,,,0.6403,,0.4927,0.7376,0.3796,0.7095,,0.299,0.8098,0.7605,0.8183,,0.6282,,0.818,0.68,0.3922,,0.5102,0.8708,0.8823,0.5857,0.5431,0.3889,0.6415,,,0.4238,0.6714,0.7105,0.6455,0.6453,,,0.3873,0.6763,0.7908,0.8569,0.8816,0.737,,,0.6682,0.5661,0.4401,0.4214,0.4342
