Country,Afghanistan,Angola,Albania,Andorra,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Ivory Coast,Cameroon,Congo (Kinshasa),Congo (Brazzaville),Colombia,Comoros,Cape Verde,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Micronesia,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Kiribati,Saint Kitts and Nevis,South Korea,Kuwait,Laos,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,Marshall Islands,Macedonia (F.Y.R.O.M.),Mali,Malta,Burma (Myanmar),Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,North Korea,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Saint Thomas and Principe,Suriname,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syria,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Saint Vincent and Grenadines,Venezuela,Vietnam,Vanuatu,Samoa,Yemen,South Africa,Zambia,Zimbabwe
1960,,,,,200.4,,,86.2,24.8,42.8,,,33.8,310.9,342.9,260.2,55.3,198.4,,,,,287.9,168.9,84.6,122.4,,167.6,283.1,32.6,26.5,157.1,,316.5,276.2,,182.6,135.2,,181.1,95.9,54.6,,,,,138,25,147.7,240.5,175.7,316,,,,,26.8,77.2,28.5,,,26.6,,208.8,345.2,360.3,,,46.1,101.6,221,92.2,208.1,,285.3,53.9,223.1,241.4,35.3,,192,21.5,42,51.9,82.9,155.6,39.7,,198.1,,,,,112.2,141.3,,75.7,310.3,278.4,163.9,94,186.9,,37.7,,238.3,,,,,155.8,121.1,,,40.3,,,,,251.3,104.3,,92.6,,,,197.8,20.8,22.6,322.6,,27.9,,252.4,90.2,227.6,103.4,,197.4,65.1,,114.5,82.3,,,87.2,,220.9,,176,295.8,47.7,189.7,391.7,184.7,,,,,,,,,19.6,209.3,104.5,170.3,,268.8,146.4,,,,,67.6,,257.2,,241.2,222.4,,63.5,30.1,,174.5,79.2,,153.2,108,,,204.8,151.1
1961,,,,,190.3,,,80.2,24.3,40.2,,,32.4,306,339.1,253.8,48.9,181.5,,,,,281.8,164.1,78.5,110.1,,162.7,277.5,31.5,26,148.4,,308.6,270.2,,178.5,130.7,,178.8,93.5,52.7,,,,,125.6,24.5,146.4,241,170.4,306.2,,,,,25.2,73.9,27,,,26.1,,206.8,342.8,353.5,,,45.4,93.5,215.7,88.3,201.1,,281,51.4,217.2,238.1,33.8,,181,21.1,39.6,49.8,79.4,146.6,36.2,,190,,,,,106.6,131.8,,73.6,310.5,260.3,155.8,89.8,186.2,,35.7,,233.4,,,,,149.3,115.6,,,38.2,,,,,244.7,98.7,,86.3,,,,195.7,20.3,22.1,318.6,,26.9,,243.4,87.6,221.2,100.1,,191.1,60.1,,110.2,81.5,,,80,,216.5,,173.1,295.5,43.7,179.7,386.3,180.8,,,,,,,,,19.2,205.9,103.1,161.7,,264.2,141.3,,,,,65.2,,249.6,,239.1,218.4,,62.2,29.5,,163.4,76.6,,149.5,103.9,,,201.2,146.9
1962,344.6,,,,180.3,,,73.8,23.7,37.9,,,31.2,301,335.3,247.8,44.2,166,,,,,275.9,159.7,73.3,98.5,,157.7,272.3,30.5,25.4,141.9,,300.8,265.3,,174.6,126.4,,176.5,92.7,50.8,,,,,114.4,23.8,144.8,242,165.4,296.3,,,,,23.8,70.9,25.7,,,25.6,,205.2,340.4,347.3,,,44.2,85.7,210.6,85,194.5,,276.7,49.4,211.6,234.9,32.5,,171,20.7,37.3,47.6,76.1,138.2,32.9,,182.8,,,,,101.7,122.9,,71.5,310.4,243.2,146.8,86.9,186.4,,33.8,,228.3,,,,,143.3,110.3,,,36.8,,,,,238,92.5,,80.5,,,,193.5,19.7,21.6,314,,25.8,339.5,234.7,84.9,214.5,97.4,,185.2,56.1,,104.4,81,,,70.4,,213.1,,170.4,295.8,40.4,170.3,380.2,177.1,,,,,,,,,18.6,202.2,101.7,154.1,,259.7,136.3,,,,,63,269.7,241.7,,237.1,214.6,,60.7,28.9,,149.9,74.4,,145.3,100.1,409.8,,197.8,142.6
1963,338.7,,,,170.1,,,67.3,23.2,35.9,,,30,295.9,331.6,242.3,40.9,151.6,,,,,269.9,155.5,68.7,88.2,,153.1,266.5,29.4,24.6,135.6,,293.4,260.8,,170.8,122.4,,173.9,92.3,48.9,,,,,104.1,23,142.7,243.2,160.7,286.4,,,,,22.5,68.2,24.5,,,24.9,,204,337.9,341.1,,,42.4,78.6,205.6,82.2,188,,272.6,47.6,206.1,231.7,31.3,,161.7,20.2,35.3,45.4,73.2,130.3,29.8,,176.7,,,179.9,,96.8,114.3,,69.6,309.1,227.4,137.1,84.8,187.2,,32,,223.2,,,,,137.9,105.5,,420.6,35.7,,,,,231.6,87.1,,75.3,,,,191.3,19.2,21,308.5,,24.7,324.7,226.7,82.4,207.6,95.1,,179.4,52.5,,97.7,80.4,,,61.3,,210.9,,167.9,296.5,38,161.6,374.3,173.3,,,,,,,,,17.9,198.8,99.9,147.2,,255.2,131.3,,,,79,60.9,257.2,233.8,,234.5,210.9,,59.3,28.3,,135.3,72.5,,141.1,96.5,402.5,,194.8,138.2
1964,333.1,,,,159.6,,,60.7,22.7,34.2,,239.7,28.9,290.7,328.4,237.5,38.6,138.1,,,,,264,151.7,64.7,79.7,,148.6,260.4,28.2,23.6,126.9,,286.1,255.9,,166.7,118.5,,171.1,91.7,47.1,,,,,94.8,22.1,140.4,244.2,156.3,277.2,,,,,21.3,65.8,23.4,,,24.2,,203.2,335,334.9,,,40.7,72.6,200.6,79.9,181.7,,268.2,45.9,200.5,228.8,30,,153,19.7,33.6,43.2,70.5,123.1,27,,171.5,,,172.8,,92,106.4,,67.9,307.3,212.1,127.2,82.8,188,,30.3,,218,,,,,132.7,101,,413.5,34.7,,,,272.2,225.2,84,,70.6,,,323.3,189.1,18.8,20.4,302.5,,23.8,309.8,219.4,80,200.6,93,,173.6,48.9,,90.9,80,,,54.8,,209.9,,165.6,297.2,36.4,153.3,368.5,169.9,,,,,,,,,17.1,194.9,97.9,140.9,,250.5,126.5,,,,74.1,59.1,245.3,226,,232,207.2,,58.3,27.7,,121.2,70.8,86.3,136.4,93.2,394.5,,192.2,133.6
1965,327.6,,,,149.1,,,54.5,22.4,32.7,,241.5,27.9,285.5,325.5,233.3,37.4,125.5,,,,,257.9,148.2,61.2,73,,144.7,254.2,27.1,22.6,115.5,,278.9,250.3,,162.4,115,,167.9,90.3,45.3,,,,,86.3,21.1,137.7,245.3,152.3,268.9,,,,,20.2,63.8,22.3,,,23.4,,202.8,332.3,328.3,,,39.5,67.9,195.6,78.1,175.5,,264.1,44.5,194.8,226.1,28.6,,145.2,19.1,32.2,41.1,68,116.4,24.6,,167.4,,,165.9,,87,98.6,,66.4,304.7,197.5,117.3,80.7,188.5,,28.8,,212.6,,,,304.5,127.9,97,,406.5,33.8,,,,273.5,218.9,84.8,353,66.5,,,316.2,186.3,18.3,19.7,296.1,,23.1,296.1,212.7,77.7,193.8,91.1,,168,45.6,,85,79.7,,,52.8,,209.9,,163.4,297.3,35.1,145.4,362.5,166.5,,,,,96.4,,,,16.3,190.9,95.4,134.8,,245.9,121.8,,,,69.5,57.5,233.7,218.7,,229.1,203.9,,57.7,27.1,,108.4,69.4,85.6,131.7,90,385.4,,190.3,129
1966,322,,,,138.4,,,48.6,22.1,31.5,,243.4,27,280.4,323.4,229.9,36.9,113.9,,,,,251.8,145,58,68,,140.7,247.8,26,21.6,103.9,,271.8,243.6,,157.8,111.6,,163.9,87.9,43.6,,,,,78.7,20,135,246.4,148.7,262,,,,246.1,19.3,62,21.4,,,22.8,,202.8,329.5,322.2,,,38.7,64.3,190.5,76.7,169.4,,259.8,43.2,189.1,223.5,27.1,,137.9,18.5,31.1,39.3,65.7,110.2,22.6,,163.9,,,159.6,,81.8,91.7,,65.2,301.7,183.8,107.6,78.2,188.3,,27.4,,207.2,,,,295.3,123.4,93.2,,399.9,32.8,,,,274.9,212.6,90.9,351.2,63,,,309.2,183.5,17.9,19,289.8,,22.5,282.5,207,75.5,187.4,89.3,,162.6,42.8,,80.6,79.3,,,56.7,,210.8,,161.4,296.7,33.5,137.4,356.6,163.2,,,,,93.2,,,,15.5,186.6,92.4,128.7,,241.4,117.2,,,,65.1,56,222.1,211.7,,226,200.4,,57.4,26.4,,97.7,68,85,126.9,86.8,375.1,,188.8,125
1967,316.8,,,,127.8,,,43.4,22,30.5,,245.2,26.2,275.6,320.9,227.3,36.7,103.2,,,,110.1,245.7,141.9,55.3,64.1,,136.8,241.6,25,20.7,94,,264.7,235.8,,153.4,108.2,,159.9,84.9,41.8,,,,,71.7,19,132.2,246.6,145.6,256.5,,,,245.9,18.4,60.5,20.6,,,22.2,,202.9,326.6,315.9,,,37.6,61.6,185.5,75.5,163.3,,255.2,42,183.3,221.1,25.5,,131.1,17.9,30.3,37.8,63.5,104.4,21,,160.7,,,153.7,,76.5,85.3,,64,297.9,170.6,98.4,75.4,187.1,27.4,26.1,,201.9,,,,286,119.1,89.5,,393.4,31.7,,,,276,206.5,98,349.4,60,94.7,313,302.4,180.6,17.4,18.2,283,,22,269,201.9,73.3,181.3,87.6,,157.4,40.5,,77.4,79,,,63.8,,212.5,,159.7,295.7,31.8,129.2,350.4,160,,,,,90.4,,,,14.9,182.4,88.9,122.5,,236.6,112.5,,,,60.8,54.7,210.6,205.3,,222.7,197.1,,57,25.7,,89,66.7,84.3,122.1,83.3,363.8,,187.6,121.4
1968,311.4,,,,117.3,,,38.9,21.9,29.7,,246.7,25.5,271,318.8,225.2,35.8,93.2,29.5,,,105.5,239.7,138.9,52.8,60.7,,132.8,235.2,24,19.9,86.7,,257.6,227.2,,149.1,104.8,,155.1,81.7,40.1,,,27.2,,65.4,18.1,129.4,246.1,142.6,252,,,,245.3,17.6,59.3,19.9,,,21.8,,203,323.6,310,,,35.8,59.5,180.5,74.7,157.3,,250.6,40.9,177.5,218.4,24.1,,124.8,17.2,29.6,36.4,61.3,99.1,19.6,,157.4,,,148.4,,71.1,79.6,,62.9,293.6,158.3,89.6,73.1,185,26.5,24.8,,196.8,,,145.8,276.9,114.8,86.1,,387.3,30.5,180.4,,,276.1,200.7,97.5,347.5,57.4,95.2,317.2,295.8,177.4,16.9,17.5,276.6,,21.6,255.6,197.5,71.1,175.7,86.1,,152.2,38.8,,74.9,78.7,,,67,,215.1,,158.2,294.1,30.1,121,344.4,156.8,,,,,88.3,,,,14.4,178.3,84.8,116.3,,231.9,107.8,,,,56.7,53.6,199.6,199.2,,219.4,194.2,,56.3,24.9,,82.4,65.3,83.7,117.3,79.6,351.6,,185.9,118.5
1969,305.8,,,,107,72.5,,35,21.7,29.3,,247.7,24.8,266.5,316.7,223.8,34.1,84.1,30,,,101,233.6,135.8,50.3,57.5,280.9,128.4,229.1,23,19.2,82.1,117.6,250.6,218.5,250.7,145.1,101.3,,149.7,78.5,38.4,,,26.4,,59.7,17.4,126.5,244.1,139.9,248.4,,,,245,16.8,58.3,19.1,,,21.4,,202.9,320.6,303.7,,,33.6,57.7,175.5,74.1,151.5,,245.8,39.8,171.7,215.8,23,,118.9,16.6,29.1,35.1,59.2,94.1,18.5,,154.1,,,143.4,,66,74.6,,62,288.8,146.7,81.5,71.4,182,24.7,23.6,,191.9,,,147.7,267.6,110.7,82.6,,381.4,29.2,177.1,,,276.1,195.9,87.5,344.7,55.2,95.5,321.3,288.9,173.8,16.4,16.9,270.4,,21.2,242,193.6,68.6,170.6,84.8,,147.1,37.6,,72.2,78.3,,70.5,62.4,,218.1,,156.9,291.5,28.5,112.9,338.6,153.6,,,,,86.8,,,,13.9,173.9,80.3,110.1,,227.1,103.1,,,,52.8,52.5,188.9,193.3,,216.3,192,,55.1,24.1,,77.8,63.8,82.9,112.8,75.8,339.2,,183.4,116.3
