Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Cook Islands,Costa Rica,Ivory Coast,Croatia,Cuba,Cyprus,Czech Republic,Congo (Kinshasa),Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,South Korea,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Burma (Myanmar),Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Moldova,Reunion,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and Grenadines,Samoa,Saint Thomas and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,West Bank and Gaza,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Tajikistan,Thailand,Macedonia (F.Y.R.O.M.),Timor Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,United States,Virgin Islands (U.S.),Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1990,,,92,94,100,46,,97,94,,91,100,100,69,,95,68,96,100,100,73,57,72,68,97,92,89,,100,44,69,23,51,100,,,59,40,90,67,88,90,,100,93,76,98,,100,100,44,100,78,,87,74,93,70,,47,99,13,86,100,100,,100,,76,85,100,56,98,100,97,98,100,77,52,36,79,62,73,96,100,71,70,92,78,96,100,100,93,100,96,94,43,50,,99,75,,98,,77,,71,87,100,30,43,90,93,27,100,92,,29,99,82,91,100,53,,97,73,35,59,70,,66,100,,100,73,34,40,99,94,100,79,86,90,84,34,53,74,84,94,96,94,,,99,74,93,59,98,93,88,89,,92,60,99,96,37,100,100,100,,,83,,100,68,,67,,39,100,100,86,,87,99,,48,90,99,92,83,86,,,90,40,,100,100,54,98,100,95,90,62,89,63,66,49,79
1991,21,,92,94,100,46,,98,94,,91,100,100,69,,95,69,96,100,100,74,58,72,70,97,93,89,,100,44,69,24,52,100,,,59,40,91,68,89,90,,100,93,76,98,,100,100,44,100,78,,87,74,94,71,,47,99,13,86,100,100,,100,,77,85,100,57,98,100,97,98,100,77,53,38,79,62,74,96,100,72,70,92,78,96,100,100,93,100,96,94,44,50,90,99,75,,98,,78,,71,88,100,30,45,91,93,29,100,92,,31,99,83,91,100,53,,97,73,35,59,70,,67,100,,100,73,35,41,99,94,100,79,87,90,85,34,55,75,84,94,96,94,,,99,75,94,59,98,93,89,89,,92,61,99,96,38,100,100,100,,,83,,100,70,96,68,,39,100,100,86,,88,99,,48,90,99,92,83,86,,,90,42,,100,100,54,98,100,95,90,64,89,64,66,50,80
1992,21,,92,94,100,46,,98,94,91,92,100,100,69,,95,70,96,100,100,75,59,72,71,97,93,90,,100,45,69,24,53,100,80,,59,41,91,70,89,90,,100,93,76,98,,100,100,44,100,78,,87,75,94,72,,47,99,14,87,100,100,83,100,,77,85,100,59,98,100,97,98,100,78,55,39,80,63,75,97,100,73,71,92,78,96,100,100,93,100,97,94,45,51,90,99,75,,98,,78,,71,88,100,31,47,91,93,31,100,92,82,32,99,84,91,100,53,,97,74,36,59,71,,68,100,,100,74,36,42,99,94,100,79,87,91,85,34,57,75,85,95,97,94,99,84,99,77,94,60,98,93,89,90,,92,61,99,96,39,100,100,100,,,83,,100,71,96,67,,39,100,100,86,,88,99,,49,90,99,92,84,87,,,91,44,,100,100,54,99,100,95,90,65,89,66,65,50,80
1993,21,,92,95,100,46,,98,95,91,92,100,100,69,96,95,71,97,100,100,77,60,74,72,97,93,90,,100,47,70,26,54,100,80,92,59,41,92,71,89,90,,100,94,77,98,,100,100,44,100,78,,87,76,94,74,,47,99,16,87,100,100,83,100,,78,85,100,60,98,100,97,98,100,79,56,41,81,63,76,97,100,74,72,93,78,96,100,100,93,100,97,94,46,52,90,99,74,,98,,78,,71,88,100,32,49,92,93,33,100,92,82,33,99,84,91,100,53,,98,75,36,59,72,,69,100,,100,75,37,44,99,95,100,80,87,91,86,33,60,76,85,95,97,94,99,84,99,78,94,61,98,93,90,90,,93,62,99,96,40,100,100,100,,21,83,,100,72,96,67,,39,100,100,86,58,89,99,,49,90,99,92,85,88,,,91,45,,100,100,54,99,100,95,90,67,90,67,65,50,80
1994,21,96,92,95,100,46,,98,95,91,92,100,100,70,96,95,71,97,100,100,78,61,75,73,97,94,91,,100,49,70,28,56,100,80,92,60,42,92,73,89,90,,100,94,77,98,90,100,100,45,100,78,,87,76,94,75,47,48,99,18,88,100,100,83,100,79,79,85,100,62,98,100,97,98,100,80,57,42,82,62,76,97,100,75,73,93,78,96,100,100,93,100,97,94,47,53,90,99,74,40,98,83,78,62,71,89,100,33,51,92,93,35,100,92,82,34,99,85,91,100,53,,98,75,36,60,73,,71,100,,100,75,38,45,99,95,100,80,87,91,86,33,62,77,85,95,97,94,99,84,99,79,94,62,98,93,90,91,74,93,63,99,96,41,100,100,100,,21,83,,100,73,96,66,88,41,100,100,86,58,89,99,,50,90,99,92,86,89,59,,92,47,98,100,100,54,99,100,95,90,68,90,69,64,51,80
1995,22,96,91,96,100,46,93,98,95,91,93,100,100,70,96,96,72,97,100,100,79,62,77,74,97,94,91,95,100,51,70,30,57,100,80,92,60,42,93,74,89,90,,100,94,77,98,90,100,100,45,100,79,95,87,77,95,76,47,48,99,20,88,100,100,83,100,80,79,86,100,63,98,100,97,98,100,80,58,44,82,62,77,97,100,76,74,93,78,96,100,100,93,100,97,94,47,53,91,99,75,40,98,83,78,61,71,89,100,34,53,92,94,37,100,93,82,36,99,86,91,100,54,,98,76,37,61,74,,72,100,,100,76,39,46,99,95,100,80,87,92,87,34,64,77,86,95,97,94,99,84,99,80,94,62,98,93,91,91,74,93,64,99,96,42,100,100,100,,21,84,,100,74,96,66,88,43,100,100,86,58,90,99,53,51,90,99,93,87,89,59,87,92,48,98,100,100,54,99,100,95,90,69,90,70,63,51,80
1996,23,96,91,96,100,46,93,98,95,91,93,100,100,71,96,97,73,97,100,100,80,63,78,75,97,94,92,95,100,53,71,33,58,100,80,92,61,43,93,75,89,90,,100,94,77,98,90,100,100,46,100,80,95,87,77,95,77,47,49,99,21,89,100,100,83,100,81,80,87,100,65,98,100,97,98,100,81,59,45,83,62,78,97,100,77,75,93,79,96,100,100,93,100,97,94,48,54,91,99,76,40,98,83,78,61,71,90,100,35,55,93,94,39,100,93,82,37,99,86,91,100,54,,98,76,38,62,75,93,73,100,,100,76,40,47,99,95,100,81,88,92,87,34,66,78,86,95,97,94,99,84,99,81,94,63,98,94,91,92,74,94,64,99,96,43,100,100,100,,21,85,,100,75,96,65,88,45,100,100,86,57,90,99,53,51,91,99,93,87,90,59,87,92,50,98,100,100,54,99,100,96,89,71,90,72,63,51,80
1997,25,96,91,97,100,46,93,98,96,91,93,100,100,72,96,97,74,97,100,100,81,63,80,76,97,94,92,95,100,54,71,35,59,100,81,92,61,43,94,77,90,90,68,100,94,77,98,90,100,100,46,100,80,95,87,78,95,79,47,49,99,23,89,100,100,84,100,81,81,87,100,66,99,100,97,98,100,82,60,47,84,62,79,98,100,78,75,94,79,96,100,100,93,100,97,94,49,55,92,99,76,41,98,83,78,61,71,90,100,36,57,93,94,41,100,93,83,38,99,87,91,100,55,,98,77,39,63,76,93,74,100,,100,77,41,48,99,95,100,82,88,92,88,34,68,78,86,95,97,94,99,84,99,82,94,64,98,94,92,92,74,94,65,99,96,44,100,100,100,,21,85,,100,76,96,64,88,47,100,100,87,57,91,99,53,52,92,99,93,88,91,59,87,93,52,98,100,100,54,99,100,96,89,72,90,73,62,52,80
1998,27,96,90,97,100,46,93,98,96,92,94,100,100,72,96,98,74,97,100,100,83,64,81,77,97,94,93,95,100,56,71,37,60,100,81,93,62,44,94,78,90,90,69,100,95,78,98,90,100,100,46,100,81,95,87,79,95,80,47,50,99,25,90,100,100,84,100,82,81,88,100,68,99,100,97,98,100,82,61,49,85,61,79,98,100,79,76,94,79,96,100,100,93,100,97,94,50,57,92,99,77,41,98,83,79,61,71,90,100,36,59,93,95,43,100,93,85,40,99,87,90,100,55,97,98,77,40,64,77,93,75,100,94,100,78,42,50,99,95,100,83,88,92,89,35,70,79,86,96,98,94,99,85,99,83,95,65,98,94,92,92,75,94,66,99,96,45,100,100,100,,22,86,,100,77,95,63,88,48,100,100,87,58,91,99,53,52,92,99,93,89,91,59,87,93,53,98,100,100,54,99,100,96,89,73,91,75,61,52,79
1999,29,96,90,97,100,46,93,98,96,92,94,100,100,73,96,98,75,98,100,100,84,65,83,78,97,95,93,95,100,58,72,39,61,100,82,93,62,44,95,79,90,90,69,100,95,78,98,90,100,100,47,100,82,95,87,79,96,81,47,51,99,27,90,100,100,85,100,83,82,89,100,69,99,100,97,98,100,83,62,50,86,61,80,98,100,80,77,94,80,96,100,100,93,100,97,94,51,58,93,99,78,43,98,85,79,62,71,91,100,37,61,94,95,45,100,93,86,41,99,88,90,100,56,97,98,78,40,65,78,93,76,100,94,100,78,43,51,99,95,100,83,88,92,89,35,72,79,87,96,98,94,99,85,99,84,95,66,98,94,93,93,76,95,67,99,96,46,100,100,100,,23,86,,100,79,93,63,89,50,100,100,87,59,91,99,53,53,93,99,93,89,92,60,87,94,55,98,100,100,54,99,100,97,89,75,91,76,61,53,79
